 	le	chemin	qui	mène	à	la	forêt	oyoa	est	passant	</S>
a66	0.205565	0.195228	0.128326	0.102555	0.0721865	0.0681633	0.0580672	0.0694082	0.0442255	0.0362604	0.0200143
a87	0.305004	0.168511	0.0932369	0.105197	0.0678189	0.0555781	0.0519376	0.0695272	0.0377621	0.0332177	0.01221
a23	0.171498	0.152897	0.145706	0.140166	0.100686	0.0690496	0.055214	0.0646781	0.0453631	0.0377576	0.0169845
a53	0.135196	0.10637	0.139597	0.180814	0.162018	0.103641	0.0544471	0.0497139	0.0229287	0.0259601	0.0193133
a90	0.180153	0.173114	0.150561	0.132211	0.0884343	0.0620789	0.052736	0.0636454	0.0394536	0.0356616	0.0219505
a56	0.174351	0.163328	0.171141	0.17399	0.143696	0.0822394	0.0354383	0.0260074	0.0128186	0.011229	0.00576189
a21	0.11003	0.132924	0.154156	0.165374	0.169972	0.10865	0.0565294	0.0374748	0.0257011	0.0243386	0.0148504
a12	0.0931222	0.0972022	0.108357	0.142359	0.183797	0.140637	0.0883932	0.0580959	0.0349817	0.0339334	0.0191216
a75	0.0840046	0.0872817	0.0880793	0.125081	0.198341	0.161306	0.0993428	0.0602879	0.0332884	0.0351922	0.0277965
a25	0.0464736	0.0694467	0.0754224	0.107186	0.163281	0.163592	0.124335	0.0970308	0.0632864	0.0500466	0.0399004
a92	0.0364211	0.0644087	0.0839223	0.114311	0.181046	0.190505	0.133558	0.0808363	0.0436505	0.034203	0.0371375
a56	0.0245307	0.0444754	0.0653548	0.099634	0.178658	0.203647	0.152009	0.0922327	0.049667	0.0420199	0.0477708
a93	0.0268605	0.0393773	0.058336	0.0950988	0.1672	0.194176	0.161001	0.108127	0.0573703	0.0446939	0.0477584
a4	0.0173541	0.0251901	0.0416564	0.0727494	0.139071	0.178524	0.184756	0.129142	0.081907	0.0626753	0.0669748
a53	0.00790946	0.0118664	0.0217619	0.0403473	0.0860967	0.145272	0.203534	0.160687	0.120303	0.0972042	0.105018
a93	0.00576717	0.00836566	0.0156416	0.02578	0.0499279	0.0922175	0.184891	0.172232	0.156015	0.133387	0.155775
a75	0.00669672	0.00821665	0.0142113	0.021551	0.0376772	0.0677761	0.15722	0.168617	0.190931	0.164265	0.162838
a56	0.00362023	0.00516739	0.00911223	0.0135494	0.0238042	0.0477575	0.136575	0.156077	0.193412	0.200448	0.210478
a96	0.00303125	0.00417056	0.00667574	0.00912169	0.0161594	0.0297452	0.0883814	0.111756	0.206764	0.251951	0.272244
a34	0.00222913	0.00318325	0.00523687	0.00664626	0.0113625	0.0200313	0.0620629	0.0894029	0.190009	0.265853	0.343983
a75	0.00167338	0.00232518	0.00358185	0.00466582	0.00804877	0.0150601	0.0482354	0.0679813	0.167483	0.273738	0.407207
