 	je	ne	suis	plus	parti	en	voyage	car	mon	oncle	m'	a	retenu	</S>
a66	0.193322	0.115248	0.0888293	0.0649764	0.0655925	0.0609123	0.0574027	0.0709687	0.0713761	0.0856787	0.0685747	0.0306888	0.0160935	0.0103365
a87	0.109722	0.0907454	0.080757	0.0655814	0.0594342	0.060727	0.0732993	0.0969327	0.0949054	0.0956964	0.0725891	0.0439148	0.0315087	0.0241864
a23	0.313374	0.181052	0.0862364	0.035728	0.0348374	0.0315134	0.0432726	0.0418207	0.0373383	0.0427194	0.0503616	0.0381392	0.0280268	0.0355802
a38	0.381466	0.183121	0.0783302	0.0389913	0.0386162	0.0449692	0.0609984	0.048691	0.0286232	0.0239438	0.0192975	0.0184211	0.0169134	0.0176177
a62	0.195705	0.111242	0.065566	0.0412019	0.0454065	0.0485827	0.0503844	0.0470441	0.0376399	0.0443393	0.0625719	0.0946908	0.098432	0.0571942
a21	0.344862	0.224458	0.136013	0.0677247	0.057374	0.0347902	0.0202443	0.0135659	0.00841773	0.0083046	0.0199004	0.0275357	0.0257707	0.0110395
a12	0.187063	0.190853	0.151484	0.0947483	0.0775213	0.0568037	0.040309	0.0296535	0.0173485	0.0184583	0.0375985	0.045283	0.0383142	0.0145617
a61	0.139214	0.141083	0.143061	0.106228	0.0845639	0.0734656	0.0682165	0.0509819	0.0312771	0.031101	0.0371433	0.0449897	0.0344846	0.0141909
a96	0.0804565	0.0958365	0.121835	0.124066	0.106826	0.098905	0.0983741	0.0686406	0.0417731	0.0408681	0.037841	0.0381105	0.0309372	0.0155311
a11	0.0463199	0.0659131	0.0938405	0.118138	0.113163	0.115499	0.130071	0.0867646	0.0552641	0.0524429	0.0446389	0.0324979	0.0261855	0.0192615
a34	0.031623	0.0530274	0.0837067	0.125556	0.119397	0.121293	0.144571	0.087211	0.0511607	0.0468069	0.040864	0.0331999	0.0330726	0.0285101
a56	0.0258874	0.0448612	0.0724601	0.116016	0.119774	0.125631	0.144328	0.0992937	0.0644115	0.0574923	0.0463741	0.0305136	0.0275696	0.0253877
a61	0.0224302	0.0369324	0.0598159	0.101019	0.108085	0.115786	0.132706	0.104968	0.077087	0.0736296	0.0616702	0.0401635	0.035099	0.0306084
a96	0.0131661	0.0208229	0.0349437	0.0815904	0.106704	0.131639	0.152724	0.123537	0.0915614	0.0831243	0.0646366	0.0359493	0.0305907	0.0290108
a56	0.0107924	0.014989	0.0238194	0.065134	0.0966225	0.135348	0.161273	0.13169	0.097907	0.0888551	0.0679964	0.0389525	0.0345861	0.0320352
a96	0.0115232	0.01523	0.0228077	0.0520179	0.0721504	0.0988042	0.129361	0.125523	0.105883	0.10895	0.100721	0.066509	0.0503983	0.0401214
a79	0.00728111	0.00924718	0.0138049	0.0401287	0.069802	0.118333	0.155487	0.143018	0.11773	0.108342	0.0827581	0.0514193	0.0427109	0.0399362
a7	0.00331308	0.00492139	0.00876553	0.0323301	0.0596418	0.105413	0.172526	0.137732	0.0960634	0.0862385	0.0825308	0.0635075	0.0667655	0.0802508
a54	0.0037271	0.00407204	0.00563136	0.0188878	0.0408956	0.0929142	0.154728	0.17886	0.169588	0.144016	0.0715057	0.0351112	0.0313084	0.0487542
a6	0.00303302	0.00413396	0.00648126	0.0167528	0.0313986	0.0564171	0.104672	0.120771	0.105377	0.0935964	0.0874743	0.0860633	0.126168	0.157661
a36	0.00228494	0.00326302	0.00539018	0.0160435	0.0318785	0.0602886	0.114243	0.125658	0.104052	0.0866622	0.0769387	0.07306	0.122063	0.178176
a11	0.00272674	0.00296867	0.00428394	0.0142006	0.0317163	0.063071	0.108672	0.13094	0.131413	0.104217	0.0664583	0.0576787	0.0981118	0.183541
a75	0.00280962	0.0025069	0.003145	0.00857898	0.0182015	0.0369853	0.0676162	0.097047	0.113802	0.101976	0.0681418	0.0704379	0.143995	0.264756
a37	0.00109225	0.0014216	0.00214987	0.00720049	0.0148905	0.0312548	0.0618594	0.0882399	0.0870039	0.0806698	0.0714968	0.0810565	0.178055	0.293609
a44	0.00183115	0.00184442	0.00249927	0.00798885	0.0174552	0.0360512	0.0646333	0.0830135	0.0912232	0.0817212	0.0620349	0.0809387	0.187834	0.280931
a93	0.00155394	0.00136987	0.00169717	0.00462836	0.0101992	0.0226035	0.044869	0.0600249	0.0748709	0.0744782	0.0524357	0.0835633	0.208764	0.358942
a70	0.00128511	0.00116288	0.00145716	0.00407103	0.008689	0.0183537	0.0366484	0.0526384	0.0674292	0.0721303	0.0563143	0.0986847	0.235955	0.345181
a56	0.000685981	0.000713721	0.00102276	0.00342038	0.00754167	0.0159535	0.0303218	0.0392478	0.0498741	0.0537741	0.040937	0.0768465	0.246872	0.432789
a43	0.000386581	0.000439915	0.000670838	0.00216067	0.00455641	0.0106312	0.022775	0.0340352	0.0414148	0.0460918	0.0443283	0.0831433	0.248993	0.460373
a11	0.000465681	0.000488646	0.000675603	0.00217519	0.00467623	0.00994729	0.0191203	0.0252361	0.0323233	0.0373536	0.0284147	0.0554992	0.203367	0.580257
a88	0.000697959	0.000708492	0.000875998	0.00218047	0.00449518	0.00864227	0.0153732	0.0203836	0.028208	0.0330755	0.0222037	0.044676	0.190483	0.627997
a83	0.000468945	0.000498006	0.000658451	0.00185959	0.00385319	0.0074986	0.0140809	0.0190108	0.0258455	0.0294679	0.019215	0.0376508	0.167905	0.671987
a18	0.000371757	0.000413934	0.000564306	0.00163385	0.00348524	0.00712879	0.013903	0.0179744	0.0234994	0.0260841	0.016922	0.0346264	0.168565	0.684828
a27	0.00161745	0.00150161	0.00176868	0.00383165	0.00744991	0.0131847	0.0221758	0.0244553	0.0304637	0.0321847	0.0255108	0.0454604	0.174142	0.616253
a26	0.0173015	0.0129622	0.013509	0.0214803	0.0329135	0.0394884	0.0472123	0.0479157	0.0576111	0.0618336	0.0517872	0.0708556	0.154676	0.370454
a57	0.048291	0.0316737	0.0272274	0.03301	0.0418481	0.0461257	0.0566545	0.0498132	0.0487961	0.0511102	0.0467942	0.06589	0.137605	0.31516
a87	0.1347	0.0673074	0.0454062	0.0403317	0.043631	0.0428471	0.0512449	0.0508859	0.0525655	0.0540388	0.0456077	0.0577526	0.107056	0.206625
a23	0.176307	0.0868031	0.0458892	0.0324075	0.0358572	0.0343369	0.0417015	0.0554544	0.0690285	0.0744178	0.0582246	0.0668817	0.0951621	0.127529
a87	0.154149	0.0627588	0.0327733	0.024791	0.0277412	0.0331255	0.0597485	0.0822225	0.077716	0.0655803	0.0563889	0.0806969	0.0930043	0.149303
