 	je	ne	comprends	pas	la	manière	dont	ma	femme	boude	contre	moi	</S>
a84	0.128138	0.128438	0.134973	0.120041	0.142928	0.130016	0.0838829	0.0504782	0.0355579	0.0206742	0.0106109	0.00745544	0.00680656
a87	0.342945	0.153848	0.0589237	0.0478333	0.0547152	0.0556708	0.0563703	0.0441135	0.0420864	0.0463084	0.0366835	0.0315414	0.0289604
a23	0.239745	0.139125	0.0961444	0.0724357	0.0709818	0.0615515	0.0632887	0.0445925	0.0469064	0.0457699	0.041397	0.0360449	0.0420169
a50	0.253733	0.155125	0.127408	0.0900848	0.096457	0.0758513	0.0592681	0.0303088	0.0266441	0.0236829	0.021586	0.0174669	0.0223838
a96	0.204366	0.169592	0.123757	0.0809963	0.0896613	0.0776899	0.0551619	0.0317141	0.0359982	0.0365261	0.0332608	0.028738	0.0325387
a43	0.247197	0.234985	0.136744	0.0790543	0.085801	0.0759169	0.0353074	0.017144	0.0179458	0.0207496	0.0184536	0.0153582	0.0153439
a11	0.232107	0.272853	0.145075	0.0773959	0.0734425	0.0666978	0.0412284	0.0173775	0.0159159	0.0169779	0.0152435	0.0125297	0.0131559
a70	0.186365	0.228223	0.153058	0.0903443	0.0786234	0.0695328	0.0528304	0.0260096	0.0220147	0.0225212	0.0224585	0.0214286	0.0265907
a96	0.131659	0.183825	0.164106	0.107507	0.0959877	0.0862314	0.0663349	0.0355923	0.0266658	0.0253271	0.0241629	0.0229585	0.0296426
a70	0.142347	0.183751	0.166881	0.115213	0.106144	0.0869775	0.0646859	0.0318469	0.0217313	0.0195805	0.018994	0.0182086	0.0236387
a34	0.0996362	0.141272	0.164206	0.126809	0.124765	0.106741	0.0837523	0.0402643	0.0245898	0.0199713	0.0194328	0.0203443	0.0282151
a47	0.100447	0.146338	0.169964	0.135179	0.130168	0.108046	0.0785921	0.0365767	0.0190433	0.015083	0.0160357	0.0185273	0.0259998
a21	0.0531717	0.0865076	0.147149	0.138855	0.143745	0.13145	0.10744	0.0613284	0.0343773	0.0235181	0.0211506	0.023037	0.0282696
a12	0.0341253	0.0567576	0.129141	0.145018	0.158998	0.155382	0.129842	0.0776323	0.0388331	0.0214169	0.0165443	0.0166787	0.0196319
a56	0.0208069	0.0350178	0.115488	0.140925	0.148894	0.150575	0.142835	0.0996089	0.0530257	0.0286028	0.0203938	0.0203891	0.0234382
a43	0.0128232	0.0211786	0.0893961	0.128695	0.142691	0.147772	0.143998	0.109465	0.066833	0.0377697	0.029395	0.031536	0.0384478
a11	0.00949371	0.0142872	0.0636641	0.112608	0.131324	0.144129	0.174293	0.134322	0.0761968	0.0413224	0.0295911	0.0311136	0.0376549
a70	0.0106583	0.0147928	0.0540183	0.104344	0.126286	0.136196	0.174235	0.143737	0.0881127	0.0483194	0.0313567	0.0305122	0.0374309
a34	0.00943749	0.0130728	0.0433699	0.0809685	0.098916	0.109544	0.166544	0.156482	0.111211	0.0619998	0.0431342	0.0459557	0.0593647
a98	0.00477342	0.00686962	0.025711	0.0488421	0.0617424	0.0755904	0.134926	0.156803	0.142741	0.0932251	0.0693957	0.076776	0.102604
a79	0.003308	0.00421548	0.0127614	0.0270783	0.0341751	0.0508796	0.115037	0.153202	0.164526	0.105048	0.0897289	0.0963114	0.143729
a98	0.0054272	0.0068377	0.0185965	0.0342279	0.0395481	0.0550401	0.110646	0.171268	0.186856	0.103661	0.0732644	0.0790679	0.115559
a92	0.00655317	0.00824692	0.0185078	0.0314061	0.0387968	0.0562017	0.106217	0.127582	0.138918	0.100105	0.090703	0.106379	0.170384
a56	0.00572569	0.00713109	0.0162347	0.0265995	0.0342899	0.0522407	0.10058	0.133041	0.14915	0.11058	0.0987485	0.106923	0.158756
a11	0.00306665	0.00351127	0.00886606	0.0169477	0.0209902	0.0300408	0.0680981	0.116209	0.161929	0.126338	0.111224	0.127669	0.205111
a75	0.00224	0.00268288	0.00606232	0.0102287	0.0132084	0.0198213	0.0468062	0.0867837	0.138358	0.121756	0.133819	0.158204	0.260029
a92	0.00204281	0.00223276	0.00528198	0.00924066	0.0123638	0.021733	0.0447799	0.0795306	0.131261	0.11829	0.135776	0.163466	0.274
a37	0.00198333	0.00219023	0.005362	0.00943034	0.0120766	0.0203576	0.0423449	0.0727701	0.114606	0.107545	0.143433	0.184128	0.283773
a85	0.00175394	0.00189782	0.0035576	0.00543273	0.0066314	0.010125	0.0216119	0.0405394	0.0793533	0.0959977	0.174796	0.223728	0.334575
a6	0.00150146	0.0016812	0.00385621	0.00595869	0.00723561	0.0114723	0.0216587	0.0366187	0.0632476	0.0758451	0.14453	0.217977	0.408418
a36	0.00151396	0.00165946	0.00375865	0.00631049	0.00771823	0.0124556	0.025288	0.046382	0.078754	0.0979246	0.173481	0.216736	0.328018
