 	il	est	venu	à	midi	</S>
a11	0.346227	0.237083	0.16696	0.0863003	0.0750917	0.0883384
a0	0.208415	0.21566	0.197837	0.140844	0.120631	0.116612
a27	0.256797	0.215455	0.165043	0.10971	0.119037	0.133957
a10	0.276647	0.235445	0.201082	0.126259	0.088221	0.0723468
a87	0.296116	0.255422	0.204354	0.11278	0.0716464	0.0596818
a23	0.310375	0.260759	0.205429	0.111095	0.0638921	0.0484494
a30	0.26343	0.244241	0.194608	0.125468	0.0923535	0.0799005
a53	0.167629	0.152387	0.154756	0.141305	0.167177	0.216746
a20	0.320067	0.216032	0.157434	0.107629	0.0965199	0.102317
a30	0.327704	0.210234	0.19368	0.132132	0.0769218	0.0593292
a57	0.333386	0.23706	0.207384	0.114731	0.0592989	0.0481395
a87	0.160727	0.126504	0.139962	0.148874	0.177299	0.246635
a23	0.185108	0.171144	0.191129	0.1754	0.141356	0.135863
a40	0.142262	0.145635	0.173961	0.186843	0.162216	0.189083
a30	0.27318	0.162658	0.154739	0.147664	0.133776	0.127983
a41	0.346662	0.236562	0.197099	0.117173	0.0589732	0.0435308
a24	0.253508	0.21899	0.212726	0.156393	0.0899683	0.0684153
a41	0.181366	0.171919	0.173421	0.164375	0.156648	0.152271
a35	0.112154	0.129275	0.173877	0.197651	0.194277	0.192765
a14	0.0941954	0.10666	0.155997	0.201413	0.219882	0.221852
a35	0.0725708	0.0757109	0.107027	0.174446	0.269835	0.30041
a70	0.0233447	0.0220635	0.0367905	0.106354	0.320529	0.490918
a50	0.0126364	0.0129353	0.0217375	0.0739611	0.289804	0.588925
a24	0.00685101	0.00744876	0.0126344	0.0512072	0.262151	0.659708
a38	0.00827058	0.00902862	0.0137503	0.0458053	0.237085	0.68606
a24	0.0124347	0.0134764	0.0193718	0.0565523	0.232464	0.665701
a9	0.011028	0.0114025	0.0152849	0.0456632	0.213778	0.702843
a10	0.0371147	0.0326777	0.0377482	0.0714768	0.224036	0.596946
a9	0.0790629	0.068116	0.062082	0.0809898	0.196344	0.513406
a87	0.0522317	0.0462976	0.0459851	0.0764456	0.22358	0.55546
a23	0.0642959	0.0525396	0.0561215	0.107202	0.254032	0.465808
a87	0.0656558	0.0534512	0.0606259	0.110514	0.251652	0.458101
a23	0.0214722	0.0217601	0.0334339	0.0990249	0.289854	0.534455
a87	0.0319891	0.028021	0.0360644	0.0909842	0.28002	0.532921
a23	0.0270249	0.0268762	0.0373117	0.0979391	0.276106	0.534742
a10	0.0520257	0.0467283	0.0579999	0.111139	0.253338	0.47877
a38	0.024738	0.0238159	0.0378079	0.108869	0.298725	0.506044
a0	0.0361238	0.0333854	0.0517531	0.120884	0.288456	0.469398
a10	0.0294168	0.0323684	0.054044	0.120862	0.289379	0.473929
a87	0.0239577	0.0261484	0.040167	0.0984502	0.281743	0.529534
a10	0.0441963	0.0446828	0.0602938	0.127491	0.285435	0.437901
a87	0.0456325	0.0455535	0.0661147	0.140831	0.283821	0.418047
a23	0.05884	0.0534774	0.0709798	0.147529	0.272351	0.396823
a87	0.0727708	0.0631362	0.0665214	0.107011	0.229592	0.460969
a23	0.0362761	0.035765	0.0417561	0.0939781	0.259346	0.532878
a10	0.0648647	0.0592615	0.065116	0.105503	0.226193	0.479061
a11	0.0250615	0.0251429	0.0342478	0.0922673	0.27469	0.548591
a10	0.0306221	0.027588	0.0349438	0.089401	0.289481	0.527963
a87	0.0333176	0.0313178	0.0401291	0.0979375	0.288397	0.508901
</S>	0.0585113	0.0522181	0.0582071	0.11418	0.26342	0.453464
