 	les	animaux	barrent	la	route	</S>
a23	0.52295	0.176954	0.0799543	0.0539625	0.0594546	0.106725
a85	0.576048	0.186175	0.051299	0.0366187	0.0511468	0.0987131
a87	0.457727	0.199763	0.0523302	0.0391834	0.0643915	0.186605
a23	0.582535	0.228713	0.0360174	0.0212005	0.0311793	0.100355
a87	0.369083	0.128281	0.02903	0.031215	0.0910932	0.351298
a40	0.317176	0.182052	0.0681416	0.0567586	0.110333	0.265539
a37	0.241135	0.191516	0.0950738	0.115543	0.153911	0.202822
a18	0.348315	0.342057	0.134743	0.0765983	0.0542804	0.0440068
a41	0.352715	0.369533	0.145012	0.0606238	0.0379654	0.0341509
a26	0.253964	0.345001	0.195625	0.0970655	0.0603043	0.048041
a20	0.17796	0.310451	0.242116	0.132006	0.0756851	0.061783
a73	0.197763	0.290693	0.212104	0.127378	0.0935787	0.0784829
a26	0.162689	0.267857	0.217302	0.134204	0.118422	0.0995251
a38	0.109886	0.235574	0.277916	0.164151	0.110204	0.10227
a73	0.117848	0.199548	0.244297	0.15907	0.132296	0.146941
a2	0.0891617	0.150173	0.226839	0.182977	0.170386	0.180463
a40	0.0235304	0.0414448	0.105033	0.186895	0.250007	0.39309
a41	0.0368335	0.0509552	0.0909506	0.140559	0.256268	0.424433
a94	0.0284376	0.051699	0.159926	0.249584	0.265257	0.245097
a75	0.0429069	0.05006	0.0876638	0.17891	0.27876	0.361699
a41	0.0387904	0.0573373	0.1149	0.207006	0.269372	0.312594
a27	0.0137745	0.0292336	0.0956875	0.213718	0.322076	0.32551
a53	0.00727457	0.0138705	0.0342008	0.109706	0.285381	0.549567
a4	0.0164494	0.0288193	0.0534435	0.114553	0.25263	0.534105
a57	0.0152453	0.0194317	0.0306797	0.0760992	0.221871	0.636673
a3	0.00477963	0.00658814	0.0125383	0.042595	0.19806	0.735439
a87	0.00190995	0.00350437	0.00964393	0.0324041	0.177783	0.774755
</S>	0.00183807	0.00274786	0.00944409	0.0363188	0.186105	0.763546
