 	approche-toi	de	la	table	</S>
a23	0.321288	0.193272	0.124049	0.154062	0.207329
a85	0.519376	0.213908	0.104429	0.0666603	0.0956264
a87	0.388476	0.202827	0.120082	0.118	0.170615
a23	0.471992	0.277336	0.112056	0.0623313	0.0762847
a97	0.357596	0.208585	0.136991	0.120282	0.176545
a38	0.257079	0.193031	0.167775	0.161924	0.220191
a53	0.361067	0.196332	0.117908	0.136607	0.188086
a20	0.390845	0.287068	0.173216	0.0859694	0.0629005
a73	0.426191	0.301779	0.152337	0.0681593	0.051534
a26	0.443482	0.312442	0.143661	0.0584843	0.0419308
a41	0.410913	0.290803	0.159982	0.0757227	0.0625785
a18	0.279099	0.247925	0.188647	0.143821	0.140509
a41	0.250999	0.233463	0.199985	0.154567	0.160985
a56	0.245643	0.216736	0.194069	0.147462	0.196091
a54	0.175754	0.187174	0.244288	0.216076	0.176707
a73	0.154322	0.174759	0.253833	0.223385	0.193701
a35	0.119801	0.130493	0.220374	0.268428	0.260904
a41	0.0674078	0.0717127	0.16178	0.317949	0.38115
a12	0.0684836	0.0794314	0.16905	0.307388	0.375647
a43	0.0442851	0.0522388	0.128501	0.338579	0.436395
a11	0.0521587	0.0472699	0.0945038	0.263383	0.542685
a75	0.0305184	0.0214224	0.0450758	0.196622	0.706361
a73	0.0468019	0.0425619	0.0841447	0.247405	0.579087
a2	0.0279239	0.019881	0.040568	0.17375	0.737877
a57	0.027968	0.018284	0.0318798	0.127369	0.794499
a87	0.0279878	0.0244181	0.0433474	0.14739	0.756857
</S>	0.0214946	0.0276538	0.062617	0.228136	0.660099
