 	je	ne	veux	pas	cohabiter	avec	toi	parce	que	tu	es	ennuyeux	</S>
a66	0.154822	0.142698	0.227796	0.204872	0.0999234	0.044025	0.0312859	0.0236452	0.023717	0.0201111	0.0132384	0.00827354	0.00559222
a87	0.141253	0.100654	0.0798503	0.0794669	0.0594435	0.0562842	0.052843	0.06485	0.0791858	0.0765634	0.0843877	0.0631412	0.0620775
a23	0.243741	0.153751	0.115641	0.100915	0.068007	0.0421559	0.0391675	0.038596	0.043756	0.0428918	0.0482893	0.0323266	0.0307608
a99	0.370111	0.198042	0.117308	0.0683665	0.0358515	0.0227513	0.0215371	0.0194582	0.0266563	0.0293108	0.0383106	0.0284721	0.0238249
a50	0.349287	0.199028	0.128829	0.0685016	0.0367618	0.0257563	0.0236542	0.0176883	0.0217443	0.0243576	0.0318645	0.0327554	0.0397721
a83	0.398675	0.256924	0.157235	0.0502356	0.0213207	0.0137006	0.012165	0.00834974	0.0105197	0.0126793	0.0159456	0.0185912	0.0236591
a50	0.35117	0.255446	0.128647	0.0576517	0.0416573	0.0253477	0.0225713	0.0169993	0.0184158	0.0192421	0.0203023	0.0195535	0.0229957
a83	0.205128	0.209152	0.126335	0.0828143	0.0730023	0.0454228	0.0425183	0.0390426	0.0370814	0.0352841	0.0356748	0.0350996	0.0334458
a93	0.151424	0.168923	0.115909	0.0916087	0.0910426	0.0569813	0.0543652	0.0532545	0.0492613	0.0456303	0.0427455	0.0401827	0.038672
a11	0.128016	0.163477	0.119855	0.0999986	0.102544	0.0559247	0.0500391	0.0519233	0.0453246	0.0409815	0.039697	0.0468152	0.055404
a61	0.125474	0.157119	0.117671	0.101531	0.103266	0.0561932	0.0499424	0.0531479	0.04629	0.0422034	0.0401785	0.0479256	0.0590574
a83	0.12318	0.160698	0.120431	0.109106	0.11879	0.0691195	0.0569862	0.0545203	0.0438948	0.0374021	0.0311596	0.0353175	0.0393957
a62	0.0697427	0.117089	0.10824	0.117475	0.135833	0.0790104	0.0655751	0.0662163	0.0519822	0.0429424	0.0362866	0.0469563	0.0626521
a34	0.0474676	0.0891421	0.0946264	0.110379	0.144263	0.0984282	0.0883394	0.0880178	0.0645942	0.0487111	0.0357692	0.0405287	0.0497332
a21	0.0327998	0.068959	0.0875678	0.11405	0.151273	0.103238	0.0927429	0.0916814	0.0682954	0.052055	0.0381053	0.0450554	0.0541777
a47	0.0322644	0.0593049	0.0840873	0.112275	0.148211	0.094229	0.0852472	0.0916957	0.0729444	0.0610457	0.0492876	0.0594965	0.0499112
a62	0.0253223	0.0538963	0.0853592	0.128668	0.182221	0.12513	0.104104	0.0940375	0.0675355	0.0499004	0.0320568	0.0273065	0.0244617
a21	0.0138616	0.034447	0.0685143	0.133991	0.224296	0.144976	0.112701	0.0957815	0.0623328	0.040416	0.0251169	0.0220915	0.0214739
a92	0.0146256	0.0237271	0.0467998	0.0899185	0.140369	0.107184	0.103705	0.116229	0.0987038	0.0838639	0.0662366	0.0661833	0.0424543
a93	0.0121055	0.0190383	0.035115	0.0805846	0.120434	0.0928566	0.0979802	0.108545	0.0942452	0.0906526	0.0795172	0.0921558	0.0767695
a56	0.00931401	0.018738	0.0348011	0.0970952	0.189122	0.145852	0.130922	0.118164	0.0820668	0.0619177	0.0426634	0.0382774	0.0310676
a92	0.00630801	0.01306	0.0251922	0.0874743	0.191976	0.14905	0.133321	0.118385	0.0824017	0.0639651	0.0449147	0.0422354	0.0417157
a37	0.00370337	0.00641696	0.0135515	0.0440649	0.0966369	0.107974	0.125834	0.131648	0.109854	0.105417	0.0827694	0.0842673	0.0878628
a92	0.00352554	0.00777702	0.0153225	0.0611831	0.163569	0.150045	0.146024	0.134503	0.0938226	0.0771407	0.0528139	0.047005	0.0472698
a79	0.00208144	0.00389654	0.00667339	0.0262995	0.0879611	0.115978	0.135144	0.140857	0.107743	0.103978	0.077478	0.0785784	0.113332
a44	0.00149471	0.00274596	0.00469935	0.0210889	0.0928601	0.133179	0.159455	0.164212	0.117121	0.104569	0.0685964	0.0545139	0.0754646
a40	0.0017461	0.00278581	0.00450554	0.0223534	0.0985507	0.136907	0.166098	0.157234	0.110812	0.100482	0.0628731	0.0501728	0.0854792
a6	0.00197032	0.00286678	0.00390046	0.0146441	0.0703123	0.105906	0.1273	0.138785	0.106925	0.105034	0.0781318	0.0729374	0.171286
