 	il	frit	des	bananes	</S>
a84	0.500434	0.243098	0.0895951	0.0775627	0.0893108
a30	0.435418	0.308447	0.108854	0.0711321	0.0761487
a87	0.577268	0.287881	0.0555787	0.0371691	0.042103
a23	0.565256	0.311453	0.0517493	0.0348153	0.0367256
a79	0.495909	0.299507	0.0736881	0.0620953	0.0688004
a54	0.63985	0.223572	0.0481247	0.0450774	0.0433761
a47	0.466144	0.253817	0.0999284	0.0993407	0.0807694
a36	0.36143	0.258957	0.147495	0.140368	0.0917495
a85	0.116309	0.127918	0.22625	0.323163	0.206359
a47	0.107262	0.140269	0.21565	0.295991	0.240827
a85	0.0340955	0.0956964	0.205786	0.348177	0.316245
a47	0.0129565	0.0422022	0.137697	0.377452	0.429693
a36	0.00280183	0.0152498	0.074932	0.329519	0.577498
a7	0.00296486	0.00744636	0.0496351	0.277311	0.662643
a84	0.00307976	0.00720851	0.0467435	0.264159	0.67881
a82	0.0207101	0.0350509	0.0975778	0.310308	0.536354
a84	0.107031	0.089713	0.117482	0.277832	0.407942
a82	0.208132	0.101559	0.0991113	0.229882	0.361316
a87	0.493155	0.2018	0.0932842	0.0965018	0.115259
a23	0.505631	0.227157	0.101854	0.0800414	0.0853173
a99	0.0469582	0.0601584	0.125959	0.27736	0.489565
a84	0.0163704	0.0330301	0.111687	0.304238	0.534674
</S>	0.0118358	0.025227	0.107692	0.324099	0.531146
