 	la	piqûre	de	la	courtilière	donne	des	démangeaisons	</S>
a66	0.131213	0.121506	0.179755	0.174057	0.144472	0.131528	0.0782408	0.0242905	0.0149384
a87	0.216513	0.137044	0.192917	0.169623	0.146398	0.0791071	0.0349215	0.0121156	0.0113604
a10	0.244638	0.207522	0.204646	0.180017	0.109173	0.0273025	0.013467	0.00613845	0.00709656
a87	0.267688	0.361118	0.153266	0.116647	0.0770159	0.0134303	0.00456352	0.00279311	0.00347883
a23	0.254019	0.349294	0.148401	0.124571	0.0873381	0.0193394	0.00784136	0.00423133	0.00496514
a83	0.238243	0.311724	0.134081	0.147187	0.123001	0.0203282	0.00922729	0.00788629	0.00832188
a12	0.180165	0.21423	0.146276	0.162451	0.183833	0.0538042	0.0275787	0.018687	0.0129761
a21	0.126172	0.161186	0.193157	0.2168	0.211225	0.0656529	0.016165	0.00661956	0.00302204
a5	0.0543727	0.0901382	0.157523	0.206833	0.292904	0.144519	0.0348581	0.012798	0.00605491
a21	0.0469506	0.0721651	0.124709	0.177664	0.301951	0.198135	0.0540862	0.016172	0.00816715
a41	0.0423216	0.0594384	0.100896	0.160256	0.302908	0.24229	0.0637449	0.0168243	0.011322
a21	0.0466988	0.0858083	0.109277	0.158851	0.249125	0.200358	0.0800859	0.035385	0.0344109
a12	0.055772	0.103287	0.140965	0.183866	0.231814	0.176288	0.0584161	0.023589	0.0260015
a21	0.0355584	0.0592765	0.0960536	0.158399	0.215437	0.223402	0.0904969	0.0496405	0.0717361
a75	0.0563922	0.0854314	0.111515	0.154117	0.156956	0.159686	0.114514	0.0729247	0.0884649
a85	0.0267709	0.0387414	0.0508326	0.0817547	0.0917883	0.169621	0.164277	0.163937	0.212276
a47	0.0398768	0.0459129	0.0312627	0.0372643	0.0271573	0.0744654	0.127279	0.237496	0.379285
a36	0.0353254	0.0428505	0.0178316	0.0192283	0.0131908	0.0363478	0.0780666	0.185056	0.572103
a21	0.0360525	0.0496126	0.0209097	0.023541	0.0161962	0.0247549	0.0582426	0.178785	0.591905
a56	0.0151392	0.0167483	0.0101961	0.0120918	0.00865833	0.0350978	0.167946	0.321851	0.412272
a61	0.0105444	0.0124869	0.00741392	0.00893367	0.00658719	0.0201552	0.106334	0.360093	0.467452
a0	0.00372393	0.00532161	0.00366425	0.00444738	0.003382	0.00672076	0.0439368	0.328555	0.600248
a11	0.00116183	0.00201213	0.00232386	0.00259698	0.00229626	0.00524652	0.0329919	0.317525	0.633846
a93	0.00109026	0.00159799	0.0019495	0.00222926	0.00185268	0.00540668	0.0287961	0.28216	0.674918
a44	0.000966999	0.00151074	0.00159566	0.00165418	0.00127745	0.00286145	0.0214215	0.273538	0.695175
a94	0.000825297	0.00120061	0.00134486	0.00131504	0.000981598	0.00236348	0.0184998	0.263934	0.709535
a38	0.000921586	0.00119841	0.00142197	0.0013888	0.000879671	0.00243995	0.0165126	0.242466	0.732771
a82	0.00206945	0.00252631	0.00274376	0.00304543	0.00184678	0.00628934	0.0284928	0.266892	0.686094
a97	0.0330218	0.021802	0.0209561	0.0292992	0.0257553	0.0438414	0.0745282	0.250066	0.50073
a10	0.168433	0.099944	0.116027	0.124922	0.0836947	0.0564791	0.0655661	0.126819	0.158116
a87	0.168979	0.128817	0.155319	0.139388	0.0757708	0.0423851	0.0517111	0.101756	0.135874
a23	0.14918	0.136525	0.16173	0.140395	0.0800966	0.0536886	0.0623773	0.084943	0.131065
a99	0.0586617	0.0270148	0.0342854	0.0304982	0.0264971	0.0306856	0.071759	0.179582	0.541016
a97	0.0351531	0.0209056	0.0326394	0.0356264	0.0312159	0.0469479	0.0882785	0.227873	0.48136
</S>	0.0139349	0.0116405	0.0146182	0.0178104	0.0144766	0.0264158	0.060742	0.201587	0.638775
