 	on	a	blanchi	la	maison	</S>
a23	0.38707	0.259048	0.112283	0.0737624	0.0664845	0.101352
a85	0.406961	0.278257	0.128086	0.0656124	0.0622235	0.0588607
a87	0.45225	0.318662	0.0904283	0.0433175	0.0402336	0.0551079
a23	0.423453	0.334672	0.111392	0.0476927	0.0379688	0.0448206
a79	0.381279	0.303689	0.100498	0.057225	0.0589193	0.0983903
a20	0.431688	0.282073	0.0970415	0.0547176	0.0529121	0.0815677
a73	0.483507	0.355229	0.0900699	0.0324763	0.0206953	0.0180225
a94	0.386297	0.363159	0.164268	0.0500221	0.0207749	0.0154785
a25	0.37733	0.366348	0.149799	0.0573718	0.0272784	0.0218717
a38	0.273038	0.372209	0.221012	0.074173	0.0334493	0.0261179
a73	0.183306	0.309763	0.271794	0.12839	0.0606717	0.0460749
a44	0.134002	0.245764	0.311147	0.162742	0.0811201	0.0652258
a54	0.124623	0.249219	0.288195	0.174017	0.0921828	0.0717638
a14	0.143401	0.264779	0.256067	0.151071	0.0981585	0.0865237
a35	0.0998964	0.164856	0.23117	0.221819	0.163412	0.118845
a66	0.0536258	0.087428	0.170009	0.252813	0.240294	0.19583
a24	0.0331912	0.0587167	0.0950569	0.203432	0.2912	0.318403
a41	0.022991	0.0310786	0.0541834	0.181126	0.323744	0.386877
a12	0.0188838	0.0267348	0.0554742	0.182927	0.323428	0.392552
a41	0.0104079	0.0132813	0.0280328	0.12711	0.308762	0.512406
a18	0.00957069	0.0120257	0.0268871	0.129852	0.306828	0.514836
a75	0.0119984	0.0166477	0.0282584	0.0983934	0.244259	0.600443
a41	0.008338	0.0147733	0.0339842	0.122168	0.275968	0.544768
a94	0.00559782	0.00740509	0.0182675	0.098654	0.277729	0.592347
a18	0.00516761	0.00978055	0.0218369	0.0896742	0.232286	0.641255
a75	0.00515963	0.00734457	0.0200865	0.088232	0.227552	0.651625
a41	0.00293404	0.00515457	0.0151897	0.0800896	0.23783	0.658802
a18	0.00432838	0.00601497	0.0165992	0.0914453	0.261372	0.62024
a25	0.00587061	0.00940494	0.0203184	0.085873	0.225134	0.653399
a87	0.0225207	0.0190935	0.0332059	0.106746	0.236436	0.581998
a23	0.0145659	0.0135802	0.0381559	0.144739	0.288339	0.500621
a87	0.0344126	0.0340067	0.0583462	0.149298	0.274405	0.449531
</S>	0.0277415	0.0259335	0.0665136	0.172105	0.275255	0.432451
