 	les	fleurs	de	l'	arbre	okaa	annoncent	la	grande	saison	des	pluies	</S>
a66	0.175669	0.131952	0.0699286	0.0850648	0.118678	0.115913	0.090388	0.102093	0.0572579	0.0259818	0.0118652	0.00792825	0.00728014
a10	0.104797	0.0456929	0.0388474	0.0480571	0.0636495	0.127401	0.203984	0.115916	0.122844	0.0551175	0.0264918	0.0189222	0.0282791
a97	0.316706	0.122828	0.0820909	0.0904893	0.0982329	0.107819	0.056791	0.0244371	0.0282877	0.0158125	0.0129696	0.0164348	0.0271004
a83	0.321064	0.140259	0.0865168	0.0934019	0.094085	0.095215	0.0513756	0.025526	0.0320266	0.0171009	0.0114999	0.0123649	0.0195642
a99	0.264267	0.190964	0.113902	0.107887	0.110219	0.0960457	0.0467484	0.0238252	0.020608	0.00698773	0.00557522	0.00513134	0.00783935
a93	0.228963	0.259756	0.144504	0.109628	0.0857541	0.0510123	0.0350168	0.0254414	0.0238129	0.0100141	0.0089519	0.00758927	0.0095573
a90	0.236107	0.224069	0.141969	0.111046	0.0880441	0.0535354	0.0502899	0.0320375	0.0241877	0.0135085	0.00887361	0.00796725	0.00836459
a56	0.184589	0.241077	0.159083	0.107364	0.0819217	0.0526647	0.047486	0.0294355	0.0233947	0.0194586	0.01778	0.0172948	0.0184511
a75	0.128204	0.179193	0.124106	0.0971826	0.087183	0.0673779	0.0854167	0.0519532	0.0377852	0.0328705	0.0321521	0.0358774	0.0406982
a12	0.0649988	0.102621	0.0841167	0.0795507	0.0867318	0.0863269	0.131806	0.0956416	0.0685951	0.0568854	0.0481493	0.0473517	0.0472253
a47	0.061228	0.0826988	0.0845453	0.0888159	0.100231	0.0971574	0.158453	0.121042	0.0701058	0.0440986	0.0262743	0.03005	0.0352993
a21	0.037436	0.0520645	0.0823789	0.108106	0.123334	0.129103	0.140781	0.0991757	0.0636779	0.0445852	0.0312447	0.0396184	0.0484953
a12	0.0196797	0.0246968	0.0336772	0.0456838	0.0608069	0.0765938	0.145653	0.144884	0.101154	0.0869816	0.0690603	0.0890742	0.102055
a31	0.00894274	0.0120472	0.0255362	0.0448533	0.0719014	0.120338	0.145075	0.141006	0.105096	0.0895617	0.0629359	0.0775632	0.0951437
a21	0.00793847	0.00963549	0.0201715	0.0357367	0.0610353	0.129436	0.122201	0.131011	0.109531	0.117326	0.0778975	0.081788	0.096291
a5	0.00499639	0.00536803	0.00886714	0.0141157	0.0235981	0.0567456	0.0696741	0.111823	0.104692	0.155953	0.129947	0.152391	0.161829
a18	0.00279677	0.0032193	0.00649971	0.0107364	0.0184318	0.0598203	0.0486228	0.0752728	0.0757678	0.133847	0.136401	0.185922	0.242662
a75	0.00564683	0.00681996	0.0114575	0.0185284	0.0335418	0.110455	0.020426	0.0234071	0.0169094	0.0342348	0.0918833	0.206038	0.420652
a85	0.00150732	0.00148977	0.00343465	0.00536236	0.00764436	0.0279577	0.0198221	0.0263775	0.0305285	0.0844607	0.13285	0.259362	0.399203
a47	0.00143182	0.00174554	0.00393252	0.00551906	0.0065672	0.0161224	0.010243	0.0194676	0.0210655	0.0675299	0.141986	0.308309	0.39608
a36	0.000367414	0.000342751	0.000687911	0.0010169	0.0014073	0.00467308	0.00308136	0.00565465	0.00676531	0.0248888	0.0962922	0.32758	0.527242
a2	0.00572804	0.00446978	0.00629258	0.00807071	0.0115526	0.0275059	0.0106053	0.0146779	0.0130103	0.0247361	0.0945429	0.275474	0.503334
a57	0.052241	0.0415061	0.0373887	0.0382712	0.0371028	0.0402427	0.0220427	0.0352674	0.0236124	0.0326523	0.0884972	0.231323	0.319853
a10	0.131864	0.0524151	0.0422182	0.0403859	0.0381832	0.0508073	0.0346679	0.0530591	0.0386266	0.0394792	0.0733277	0.163941	0.241025
a97	0.141167	0.0526575	0.0427072	0.0505954	0.0637069	0.106363	0.0684903	0.0685459	0.0679923	0.0585894	0.0660395	0.0920409	0.121105
a23	0.100017	0.0410385	0.0317565	0.0395125	0.058541	0.134385	0.0723679	0.0644204	0.075804	0.0853834	0.0797259	0.0970429	0.120005
a97	0.0194874	0.00860136	0.00787496	0.00919853	0.0103678	0.0183928	0.0203138	0.0278087	0.0466361	0.0926823	0.145656	0.25094	0.342041
a87	0.00464586	0.00240197	0.00260342	0.00283463	0.00352005	0.00892421	0.0114786	0.0138912	0.0237194	0.0593126	0.135794	0.313633	0.417241
</S>	0.0149777	0.00708372	0.00610992	0.00658064	0.00839766	0.0196862	0.0141306	0.0183318	0.0315746	0.058225	0.105077	0.260646	0.449179
