 	la	maladie	de	mon	épouse	a	totalement	dépassé	mes	moyens	</S>
a87	0.133568	0.160872	0.121459	0.0915325	0.124727	0.173722	0.0784107	0.0504744	0.0321567	0.0215738	0.0115046
a23	0.139609	0.101279	0.0944828	0.065246	0.0867645	0.0939771	0.170516	0.087307	0.0771077	0.0448656	0.0388447
a62	0.218033	0.189615	0.119581	0.0692525	0.0765229	0.0810217	0.107805	0.0609409	0.0372835	0.0244868	0.0154581
a83	0.418133	0.224263	0.107942	0.0774487	0.0535928	0.0474819	0.0328697	0.0146035	0.0109288	0.00690206	0.00583424
a18	0.316158	0.229707	0.127533	0.0987494	0.0827024	0.065977	0.0377022	0.0170078	0.0105143	0.00812549	0.00582352
a90	0.209451	0.237659	0.16178	0.130192	0.103887	0.0816938	0.0367238	0.0165639	0.00880918	0.00713387	0.00610684
a25	0.197431	0.218824	0.154669	0.130605	0.111265	0.112384	0.0422891	0.010562	0.00677042	0.00776497	0.00743535
a92	0.102147	0.136739	0.145795	0.148156	0.1692	0.160708	0.065785	0.031696	0.0189392	0.0126205	0.00821447
a21	0.164692	0.192374	0.162272	0.136871	0.118257	0.115385	0.0538169	0.0214729	0.0131043	0.0103666	0.0113888
a75	0.170281	0.20068	0.174602	0.145092	0.106387	0.0990825	0.0499361	0.0203152	0.013127	0.0107202	0.00977695
a41	0.0990737	0.112778	0.12908	0.113388	0.101198	0.0996543	0.0626286	0.0715268	0.0642965	0.06566	0.0807167
a85	0.0459556	0.0458021	0.0685895	0.067398	0.0758261	0.0832138	0.0870109	0.156047	0.136997	0.103818	0.129342
a43	0.0421391	0.0388486	0.0592884	0.0571739	0.0594828	0.0605304	0.0541843	0.14218	0.145848	0.134234	0.206091
a0	0.0595152	0.0440545	0.05352	0.0518138	0.0840272	0.0795588	0.0705393	0.157927	0.145994	0.112663	0.140387
a24	0.0514348	0.0331929	0.0453703	0.04684	0.0797427	0.059702	0.0678334	0.183873	0.168985	0.13948	0.123546
a88	0.0351055	0.0232769	0.0299282	0.0301811	0.0468576	0.0426373	0.0644557	0.170098	0.162616	0.188565	0.206279
a61	0.00653568	0.00525103	0.00768268	0.0103383	0.0159499	0.0182866	0.0300164	0.146856	0.160522	0.264264	0.334297
a18	0.00987021	0.00708723	0.00889437	0.0106725	0.0157821	0.0161982	0.0270416	0.157869	0.16248	0.262975	0.321129
a61	0.00288251	0.00284636	0.00467834	0.00698086	0.0111878	0.0135618	0.0161452	0.0961427	0.13373	0.271745	0.440099
a12	0.00117805	0.000989027	0.0016672	0.00236672	0.00399336	0.00517675	0.00944942	0.0791255	0.105715	0.270297	0.520042
a34	0.00225103	0.00191372	0.00341348	0.00453	0.0077424	0.0112027	0.0235574	0.0965838	0.112669	0.22509	0.511047
a75	0.000997387	0.000914398	0.00182347	0.00271359	0.00481382	0.00664278	0.0136044	0.0856547	0.106972	0.246469	0.529394
a85	0.000748386	0.000482623	0.000906813	0.00116453	0.00222671	0.00265329	0.00902105	0.0704428	0.0816058	0.179534	0.651213
a61	0.00245143	0.00177087	0.0023027	0.00258002	0.00415897	0.00434332	0.0172778	0.144718	0.141098	0.173617	0.505682
a75	0.000734825	0.000557978	0.00114567	0.00148639	0.00338886	0.00408963	0.0158714	0.112439	0.130094	0.221024	0.509168
a85	0.0014431	0.000973384	0.00151453	0.00161844	0.00267716	0.00304108	0.0150006	0.091789	0.105367	0.174495	0.602081
a36	0.00433212	0.00272457	0.00294852	0.0027792	0.00419936	0.00395141	0.0244555	0.167428	0.149219	0.153073	0.484889
a2	0.00350369	0.0026237	0.00341086	0.00356031	0.00621673	0.00603717	0.024765	0.107436	0.11916	0.197655	0.525631
a57	0.0289295	0.0215598	0.0191192	0.0174448	0.0196046	0.0207982	0.0274708	0.127436	0.10519	0.179086	0.433361
a10	0.140509	0.0740841	0.0623293	0.0406996	0.0627373	0.0595036	0.138779	0.128639	0.0867038	0.0748984	0.131118
a87	0.0652618	0.0372031	0.040613	0.0286909	0.0393712	0.0309053	0.0982678	0.250126	0.18145	0.116972	0.111138
a23	0.0441343	0.0287639	0.0390572	0.0319801	0.0475511	0.0432981	0.122534	0.230896	0.212902	0.119888	0.0789963
a87	0.0486271	0.0305639	0.0425657	0.032874	0.0564905	0.0578057	0.175495	0.145582	0.156494	0.12464	0.128862
a23	0.0126564	0.0113817	0.0214686	0.0159903	0.0274567	0.0345423	0.168323	0.167169	0.156414	0.149393	0.235204
a87	0.0133021	0.00992019	0.0164028	0.0121259	0.0256151	0.0277818	0.143708	0.153074	0.177275	0.177981	0.242814
</S>	0.00746541	0.00622431	0.0101245	0.00782354	0.0146352	0.0196192	0.110614	0.151353	0.176243	0.172524	0.323373
