 	cette	femme	a	tué	un	serpent	noir	avec	la	houe	</S>
a84	0.205022	0.145599	0.114108	0.111087	0.124145	0.114857	0.0778046	0.0538904	0.0276214	0.0141551	0.0117101
a87	0.274231	0.163906	0.135399	0.0903032	0.0797988	0.0696002	0.0508314	0.0419848	0.0340373	0.0288965	0.0310127
a23	0.306662	0.214831	0.14975	0.0922673	0.0610146	0.0491826	0.0277054	0.0256805	0.0221832	0.0219235	0.0287999
a87	0.324249	0.212086	0.152468	0.08655	0.0515789	0.0360366	0.0209318	0.0211893	0.0230996	0.0306618	0.041149
a23	0.297833	0.195805	0.146686	0.0902003	0.0596179	0.0467767	0.0307658	0.0303945	0.0277934	0.0324512	0.0416762
a87	0.273407	0.171821	0.123729	0.0811449	0.0664694	0.0568453	0.0396066	0.0407672	0.039483	0.0475341	0.059192
a23	0.280254	0.18689	0.143111	0.0952465	0.0690799	0.0559261	0.0362816	0.0349689	0.0291673	0.0320484	0.0370269
a30	0.277806	0.169987	0.118425	0.081587	0.0692986	0.0590379	0.0415128	0.0417539	0.0393252	0.0463366	0.0549292
a70	0.210071	0.173747	0.143917	0.127059	0.112374	0.0895461	0.0412525	0.0347533	0.0256317	0.0200027	0.0216446
a62	0.225743	0.197535	0.168145	0.113643	0.0825618	0.0692973	0.0450198	0.0361318	0.0256135	0.0198678	0.0164437
a96	0.17012	0.173582	0.174889	0.124508	0.0850282	0.073157	0.0611332	0.0502163	0.0399122	0.0293978	0.0180564
a93	0.11872	0.133473	0.154068	0.126038	0.0887583	0.079064	0.0780539	0.0685897	0.062065	0.053093	0.0380773
a90	0.0861874	0.10141	0.136694	0.128553	0.0951396	0.0892438	0.0900253	0.0754218	0.0716939	0.0688632	0.0567683
a15	0.0665118	0.0824798	0.117479	0.117661	0.0992398	0.0968724	0.10445	0.0836959	0.0808651	0.0809962	0.0697492
a69	0.0649596	0.077629	0.105794	0.111811	0.0865207	0.0725981	0.0782575	0.0737832	0.0842406	0.113141	0.131265
a93	0.0744164	0.0823239	0.102292	0.113218	0.0953953	0.082984	0.0851529	0.0757376	0.077827	0.0975141	0.113139
a34	0.0860724	0.0849605	0.0873478	0.104345	0.0948009	0.091216	0.0930924	0.0872314	0.0813991	0.0872958	0.102239
a75	0.0514578	0.049415	0.046017	0.0761686	0.0887675	0.0963241	0.104651	0.107676	0.108011	0.115946	0.155566
a92	0.0158896	0.0141129	0.0138876	0.0218698	0.0342337	0.0451487	0.0721371	0.105846	0.157762	0.222113	0.297
a75	0.00999004	0.00892503	0.009452	0.0156335	0.0287248	0.0415545	0.06943	0.108325	0.174885	0.237503	0.295578
a92	0.00917231	0.00767361	0.00674828	0.0105176	0.0198132	0.0319844	0.058017	0.0987864	0.166744	0.241373	0.34917
a5	0.00616583	0.00487669	0.00380764	0.00548941	0.00995683	0.0181588	0.0370416	0.0750198	0.156781	0.268663	0.414039
a43	0.00751223	0.00559078	0.00361222	0.00436639	0.00610322	0.0100153	0.0211223	0.0502927	0.124042	0.246461	0.520882
a21	0.00311072	0.00265059	0.00181394	0.00218607	0.00276285	0.0043886	0.00916247	0.0242614	0.0790339	0.229634	0.640995
a12	0.00147121	0.00123903	0.000876005	0.00101925	0.00127005	0.00193263	0.00365656	0.0107606	0.052594	0.218655	0.706526
a18	0.00123885	0.00108604	0.000803219	0.000990447	0.00125711	0.00200492	0.00379082	0.0112194	0.050257	0.209494	0.717858
a25	0.0134056	0.0121085	0.00962604	0.0119442	0.015689	0.0233476	0.0313217	0.0459458	0.0760189	0.171933	0.58866
a87	0.179547	0.115499	0.0806869	0.0655133	0.0642067	0.0657388	0.0608399	0.0650032	0.0710144	0.0875484	0.144402
a23	0.283251	0.191766	0.12127	0.0799332	0.0634303	0.0531103	0.0399395	0.0395475	0.0380191	0.0382952	0.051439
a99	0.146938	0.0859588	0.0574432	0.0367259	0.0328479	0.0300695	0.0267084	0.035996	0.0680771	0.153423	0.325812
a87	0.0533049	0.0319865	0.0230314	0.016895	0.0190413	0.0236315	0.0240414	0.0345225	0.0717216	0.204117	0.497707
</S>	0.0197086	0.0142106	0.0124016	0.0100493	0.0135109	0.0182303	0.0215244	0.0327963	0.0758483	0.241503	0.540217
