 	le	malade	agonise	</S>
a87	0.316975	0.284761	0.259762	0.138502
a79	0.290226	0.244932	0.190111	0.274732
a76	0.498384	0.272633	0.138052	0.0909313
a90	0.410099	0.260091	0.250056	0.0797546
a84	0.491129	0.335486	0.135783	0.0376018
a76	0.349044	0.402597	0.176327	0.0720318
a35	0.359027	0.362859	0.208992	0.0691223
a26	0.349996	0.371166	0.197473	0.0813648
a24	0.372097	0.385578	0.171256	0.0710691
a25	0.298752	0.343606	0.245536	0.112105
a87	0.234705	0.347101	0.273283	0.144911
a79	0.0919528	0.167921	0.327358	0.412768
a76	0.112391	0.176904	0.373042	0.337663
a94	0.169687	0.204265	0.291529	0.33452
a35	0.107867	0.168675	0.300685	0.422774
a76	0.0637775	0.121718	0.295681	0.518825
a35	0.042341	0.0666969	0.228392	0.66257
a21	0.0375052	0.0566661	0.194796	0.711033
a47	0.0311578	0.0429976	0.158354	0.767491
a32	0.0160633	0.0267182	0.13471	0.822508
a25	0.010381	0.0170482	0.111954	0.860617
a58	0.0151596	0.0211969	0.149647	0.813997
a57	0.00882485	0.0118814	0.0865053	0.892788
a4	0.0106034	0.0139548	0.106151	0.869291
a13	0.0127158	0.0193976	0.107731	0.860156
a99	0.0358296	0.0403345	0.139419	0.784417
a87	0.048945	0.0571527	0.172615	0.721288
</S>	0.051919	0.0566006	0.15659	0.73489
