 	l'	ombrette	a	un	long	bec	</S>
a66	0.471126	0.201571	0.0937408	0.0758735	0.0610385	0.0411268	0.0555233
a87	0.52882	0.237774	0.103018	0.0478119	0.0200158	0.0205876	0.0419719
a23	0.505575	0.292016	0.10943	0.035402	0.0152803	0.0165055	0.0257913
a79	0.429021	0.261538	0.12801	0.0474006	0.0259132	0.0378172	0.0702995
a44	0.449561	0.239839	0.103708	0.0515319	0.0359188	0.049931	0.0695098
a12	0.361124	0.250271	0.174664	0.0839674	0.0426129	0.0421172	0.045244
a96	0.200584	0.280301	0.26106	0.135957	0.0526592	0.0357687	0.0336697
a93	0.153973	0.250157	0.266992	0.164065	0.0676019	0.0475489	0.049662
a4	0.130983	0.217089	0.239824	0.166718	0.0867458	0.0728536	0.0857864
a13	0.119303	0.185118	0.191392	0.162873	0.112657	0.100101	0.128556
a11	0.0717533	0.124066	0.170803	0.175557	0.124003	0.136356	0.197461
a93	0.0399302	0.0527185	0.0794119	0.126125	0.146059	0.204729	0.351027
a4	0.0268519	0.0360237	0.0596763	0.121406	0.175084	0.222364	0.358594
a44	0.016136	0.021422	0.0363344	0.0811953	0.170915	0.256712	0.417286
a15	0.00824085	0.0105049	0.0186666	0.0405421	0.104644	0.269433	0.547969
a79	0.00299993	0.00351714	0.00758645	0.0185214	0.0575626	0.260564	0.649249
a98	0.00179375	0.00181054	0.0041775	0.0119081	0.0488361	0.249795	0.681679
a47	0.000839728	0.000813817	0.00204533	0.00661791	0.0414494	0.30658	0.641654
a36	0.000813859	0.0005898	0.00152403	0.00551975	0.039659	0.278893	0.673001
a2	0.0126555	0.00625928	0.0074151	0.0125866	0.0486461	0.251237	0.661201
a57	0.148871	0.0810174	0.061993	0.0660573	0.119546	0.225275	0.29724
a87	0.38579	0.194555	0.104664	0.0714682	0.072983	0.0838297	0.086711
a23	0.460055	0.24402	0.115031	0.0591451	0.0442605	0.0390858	0.0384033
a87	0.303511	0.138297	0.0839763	0.0669889	0.0753475	0.14854	0.183339
</S>	0.0603932	0.0316731	0.0270583	0.0312519	0.06292	0.276913	0.50979
