 	manger	avec	la	fourchette	est	une	culture	d'	emprunt	chez	les	mbochis	</S>
a66	0.0846826	0.0799423	0.0829175	0.132946	0.171266	0.172348	0.132625	0.0783643	0.0421979	0.0109134	0.0050221	0.0033703	0.00340456
a87	0.307994	0.184808	0.132603	0.137334	0.0916168	0.0638352	0.026476	0.0118848	0.00812826	0.00406578	0.00515383	0.0107569	0.0153434
a23	0.266318	0.172601	0.129743	0.156008	0.130341	0.0690137	0.0254618	0.0122387	0.00840549	0.00413087	0.00476852	0.00882471	0.0121444
a71	0.312651	0.227357	0.152989	0.13029	0.0593874	0.0231072	0.00872213	0.0075851	0.00417921	0.0042486	0.00731658	0.0204529	0.0417138
a75	0.21606	0.186668	0.156797	0.128775	0.0716212	0.0403227	0.02126	0.0225368	0.0143396	0.0152713	0.020848	0.0447467	0.0607544
a47	0.272174	0.207037	0.138099	0.076329	0.0427222	0.0332375	0.0313668	0.0248216	0.029321	0.0264939	0.0311478	0.0425758	0.0446754
a37	0.241173	0.192264	0.120368	0.0652524	0.0397403	0.0329227	0.0261013	0.0219925	0.0357547	0.0422141	0.0531563	0.0623988	0.066662
a15	0.192823	0.205279	0.16489	0.10474	0.044285	0.0324851	0.0220176	0.0211128	0.0328288	0.0350436	0.0440227	0.0496144	0.0508573
a79	0.102814	0.123012	0.107476	0.101974	0.0778394	0.0668151	0.0409256	0.0351995	0.0487591	0.0575238	0.0777569	0.073281	0.0866231
a0	0.0707034	0.0908183	0.0975191	0.0985723	0.0707354	0.0590301	0.0392687	0.0342655	0.0506061	0.0657859	0.089814	0.0997179	0.133163
a75	0.0704887	0.0970914	0.114964	0.119054	0.111155	0.0910003	0.0573687	0.0442277	0.0578313	0.0486221	0.0528749	0.0599478	0.0753748
a5	0.038707	0.0613306	0.0819612	0.0930556	0.0864358	0.0824786	0.0804719	0.0768326	0.0933126	0.0717637	0.0634555	0.0722265	0.0979683
a21	0.0210654	0.0373665	0.0637661	0.0984331	0.112352	0.117387	0.119045	0.105497	0.126365	0.0593201	0.0397561	0.0432742	0.0563726
a85	0.0101019	0.018372	0.0368682	0.0737761	0.0921938	0.104412	0.126446	0.133296	0.157366	0.0767394	0.0508119	0.0522519	0.0673649
a47	0.00647574	0.0108747	0.0178908	0.0365894	0.0458108	0.0472028	0.0587944	0.0782259	0.10709	0.152879	0.145543	0.132029	0.160594
a36	0.00543294	0.00892259	0.014483	0.0416352	0.0740689	0.0985157	0.134641	0.162342	0.146149	0.0818522	0.0554376	0.0633481	0.113171
a2	0.0099491	0.0164381	0.0259427	0.057569	0.0914211	0.120502	0.114718	0.150772	0.142009	0.0636103	0.0368931	0.0579234	0.112252
a57	0.0234454	0.0308076	0.0384444	0.0790368	0.14444	0.155693	0.124171	0.116609	0.0831655	0.0440378	0.0297486	0.0457184	0.0846835
a87	0.0264888	0.03535	0.0458862	0.0912071	0.1464	0.138826	0.120602	0.116791	0.0924673	0.0475066	0.0325102	0.0407358	0.0652282
a23	0.0978225	0.0583457	0.0471223	0.0791888	0.103653	0.0826427	0.0609428	0.0525982	0.0685466	0.0589111	0.0631042	0.088261	0.138861
a40	0.0626232	0.0444601	0.0362173	0.0566219	0.0767391	0.0570749	0.0368375	0.0454191	0.0565508	0.067852	0.0875258	0.131971	0.240107
a7	0.0112466	0.0111931	0.0117823	0.0159193	0.0166136	0.0171809	0.0241635	0.0358754	0.076924	0.114826	0.142644	0.200819	0.320812
a26	0.00466446	0.00488353	0.00620896	0.0101724	0.0143144	0.017293	0.0275226	0.041818	0.0815182	0.114399	0.127177	0.206026	0.344002
a53	0.00357768	0.0033007	0.00431945	0.0070421	0.0117086	0.0151047	0.0239689	0.0510132	0.0840077	0.13013	0.148413	0.2116	0.305814
a69	0.00598818	0.00604403	0.00696514	0.0112699	0.0215875	0.0297264	0.0490579	0.0783865	0.103873	0.0871337	0.0897597	0.180917	0.329291
a32	0.00332217	0.00420863	0.00534817	0.00828374	0.0153907	0.0229474	0.040532	0.0674503	0.0912861	0.0948327	0.112325	0.199959	0.334114
