 	son	aîné	lui	a	flanqué	une	taloche	sur	la	tête	</S>
a66	0.151777	0.141389	0.149272	0.212986	0.129818	0.0810625	0.0446402	0.0303902	0.0253746	0.017313	0.0159781
a87	0.205909	0.15943	0.141068	0.194233	0.116448	0.072639	0.0355454	0.0246153	0.0198669	0.0155498	0.0146961
a23	0.355708	0.220971	0.129823	0.142736	0.0676398	0.0355045	0.0155106	0.0088449	0.00749517	0.00683431	0.00893279
a79	0.362257	0.184762	0.108139	0.148591	0.0808288	0.0392718	0.0222004	0.0172581	0.0142665	0.010911	0.0115141
a13	0.32799	0.160293	0.10343	0.166564	0.0871453	0.0390409	0.0248163	0.0213504	0.0204228	0.0214699	0.027477
a99	0.382645	0.177126	0.112749	0.109819	0.0685627	0.0366873	0.0267479	0.0209265	0.0206893	0.018772	0.0252755
a50	0.201919	0.12159	0.0956676	0.0940358	0.0943765	0.0760852	0.0744636	0.0660087	0.0638383	0.0508939	0.0611219
a94	0.124373	0.111422	0.0978539	0.0783584	0.0805395	0.0737788	0.0800926	0.0821018	0.0838573	0.0819618	0.10566
a53	0.110301	0.117123	0.106937	0.0786677	0.0846582	0.0723243	0.0773688	0.0812304	0.080547	0.0822875	0.108556
a54	0.106101	0.112856	0.10787	0.0710239	0.0701434	0.0604853	0.0647999	0.0790147	0.0857339	0.101845	0.140127
a56	0.0982426	0.112169	0.117433	0.0896549	0.0812262	0.0679694	0.0668931	0.0762574	0.0815844	0.0918045	0.116766
a94	0.0507405	0.0730556	0.0699518	0.0480777	0.0458099	0.043536	0.054671	0.0926361	0.111731	0.159686	0.250104
a41	0.0391556	0.0673776	0.0627791	0.0455372	0.0455115	0.0436126	0.0534221	0.0905628	0.110034	0.169174	0.272833
a12	0.0348575	0.0657121	0.0632115	0.0492354	0.0504934	0.0485028	0.0570086	0.0920825	0.110838	0.166222	0.261836
a96	0.0196124	0.042176	0.0434997	0.0412103	0.0481839	0.0494359	0.0567664	0.0957539	0.114451	0.178245	0.310665
a11	0.0166609	0.036153	0.038524	0.038836	0.0506456	0.0596515	0.0673699	0.105812	0.117318	0.174496	0.294533
a70	0.0124322	0.0232421	0.0260162	0.0306066	0.0482111	0.0636819	0.0746174	0.115446	0.124262	0.175959	0.305526
a4	0.01082	0.0164226	0.0182567	0.0237975	0.0448611	0.0670784	0.080106	0.121033	0.1281	0.173814	0.315711
a57	0.00969209	0.0142597	0.015172	0.0209969	0.0428653	0.0731376	0.0911667	0.137981	0.13786	0.171292	0.285576
a13	0.00630434	0.00852797	0.00830245	0.0118012	0.029777	0.0576806	0.0838718	0.138378	0.144173	0.184972	0.326211
a57	0.00315034	0.00349341	0.00312684	0.00426205	0.0126938	0.0331458	0.0555301	0.120177	0.141648	0.208894	0.413878
a30	0.00219314	0.0023448	0.0021592	0.00352498	0.011362	0.0339786	0.060754	0.130582	0.15312	0.229603	0.370378
a99	0.00973437	0.00785474	0.00799258	0.0119382	0.022793	0.0447219	0.0585645	0.0959319	0.122951	0.246591	0.370927
a83	0.0543221	0.0308404	0.0220624	0.0306615	0.0428204	0.0609472	0.059309	0.0965608	0.119198	0.21005	0.273229
a24	0.016545	0.00918685	0.00591181	0.00777249	0.0147227	0.0316564	0.0444381	0.104633	0.142481	0.26967	0.352982
a83	0.00275165	0.00195442	0.00127325	0.00172484	0.00369141	0.0114991	0.023805	0.0862578	0.141113	0.285574	0.440356
a18	0.000793085	0.000812969	0.000617148	0.000820072	0.00218176	0.00806082	0.0192569	0.0728825	0.1223	0.296945	0.47533
a99	0.0041098	0.00307981	0.00209136	0.00260077	0.00498933	0.0130641	0.0249892	0.0751183	0.114626	0.301898	0.453433
a13	0.00984091	0.00558845	0.00317656	0.00394736	0.00706384	0.0163281	0.0275599	0.0716982	0.107003	0.299541	0.448253
a3	0.0137196	0.0077232	0.0045355	0.00515229	0.00817658	0.0180199	0.0299172	0.0720037	0.108792	0.298009	0.433952
a82	0.089411	0.047557	0.0293576	0.0362297	0.053254	0.0780209	0.0735647	0.0856919	0.103491	0.165421	0.238001
a97	0.106214	0.0674908	0.0490185	0.0589589	0.084222	0.102035	0.0826244	0.0795249	0.0901653	0.121784	0.157962
a87	0.105526	0.0775805	0.0691672	0.0979241	0.121418	0.123023	0.0880246	0.0667044	0.0685626	0.0806826	0.101386
a85	0.116661	0.0929581	0.0871058	0.126269	0.131856	0.125136	0.083412	0.0555818	0.0532773	0.0577769	0.0699653
a87	0.172813	0.0848338	0.0477423	0.044562	0.0570057	0.0794205	0.0715851	0.0819911	0.0957742	0.110787	0.153485
a97	0.141155	0.0855123	0.0535099	0.0540272	0.0642336	0.08379	0.0681636	0.0791573	0.100123	0.118544	0.151783
a87	0.162349	0.11969	0.0716617	0.0690705	0.0710575	0.0723223	0.0554229	0.0581146	0.0699553	0.0989836	0.151373
a23	0.164273	0.113576	0.0697733	0.0737105	0.0794643	0.0804586	0.0640556	0.0625823	0.0710037	0.0903519	0.13075
a97	0.126516	0.076772	0.0474342	0.0408061	0.0559854	0.0804778	0.0826107	0.100368	0.122369	0.122858	0.143803
</S>	0.177721	0.11097	0.0598617	0.0481869	0.0513756	0.0580625	0.0511519	0.0683552	0.0923636	0.118239	0.163713
