 	son	oncle	et	lui	ont	des	altercations	</S>
a66	0.151181	0.219191	0.335616	0.221492	0.0485545	0.0134756	0.00546829	0.00502222
a87	0.281554	0.257065	0.225578	0.145674	0.039944	0.0181861	0.0131527	0.0188471
a23	0.358986	0.302122	0.146438	0.0898892	0.0374487	0.0232266	0.0179864	0.0239038
a79	0.373822	0.254294	0.0763346	0.0409042	0.0308161	0.0487083	0.0873009	0.0878196
a69	0.26257	0.201304	0.120412	0.111953	0.128591	0.0837856	0.0394125	0.0519717
a15	0.23303	0.244926	0.210167	0.164126	0.0845907	0.0390692	0.0147449	0.00934683
a20	0.0911145	0.10513	0.191389	0.25805	0.210652	0.0950221	0.0294156	0.0192269
a47	0.0706659	0.0873752	0.146317	0.202824	0.248618	0.162518	0.0477479	0.0339337
a85	0.0600905	0.0841315	0.124703	0.171486	0.262893	0.184901	0.0588981	0.0528965
a47	0.113242	0.117566	0.178026	0.230343	0.21345	0.0940567	0.0283053	0.0250112
a37	0.118135	0.119529	0.157507	0.177109	0.207918	0.124674	0.0461939	0.0489345
a56	0.177206	0.181384	0.181577	0.130237	0.10603	0.0871327	0.064787	0.0716462
a90	0.123978	0.145632	0.170084	0.128046	0.119211	0.109502	0.0985671	0.104979
a94	0.0698866	0.0819628	0.135852	0.11839	0.131066	0.136269	0.150829	0.175744
a98	0.0384282	0.0379822	0.080027	0.080327	0.123793	0.156845	0.213029	0.269569
a47	0.0160812	0.0181173	0.0509241	0.0750785	0.178523	0.214209	0.206288	0.240779
a6	0.00733998	0.00781382	0.0227497	0.0335043	0.113205	0.174409	0.247075	0.393903
a37	0.00917622	0.00771201	0.0200621	0.0344795	0.127473	0.189171	0.236939	0.374987
a61	0.00918737	0.00595751	0.00915429	0.0126066	0.0527327	0.154136	0.295133	0.461093
a21	0.00294368	0.00185453	0.00293402	0.00457381	0.0234706	0.0984466	0.31344	0.552337
a5	0.000781004	0.000686678	0.00130964	0.00236345	0.0123062	0.056731	0.310672	0.61515
a37	0.00057628	0.000458695	0.000983052	0.00220907	0.011397	0.0382109	0.237382	0.708783
a44	0.000892114	0.000577463	0.000933396	0.002109	0.0105871	0.0400473	0.236506	0.708348
a70	0.000489745	0.000320603	0.000611369	0.00153288	0.00727996	0.0316711	0.221318	0.736776
a13	0.000432891	0.000305958	0.000838032	0.00227321	0.0101403	0.0377574	0.221151	0.727101
a3	0.00278659	0.00239416	0.00635973	0.0148058	0.0319188	0.0634639	0.204152	0.674119
a87	0.264568	0.228926	0.18199	0.0997656	0.043051	0.0382583	0.0547661	0.0886746
a23	0.221053	0.214705	0.206338	0.129079	0.0471993	0.0405291	0.0608414	0.0802557
a87	0.0458457	0.0242617	0.0160835	0.0160934	0.0244982	0.0913825	0.31891	0.462925
</S>	0.00758434	0.0043943	0.00518214	0.00718449	0.0237233	0.0988069	0.337373	0.515751
