 	la	banane	est	tombée	d'	elle-	même	</S>
a87	0.327161	0.155648	0.0936415	0.102049	0.111226	0.112724	0.0638159	0.0337353
a23	0.203157	0.217408	0.16615	0.164455	0.134275	0.0618975	0.0316119	0.021045
a50	0.110809	0.151504	0.161976	0.176595	0.190084	0.0962688	0.058984	0.053779
a62	0.264713	0.208884	0.161181	0.176343	0.0984728	0.0357366	0.0257572	0.028912
a88	0.357396	0.263298	0.17171	0.115593	0.0547213	0.0163969	0.0115569	0.0093271
a9	0.265466	0.201314	0.160181	0.134376	0.0858642	0.0544968	0.052947	0.0453538
a38	0.15629	0.14921	0.139425	0.179095	0.132691	0.0968316	0.0843958	0.0620608
a75	0.165894	0.20574	0.144613	0.147108	0.104582	0.0726166	0.0832663	0.0761798
a98	0.3118	0.208275	0.131684	0.12028	0.0643267	0.0467194	0.0522919	0.0646226
a92	0.209143	0.191155	0.145561	0.137747	0.0929243	0.0754623	0.070497	0.0775109
a75	0.208891	0.184603	0.133136	0.128016	0.0798006	0.0721973	0.0853812	0.107974
a12	0.120522	0.118635	0.104768	0.115985	0.0886542	0.099454	0.149547	0.202436
a88	0.169723	0.157231	0.13165	0.112976	0.0773083	0.0845518	0.117626	0.148933
a11	0.0955966	0.0988635	0.127716	0.12973	0.115888	0.143863	0.143879	0.144465
a75	0.0531024	0.0527161	0.0734926	0.0827254	0.0978001	0.200519	0.213312	0.226332
a83	0.0779321	0.0495479	0.0651547	0.0713729	0.0737181	0.150548	0.213583	0.298144
a62	0.0377252	0.0257412	0.0324758	0.0379869	0.0495628	0.172606	0.311343	0.33256
a75	0.0329933	0.0234092	0.0251629	0.0289061	0.0367427	0.124395	0.337622	0.390769
a85	0.0198624	0.00930143	0.0147005	0.0199062	0.0213345	0.0629704	0.316614	0.535311
a37	0.0189143	0.00966261	0.0150653	0.0219085	0.0253627	0.0738286	0.326241	0.509017
a85	0.00287434	0.00207419	0.00361694	0.00562693	0.00834692	0.0356282	0.294673	0.64716
a5	0.00408092	0.00262156	0.00377274	0.00539148	0.00802594	0.0238704	0.267533	0.684704
a61	0.00656243	0.00441401	0.00789806	0.0110627	0.014217	0.0358916	0.275963	0.643992
a12	0.00136247	0.000965709	0.00192211	0.00292846	0.00514818	0.021489	0.263107	0.703077
a18	0.00267916	0.00195398	0.00333288	0.0050026	0.00876727	0.0295693	0.273726	0.674969
a25	0.00454454	0.00359499	0.00614408	0.0134738	0.0240162	0.0703895	0.295916	0.581921
a87	0.0391082	0.0408663	0.0368764	0.0551552	0.0664601	0.1022	0.221077	0.438257
a23	0.0736798	0.10657	0.113206	0.145259	0.138583	0.135629	0.149789	0.137283
a87	0.0630321	0.0549053	0.0364633	0.0402605	0.0528287	0.0977708	0.290938	0.363802
a23	0.0127256	0.0146088	0.0166762	0.0328206	0.0687028	0.133563	0.310709	0.410195
a87	0.0173708	0.0174518	0.0170218	0.0267396	0.0475634	0.0887405	0.303507	0.481605
a23	0.0130074	0.0136461	0.0149709	0.0280357	0.0485425	0.0723029	0.302976	0.506519
a87	0.0204657	0.0221843	0.0229547	0.03212	0.0493649	0.0769632	0.277148	0.498799
a23	0.0232944	0.0232684	0.0255379	0.042533	0.068565	0.0793168	0.266382	0.471102
a87	0.0280301	0.0283585	0.0304005	0.0415195	0.0632187	0.0838743	0.255895	0.468703
a23	0.0257034	0.0256142	0.0300626	0.0492224	0.0712348	0.0689889	0.242948	0.486226
a97	0.0266056	0.0285854	0.033501	0.0462766	0.0668866	0.0801334	0.242213	0.475798
a87	0.0225308	0.0232897	0.0350982	0.0451192	0.0517855	0.0595609	0.22259	0.540025
a23	0.0309793	0.0289579	0.0372174	0.0548778	0.0783546	0.0869308	0.251804	0.430878
a99	0.0301211	0.0297132	0.040574	0.0561693	0.0732628	0.0845419	0.235219	0.450398
a97	0.0340084	0.0311253	0.0443762	0.061742	0.0779591	0.0835598	0.226012	0.441217
a87	0.025426	0.0232272	0.0317542	0.0442231	0.061677	0.0689396	0.246155	0.498598
</S>	0.0297599	0.0264567	0.0358619	0.0519109	0.0843658	0.0931345	0.246752	0.431758
