 	le	bateau	a	jeté	l'	ancre	hier	</S>
a23	0.424875	0.204494	0.0854302	0.0654817	0.0442732	0.0384495	0.0621556	0.0748414
a10	0.188003	0.0812651	0.058488	0.0727133	0.0808966	0.114366	0.145585	0.258682
a87	0.102897	0.0957305	0.0739019	0.0861487	0.095767	0.131294	0.141863	0.272398
a10	0.144423	0.115659	0.0822989	0.0837322	0.101148	0.125068	0.11963	0.228041
a57	0.210569	0.111383	0.0756929	0.0611078	0.0660773	0.107988	0.133354	0.233828
a87	0.371035	0.160932	0.0905853	0.0519747	0.0457092	0.0707533	0.0790239	0.129987
a40	0.247776	0.183152	0.120861	0.0787721	0.056459	0.0663482	0.0857108	0.160921
a30	0.441628	0.219358	0.115454	0.0879639	0.0478249	0.0415153	0.025844	0.0204123
a94	0.326661	0.362707	0.16021	0.088951	0.0319072	0.0159707	0.00758616	0.00600645
a32	0.299376	0.356855	0.172723	0.0924122	0.0382292	0.0201092	0.0108131	0.00948258
a76	0.199307	0.286325	0.229008	0.150271	0.0746771	0.0298812	0.0151822	0.0153484
a30	0.165931	0.24018	0.225886	0.14906	0.0890805	0.0555907	0.0380057	0.0362657
a32	0.17928	0.235473	0.223367	0.157675	0.0995052	0.0492254	0.0267932	0.0286809
a75	0.119855	0.16295	0.226184	0.195788	0.133185	0.0697546	0.040333	0.0519506
a41	0.0962364	0.151384	0.233955	0.194121	0.118538	0.0704211	0.0609684	0.0743758
a35	0.0743357	0.102092	0.193019	0.169044	0.120788	0.0916261	0.101323	0.147772
a76	0.0538274	0.0728221	0.125236	0.133857	0.130828	0.115519	0.141648	0.226262
a90	0.0573459	0.0824626	0.101869	0.0986402	0.121537	0.130441	0.173512	0.234192
a25	0.064632	0.0720864	0.090108	0.0724882	0.102423	0.138569	0.175494	0.284199
a38	0.0125412	0.0170333	0.0281212	0.0319761	0.0910133	0.170301	0.273969	0.375045
a14	0.0120565	0.0105769	0.0160117	0.0183367	0.0576728	0.132717	0.269275	0.483354
a35	0.0169079	0.0141938	0.0181469	0.0176607	0.0468733	0.0987007	0.271026	0.516491
a38	0.0116548	0.00833128	0.011113	0.0118416	0.0299527	0.0873063	0.265336	0.574464
a14	0.00559839	0.00463263	0.00650245	0.00797596	0.0216885	0.0676017	0.259865	0.626135
a44	0.00682136	0.00457037	0.00537445	0.00576727	0.0177809	0.0555153	0.250389	0.653781
a57	0.00400682	0.00331475	0.00555699	0.00753849	0.0216759	0.0646762	0.249458	0.643773
a23	0.00077471	0.000679081	0.00132955	0.00233473	0.0134593	0.0483336	0.249845	0.683244
a4	0.00070592	0.000525672	0.000806926	0.00129507	0.0102388	0.044819	0.252041	0.689568
a13	0.00284792	0.00149857	0.00227482	0.00260128	0.0099127	0.0349597	0.210294	0.735611
a9	0.00287802	0.00173783	0.00217747	0.00310691	0.0168506	0.0586212	0.24819	0.666438
a87	0.00315704	0.00225953	0.00243132	0.00408971	0.0232475	0.0671266	0.257844	0.639845
</S>	0.0073543	0.00859358	0.0065876	0.00731237	0.0246688	0.0682328	0.229482	0.647768
