 	elle	était	au	bord	des	larmes	</S>
a23	0.361194	0.194339	0.0958166	0.0877297	0.0594929	0.0819753	0.119452
a79	0.474464	0.241336	0.129936	0.0605935	0.0327136	0.0247591	0.0361978
a20	0.26621	0.157309	0.11003	0.121586	0.0941671	0.113831	0.136867
a73	0.428897	0.263895	0.144526	0.0934855	0.0339236	0.0201254	0.0151482
a94	0.381835	0.335446	0.190099	0.0564056	0.0169591	0.0107032	0.00855202
a24	0.338935	0.307673	0.190944	0.073267	0.0359946	0.0268707	0.026315
a32	0.308178	0.290007	0.19217	0.0876225	0.0469362	0.0384394	0.0366469
a25	0.207702	0.23745	0.22639	0.12876	0.0793057	0.0618227	0.0585702
a75	0.163386	0.193163	0.203627	0.142522	0.106664	0.0887995	0.101839
a41	0.15236	0.176568	0.177795	0.147523	0.119245	0.11952	0.106989
a35	0.0595695	0.0708916	0.107165	0.19946	0.208393	0.196022	0.158499
a41	0.0351338	0.0402587	0.0638655	0.143316	0.224706	0.270843	0.221877
a35	0.0223926	0.0291097	0.0539769	0.131251	0.217342	0.301438	0.24449
a56	0.024046	0.0270249	0.0441318	0.0928905	0.182885	0.315308	0.313714
a35	0.0134486	0.0152865	0.0264055	0.0675543	0.161939	0.334308	0.381058
a21	0.00674924	0.00842051	0.0150948	0.0400603	0.116531	0.334397	0.478748
a41	0.00656211	0.00855637	0.0167096	0.043704	0.120916	0.301991	0.501562
a30	0.00359219	0.00456588	0.00939514	0.0294841	0.0921174	0.266753	0.594092
a2	0.0056437	0.00592475	0.00931035	0.020586	0.057654	0.192031	0.708851
a57	0.00453157	0.00408501	0.00619132	0.0161439	0.0434092	0.177791	0.747848
a87	0.00639193	0.00591572	0.0108344	0.0368842	0.0884144	0.238032	0.613528
</S>	0.0111827	0.0146169	0.0335239	0.116855	0.176951	0.258797	0.388073
