 	la	nourriture	en	question	est	déjà	pourrie	</S>
a23	0.272479	0.158998	0.105979	0.175165	0.185328	0.0584446	0.0305561	0.0130505
a87	0.284939	0.132021	0.104546	0.194491	0.1604	0.0584095	0.0411949	0.0239995
a23	0.153292	0.131254	0.144996	0.179292	0.126254	0.0818692	0.0857186	0.0973245
a87	0.189907	0.159066	0.129035	0.151604	0.134389	0.0902762	0.0837316	0.0619922
a99	0.169373	0.160491	0.127296	0.138345	0.116761	0.0867338	0.0990005	0.102001
a62	0.12863	0.137904	0.121632	0.127174	0.108643	0.0986705	0.123006	0.154341
a21	0.346735	0.305978	0.190842	0.0656543	0.0308637	0.0204075	0.0192702	0.0202493
a5	0.39001	0.338948	0.179075	0.0606575	0.0141206	0.00588888	0.00535639	0.00594317
a18	0.258785	0.317943	0.214684	0.0929578	0.0297218	0.0216999	0.0289956	0.0352133
a21	0.185377	0.190275	0.208203	0.143098	0.0639244	0.0539484	0.069855	0.0853193
a85	0.156111	0.202045	0.247683	0.196942	0.0641575	0.0386524	0.0394995	0.0549088
a61	0.14485	0.180338	0.243784	0.157838	0.0600695	0.0478893	0.0703434	0.0948881
a47	0.10327	0.0850103	0.192701	0.284272	0.10123	0.0614353	0.0804388	0.0916423
a62	0.0602498	0.0395112	0.0897673	0.212631	0.138053	0.10935	0.159448	0.19099
a0	0.0647919	0.046203	0.0921378	0.215886	0.14289	0.114276	0.15159	0.172225
a75	0.032273	0.0188327	0.032349	0.0887457	0.1098	0.157928	0.267775	0.292297
a25	0.0235482	0.0112669	0.0166744	0.0427504	0.0877664	0.146089	0.292424	0.379481
a90	0.00912378	0.00529663	0.00862012	0.0245412	0.0654686	0.159637	0.31951	0.407803
a13	0.00503855	0.00277125	0.00475746	0.0119294	0.0361492	0.116053	0.344792	0.478509
a93	0.00253267	0.00116549	0.00176608	0.00458001	0.0211232	0.0996743	0.349158	0.520001
a4	0.00190728	0.0013203	0.00230389	0.00659262	0.0254241	0.110189	0.368921	0.483341
a57	0.00223182	0.0013396	0.00264165	0.00836329	0.032398	0.111762	0.341574	0.49969
a3	0.000821033	0.000324109	0.000551442	0.0017142	0.0124265	0.0800044	0.322792	0.581367
a87	0.0149264	0.00640714	0.00729994	0.0134607	0.0248345	0.0569053	0.242814	0.633352
a97	0.0568081	0.0359883	0.0476311	0.0901221	0.13824	0.168176	0.237328	0.225705
a87	0.0535079	0.0289861	0.0343062	0.0721268	0.1505	0.177257	0.259631	0.223685
a23	0.0411835	0.0303643	0.0385586	0.0938472	0.151979	0.157454	0.233361	0.253252
a87	0.0171642	0.0147149	0.0214375	0.0400617	0.0927882	0.190382	0.263247	0.360205
</S>	0.0110619	0.00977046	0.0117436	0.0244318	0.0608228	0.129376	0.26265	0.490144
