 	il	a	des	démangeaisons	</S>
a23	0.45094	0.265209	0.124445	0.0869921	0.0724135
a87	0.435038	0.26622	0.159842	0.08354	0.0553599
a23	0.402854	0.235621	0.182368	0.112208	0.0669491
a79	0.478202	0.228295	0.10142	0.0716211	0.120462
a7	0.352547	0.194774	0.140302	0.170369	0.142007
a37	0.48916	0.341102	0.10807	0.0410473	0.0206204
a75	0.366786	0.358424	0.160601	0.0736377	0.0405515
a61	0.266842	0.342969	0.216686	0.115377	0.0581265
a21	0.241443	0.30254	0.244856	0.136494	0.0746672
a12	0.275585	0.262422	0.217114	0.16122	0.0836591
a43	0.24126	0.231615	0.219271	0.20649	0.101365
a21	0.199867	0.1897	0.216931	0.221519	0.171983
a5	0.168598	0.146684	0.198606	0.285808	0.200303
a43	0.126396	0.111216	0.171085	0.304598	0.286705
a11	0.0583646	0.0551528	0.119652	0.280994	0.485837
a93	0.0461944	0.0451131	0.0983286	0.273071	0.537293
a56	0.0298093	0.0344176	0.0882257	0.26644	0.581107
a66	0.0190479	0.0197132	0.0470183	0.17415	0.74007
a9	0.00421991	0.00569311	0.0281314	0.172156	0.7898
a10	0.0135259	0.0128065	0.0406128	0.171275	0.76178
a87	0.128394	0.0708421	0.105661	0.208898	0.486205
a23	0.155631	0.0801442	0.0955138	0.203153	0.465559
a87	0.0552085	0.0341906	0.0680913	0.201143	0.641366
</S>	0.0200669	0.0189187	0.0574112	0.201382	0.702222
