 	papa	a	décidé	de	répudier	maman	</S>
a66	0.573269	0.180265	0.0834518	0.0591101	0.0591473	0.0269184	0.0178386
a87	0.661748	0.19807	0.0784282	0.0296291	0.0155737	0.00740987	0.00914044
a23	0.547025	0.263419	0.106338	0.0300887	0.0179283	0.012883	0.0223192
a99	0.350182	0.239136	0.16301	0.0545967	0.0443919	0.052145	0.0965381
a36	0.212111	0.222538	0.175126	0.0689397	0.0666306	0.0950041	0.15965
a6	0.323831	0.277655	0.164824	0.0546495	0.0472165	0.057086	0.0747379
a37	0.215978	0.305344	0.279235	0.104374	0.0451019	0.0263403	0.0236258
a6	0.203617	0.284398	0.30875	0.110134	0.047337	0.0238239	0.0219398
a36	0.167965	0.266153	0.287473	0.153291	0.0681525	0.0306391	0.0263269
a85	0.153901	0.194242	0.235415	0.196028	0.11373	0.0549947	0.051689
a5	0.0767198	0.134384	0.219969	0.251028	0.168574	0.0828137	0.0665113
a61	0.145881	0.172325	0.199739	0.1997	0.149669	0.0704408	0.0622454
a62	0.0549315	0.0777624	0.126721	0.189779	0.231365	0.15215	0.167291
a96	0.0346194	0.0511298	0.0860247	0.164084	0.247915	0.203494	0.212733
a18	0.0147721	0.0191658	0.0293827	0.0914803	0.21721	0.302716	0.325273
a56	0.0083494	0.00975692	0.01091	0.032551	0.109033	0.283106	0.546293
a75	0.00396915	0.00347764	0.00489662	0.0187405	0.0850596	0.300684	0.583173
a85	0.000217706	0.000341991	0.000884128	0.00699688	0.0481182	0.269261	0.67418
a92	8.36513e-05	0.000161873	0.000414205	0.00535199	0.0489099	0.278074	0.667005
a79	0.000227618	0.000364115	0.000684233	0.00687592	0.050408	0.278909	0.662531
a54	0.000174525	0.000292085	0.000452676	0.00621965	0.0523389	0.279949	0.660573
a7	0.000241617	0.000482506	0.000719412	0.00814342	0.0523382	0.261207	0.676867
a84	0.00101314	0.00176886	0.00205874	0.013764	0.0658493	0.25793	0.657616
a57	0.0559318	0.0645155	0.0453012	0.0719598	0.14148	0.229821	0.390992
a87	0.152143	0.102153	0.0526397	0.0742594	0.145976	0.205536	0.267292
a23	0.401649	0.263036	0.0972264	0.0608758	0.0634404	0.0574997	0.0562721
a87	0.107681	0.0492955	0.0152726	0.0276175	0.0889425	0.259657	0.451534
</S>	0.017331	0.00880011	0.00361185	0.0118159	0.0711183	0.271843	0.615479
