 	les	aînés	incitent	les	jeunes	à	la	bagarre	</S>
a30	0.184751	0.340101	0.194419	0.116191	0.094483	0.0332971	0.0188443	0.0104766	0.00743651
a10	0.149392	0.200671	0.0880302	0.109615	0.136503	0.0844477	0.0720834	0.0750351	0.0842227
a9	0.280446	0.339061	0.11519	0.0766027	0.0493456	0.0231676	0.0207437	0.0341218	0.0613212
a10	0.316981	0.391799	0.139855	0.0596978	0.0352949	0.013252	0.0103686	0.0134239	0.0193278
a40	0.307225	0.411076	0.146627	0.0517217	0.0327843	0.0124142	0.0100548	0.0116632	0.0164336
a47	0.218251	0.248935	0.116183	0.0722319	0.0603563	0.0561949	0.0593205	0.0627739	0.105754
a85	0.39536	0.299797	0.154712	0.0553113	0.0309965	0.0169758	0.0151732	0.0137873	0.0178875
a5	0.362455	0.279861	0.189856	0.0579511	0.034716	0.0192312	0.0192088	0.01826	0.0184603
a62	0.373622	0.276459	0.215454	0.0600483	0.0295256	0.0147973	0.0115358	0.00982109	0.00873671
a21	0.339795	0.330984	0.203638	0.0621627	0.0305243	0.0129095	0.00807039	0.00642419	0.0054921
a61	0.345985	0.304329	0.206113	0.0524738	0.0295512	0.018731	0.0172481	0.0153795	0.01019
a66	0.195014	0.275937	0.286949	0.116516	0.062722	0.0266769	0.0160049	0.0114355	0.00874435
a98	0.110419	0.168907	0.275126	0.187266	0.109437	0.0659806	0.0373498	0.0267926	0.018722
a44	0.0917511	0.160053	0.246536	0.164798	0.11376	0.0757276	0.0598551	0.0518444	0.0356744
a26	0.059687	0.112247	0.210228	0.193782	0.149328	0.110454	0.0763665	0.0541141	0.0337946
a11	0.0361784	0.0690002	0.134731	0.178919	0.137299	0.136297	0.107257	0.110876	0.0894415
a96	0.0271992	0.0470076	0.0892637	0.13811	0.123321	0.168809	0.145792	0.144033	0.116463
a61	0.0153693	0.0328267	0.0847481	0.154662	0.142323	0.163684	0.157182	0.156143	0.0930631
a0	0.0088436	0.0188834	0.0556328	0.127021	0.129851	0.166239	0.175872	0.195708	0.121949
a75	0.00917793	0.0194407	0.0508406	0.114391	0.118497	0.143708	0.165977	0.215471	0.162497
a44	0.00631523	0.0109157	0.0355175	0.0731781	0.0992893	0.134081	0.16271	0.210437	0.267556
a98	0.00245235	0.00457472	0.0132127	0.0399603	0.0599701	0.0989907	0.139705	0.252619	0.388515
a85	0.00298162	0.00502346	0.0107326	0.0257967	0.0399841	0.0737628	0.117513	0.246537	0.477668
a44	0.00415785	0.00628812	0.0175862	0.0444869	0.0624269	0.107818	0.146928	0.24114	0.369168
a98	0.000792015	0.00136674	0.00377926	0.0148756	0.0246203	0.0576981	0.0929524	0.222813	0.581103
a85	0.00311216	0.0043708	0.00833074	0.0185305	0.0275876	0.0493969	0.0808038	0.211726	0.596142
a96	0.00616241	0.00751905	0.0124122	0.0264412	0.043211	0.0614486	0.0943771	0.206086	0.542343
a83	0.000746547	0.00143291	0.00316287	0.0117098	0.0196287	0.0414605	0.0767469	0.22696	0.618152
a61	0.000496596	0.000896579	0.00151765	0.00620526	0.0126966	0.030993	0.0635555	0.212468	0.671171
a47	0.00104743	0.00183644	0.00262602	0.00992544	0.0168377	0.0325995	0.0616071	0.207025	0.666495
a32	0.00315301	0.00579898	0.00705596	0.0224362	0.0365461	0.057935	0.0914405	0.218253	0.557381
a10	0.00129808	0.00185422	0.0022628	0.00817472	0.0121959	0.0293597	0.0646934	0.236315	0.643846
a9	0.00214756	0.00214759	0.00207974	0.00942925	0.0164422	0.0558067	0.112975	0.285758	0.513213
a99	0.0166368	0.0201894	0.0185956	0.0469059	0.0531228	0.105074	0.147963	0.26094	0.330572
a87	0.0135234	0.0182842	0.0163689	0.033376	0.0360609	0.0671655	0.120949	0.283021	0.411251
a97	0.0188817	0.0267832	0.0250748	0.0364747	0.034086	0.0546316	0.0948804	0.251113	0.458075
a9	0.0436004	0.0596806	0.0489894	0.0455475	0.0342972	0.045856	0.0806216	0.218072	0.423335
a82	0.0449124	0.0588661	0.0475432	0.041463	0.0315565	0.0442516	0.0785284	0.215197	0.437682
</S>	0.0630356	0.0771563	0.0585997	0.0455605	0.0321189	0.0398731	0.0700099	0.19635	0.417296
