 	il	se	mit	d'	accord	avec	lui	</S>
a10	0.333566	0.211447	0.0898155	0.0701499	0.0662797	0.0751439	0.0661827	0.0874157
a57	0.316013	0.171069	0.105162	0.0999862	0.0981889	0.0745251	0.0589429	0.0761123
a87	0.325905	0.156041	0.0736125	0.0591635	0.067883	0.085692	0.101296	0.130408
a23	0.391258	0.18903	0.08709	0.0636421	0.0619191	0.0633086	0.065266	0.0784865
a53	0.230336	0.189411	0.127572	0.111944	0.0887547	0.0808849	0.0774433	0.0936546
a20	0.331459	0.248795	0.132612	0.0749774	0.0451406	0.046827	0.0549207	0.0652676
a73	0.338832	0.280652	0.187256	0.0918185	0.0428381	0.0275996	0.0164019	0.0146026
a58	0.285958	0.275818	0.199195	0.107225	0.0576217	0.0371784	0.0204441	0.0165604
a98	0.261518	0.248665	0.210065	0.116946	0.0641926	0.0486094	0.0279853	0.0220191
a5	0.221455	0.222303	0.192592	0.128499	0.0880349	0.0675435	0.0445666	0.0350057
a94	0.158409	0.151392	0.142214	0.126554	0.11594	0.121184	0.102769	0.0815388
a41	0.151077	0.142249	0.141228	0.136481	0.124568	0.121671	0.097942	0.084784
a76	0.130011	0.119942	0.10843	0.125081	0.123325	0.130215	0.132096	0.1309
a73	0.0958421	0.0913075	0.0860259	0.107022	0.123091	0.153108	0.174319	0.169284
a69	0.0761869	0.0792363	0.0829475	0.107916	0.128057	0.158685	0.186082	0.180888
a84	0.0960771	0.0944766	0.0919269	0.0921286	0.110374	0.13771	0.186531	0.190776
a87	0.0326165	0.0324688	0.0469321	0.0760089	0.119783	0.171212	0.250358	0.270621
a23	0.0284409	0.0270184	0.0372938	0.068939	0.110335	0.168286	0.248911	0.310776
a87	0.0356597	0.0300389	0.0346609	0.0500945	0.0658639	0.113577	0.232792	0.437313
a23	0.011523	0.0132163	0.0175945	0.03792	0.0615432	0.151486	0.282009	0.424708
a87	0.0131586	0.0123625	0.0158561	0.0363425	0.0629573	0.164582	0.290088	0.404653
</S>	0.00596311	0.00720222	0.00876581	0.0210901	0.0446646	0.120598	0.280388	0.511328
