 	les	hommes	ont	une	âme	</S>
a23	0.316351	0.232926	0.158836	0.118062	0.0920315	0.0817934
a38	0.40723	0.1462	0.107741	0.0943994	0.121498	0.122932
a30	0.328934	0.221354	0.171645	0.119125	0.0862117	0.0727305
a35	0.412414	0.308301	0.143379	0.0794104	0.0370733	0.019422
a30	0.546179	0.267974	0.0976758	0.0476939	0.025328	0.0151498
a35	0.425961	0.307272	0.135246	0.0686085	0.038025	0.0248876
a26	0.437388	0.313864	0.133601	0.0615402	0.0324835	0.0211242
a38	0.384758	0.325155	0.147022	0.0707332	0.040539	0.0317935
a26	0.330089	0.324846	0.173538	0.0894158	0.0493613	0.0327505
a35	0.310432	0.322188	0.193788	0.09948	0.0486	0.0255114
a90	0.295887	0.286073	0.173607	0.11124	0.0793545	0.0538381
a35	0.196067	0.220945	0.173239	0.147352	0.141718	0.12068
a26	0.17282	0.171986	0.145215	0.155794	0.178576	0.175609
a98	0.0865597	0.102052	0.130179	0.174966	0.231932	0.274311
a70	0.0296139	0.0427485	0.0746396	0.158047	0.281108	0.413843
a83	0.0199765	0.0246983	0.0483852	0.117417	0.267984	0.52154
a9	0.00715297	0.0091359	0.0225894	0.0790626	0.263855	0.618204
a87	0.00436278	0.00527806	0.0165575	0.0763003	0.294025	0.603476
a23	0.00453514	0.00629836	0.0236249	0.104859	0.30567	0.555013
a87	0.0195014	0.0291225	0.0799367	0.194277	0.303061	0.374101
</S>	0.0213457	0.0437924	0.110656	0.214406	0.277793	0.332006
