 	il	n'	a	pas	encore	de	femme	il	ne	connaît	pas	son	bonheur	</S>
a23	0.2422	0.146733	0.0710111	0.0440113	0.0372937	0.0431735	0.0480247	0.047974	0.042208	0.0307955	0.0385231	0.0524262	0.0707196	0.0849062
a87	0.233275	0.178836	0.106741	0.0822855	0.0566521	0.0504675	0.0415283	0.031276	0.0233315	0.0192613	0.0263944	0.0352108	0.0470515	0.0676898
a23	0.163695	0.141711	0.100549	0.0817439	0.0551373	0.0446432	0.0391292	0.0306885	0.0235736	0.0208307	0.0361992	0.0593471	0.0815121	0.121241
a79	0.209181	0.187266	0.116821	0.0821473	0.0455731	0.0320206	0.0224763	0.0153612	0.0114369	0.00938774	0.0160496	0.031187	0.0650143	0.156079
a7	0.429263	0.289526	0.125537	0.046709	0.0165429	0.00929633	0.00565138	0.00429945	0.00348762	0.00362891	0.006927	0.0121202	0.0227684	0.0242429
a11	0.320681	0.258902	0.167852	0.0793468	0.0364734	0.0245625	0.016965	0.0125865	0.010059	0.0078623	0.0114718	0.0148442	0.0207892	0.0176037
a54	0.193116	0.1786	0.148783	0.104525	0.0713125	0.0614316	0.0497771	0.0379434	0.0331431	0.0230445	0.0233526	0.0244115	0.026379	0.0241813
a47	0.142005	0.135759	0.12703	0.103847	0.0836911	0.0735123	0.0675095	0.0587757	0.0520342	0.0358024	0.0316433	0.0292284	0.0308891	0.0282743
a92	0.1223	0.136622	0.138551	0.111321	0.0878752	0.0789842	0.0649187	0.0517653	0.0442632	0.0320881	0.0291554	0.0294829	0.0365957	0.0360772
a37	0.115944	0.128307	0.134444	0.113136	0.092171	0.0865718	0.0751522	0.0647056	0.0564711	0.03973	0.0260387	0.019379	0.0225316	0.0254185
a34	0.0941262	0.0840485	0.0971686	0.109625	0.105713	0.10853	0.0973928	0.0828469	0.0699645	0.0447606	0.0299085	0.0227625	0.0255644	0.0275878
a62	0.0478213	0.0472103	0.0718686	0.10756	0.123859	0.141708	0.128147	0.101661	0.0804232	0.0484473	0.031238	0.0219269	0.0228847	0.0252438
a75	0.0348848	0.0325328	0.0456954	0.0744167	0.108085	0.143985	0.148378	0.126337	0.101369	0.0606021	0.0395856	0.0283527	0.0275118	0.0282641
a44	0.0269897	0.0255757	0.0305508	0.0430442	0.0658428	0.0967117	0.12432	0.127581	0.127697	0.105499	0.0729573	0.0497936	0.0486781	0.0547586
a79	0.0412302	0.0347372	0.0363731	0.0443296	0.0620255	0.0939679	0.132899	0.142661	0.133111	0.0923853	0.0584734	0.0409756	0.0409224	0.0459078
a7	0.0285223	0.0254492	0.0292776	0.0379279	0.0555611	0.0849219	0.125649	0.144671	0.141857	0.111274	0.0718057	0.0486179	0.044539	0.0499272
a2	0.0157158	0.0146151	0.0199996	0.0318363	0.0509308	0.0793258	0.132376	0.155683	0.149173	0.11113	0.0730119	0.0515794	0.0504241	0.0641979
a40	0.0105683	0.00962561	0.0145327	0.0285267	0.0495037	0.0752571	0.134691	0.149128	0.134718	0.0893445	0.061542	0.053397	0.0665021	0.122662
a54	0.0175496	0.0169388	0.0206265	0.0295716	0.0401085	0.0539296	0.0871277	0.107036	0.11877	0.109169	0.100592	0.0887857	0.0837782	0.126018
