 	quel	événement	insolite	le	chef	coutumier	atsaa	est	mort	</S>
a87	0.105146	0.0587369	0.0848594	0.121437	0.160558	0.220792	0.192835	0.0373746	0.0117168	0.00654385
a23	0.187434	0.109022	0.210295	0.130217	0.0770666	0.0680103	0.0905458	0.0442435	0.0377534	0.045412
a87	0.169155	0.157516	0.207691	0.174327	0.117186	0.0779825	0.0468947	0.0162948	0.0133938	0.0195599
a23	0.203278	0.192675	0.17472	0.164465	0.111943	0.0895863	0.0309169	0.0120231	0.00877795	0.0116147
a87	0.292613	0.229818	0.172202	0.130114	0.073864	0.0437308	0.0206766	0.0126695	0.010484	0.0138281
a10	0.277475	0.224027	0.156576	0.133914	0.07886	0.0573573	0.0283402	0.0157567	0.0120126	0.0156812
a87	0.316538	0.223303	0.130473	0.108195	0.0671466	0.0541013	0.0363414	0.0241866	0.0170727	0.0226412
a23	0.369256	0.179196	0.13257	0.101518	0.0645171	0.0546853	0.0383281	0.0210027	0.0152352	0.0236913
a83	0.373671	0.235887	0.126636	0.0867122	0.0495487	0.032549	0.0294004	0.024444	0.0177742	0.0233769
a24	0.398997	0.234491	0.123197	0.0911777	0.0520733	0.0338358	0.0174817	0.0137066	0.0139578	0.0210819
a31	0.291003	0.275664	0.16297	0.100447	0.0746173	0.0473162	0.014046	0.00961004	0.00991599	0.01441
a21	0.252306	0.267037	0.158075	0.108719	0.0919413	0.0549426	0.0187367	0.0135956	0.0135345	0.0211121
a12	0.207959	0.27718	0.159192	0.1142	0.117782	0.0546761	0.0192335	0.01313	0.0141097	0.0225378
a43	0.13101	0.220451	0.158606	0.142098	0.159888	0.0799214	0.0282377	0.0218484	0.0223703	0.0355708
a47	0.0840437	0.162856	0.153988	0.164475	0.178975	0.0937063	0.0309572	0.0339521	0.0383731	0.058673
a61	0.0629145	0.141405	0.158891	0.18485	0.20313	0.115465	0.0353006	0.0273538	0.0286952	0.0419952
a75	0.0655447	0.12229	0.148435	0.183161	0.212558	0.122829	0.0377402	0.028826	0.0303986	0.0482173
