 	il	a	flanqué	des	coups	de	poing	à	son	ami	en	pleine	figure	</S>
a85	0.235223	0.245367	0.221073	0.0871671	0.0700906	0.034607	0.0299598	0.0214517	0.0153501	0.0128297	0.0100281	0.00717336	0.00534798	0.00433177
a66	0.311176	0.201561	0.132503	0.0427519	0.0499692	0.0318391	0.0274475	0.0256165	0.0241704	0.0305906	0.028106	0.0319618	0.0327862	0.0295213
a87	0.12922	0.115652	0.130916	0.0664514	0.0629009	0.0433288	0.0457078	0.0484474	0.046812	0.0454261	0.0425505	0.0517658	0.0749984	0.0958237
a97	0.110474	0.0715498	0.067287	0.0411483	0.0421689	0.0415846	0.0549235	0.0621617	0.0623221	0.0647859	0.0625292	0.0747835	0.0964165	0.147865
a87	0.154367	0.108346	0.109842	0.0745481	0.0717759	0.0488647	0.0543062	0.0497495	0.0447193	0.0477545	0.0354466	0.0386498	0.0534018	0.108229
a97	0.144294	0.103652	0.10572	0.0649855	0.0632355	0.0506856	0.0583126	0.0542748	0.0527471	0.0574399	0.0468112	0.053449	0.0582603	0.0861321
a10	0.169716	0.107713	0.0885979	0.0736294	0.0785425	0.0593731	0.061119	0.0531738	0.0453332	0.0481089	0.0325139	0.0372348	0.049726	0.095219
a30	0.144995	0.114503	0.10435	0.0865802	0.0895417	0.063976	0.0612828	0.05076	0.0440464	0.0464627	0.0347615	0.0374425	0.0479629	0.0733354
a53	0.128959	0.101986	0.0928511	0.0799912	0.0795888	0.0610523	0.0655371	0.0553207	0.0504856	0.0527434	0.0413528	0.0431342	0.0593791	0.0876182
a15	0.129019	0.10567	0.107499	0.0866689	0.0643038	0.037002	0.0409368	0.0374531	0.0333866	0.0365005	0.0502489	0.0623575	0.0969085	0.112044
a79	0.0710593	0.0859693	0.133386	0.125553	0.0892858	0.0492131	0.0464989	0.0416804	0.0337242	0.0331566	0.0443453	0.0535772	0.0909287	0.101621
a56	0.0617899	0.0907689	0.141739	0.12615	0.09055	0.0572435	0.0508066	0.0482665	0.0380661	0.0355393	0.0465167	0.0534291	0.0791716	0.079962
a96	0.0534431	0.0826204	0.144202	0.147973	0.10255	0.0775001	0.068403	0.0669582	0.049363	0.0397547	0.0395644	0.0371614	0.0448079	0.0456984
a66	0.0332861	0.0533706	0.109083	0.148606	0.11904	0.088948	0.0805878	0.0811637	0.0601712	0.0488267	0.0467641	0.0421363	0.0458214	0.0421944
a38	0.0268466	0.0415973	0.0887734	0.135807	0.117818	0.0938369	0.0903718	0.0816428	0.0604891	0.0506111	0.0482795	0.0506546	0.0548201	0.0584515
a43	0.0207206	0.0307887	0.0800961	0.130955	0.121076	0.105566	0.0962789	0.093273	0.0703993	0.0556699	0.0488979	0.0456481	0.0488658	0.051764
a94	0.0172904	0.024173	0.0640956	0.0988958	0.0968438	0.0845679	0.0782036	0.0908755	0.0778067	0.0682276	0.0690654	0.0682223	0.0766982	0.0850343
a76	0.0127006	0.0159753	0.0409472	0.0734787	0.0978358	0.105309	0.0942303	0.110416	0.100033	0.0879658	0.0792038	0.0609178	0.0601165	0.0608696
a94	0.0126456	0.0168717	0.0239081	0.0286255	0.0282916	0.0370251	0.0300352	0.0472516	0.0683809	0.0933696	0.133915	0.188505	0.159362	0.131814
a90	0.010794	0.0133988	0.0236428	0.0330774	0.0373116	0.0450231	0.0407319	0.0595433	0.0829418	0.104926	0.134132	0.146728	0.132498	0.135251
a93	0.00899466	0.0118003	0.0221391	0.0288662	0.0288992	0.0418214	0.0357376	0.0560303	0.0858164	0.111676	0.137617	0.149281	0.139843	0.141479
a4	0.00612017	0.00840549	0.0171897	0.0262875	0.0290329	0.0424382	0.0390349	0.0588667	0.0907912	0.120774	0.150639	0.165203	0.134786	0.110431
a96	0.00322825	0.0040687	0.00786001	0.0165498	0.0213721	0.0284895	0.027568	0.0419221	0.0682669	0.100381	0.13661	0.165995	0.17223	0.205459
a50	0.00364407	0.00450322	0.00890645	0.0167929	0.0210665	0.0282119	0.0268817	0.0430237	0.0732099	0.111956	0.150264	0.188399	0.160987	0.162154
a88	0.00179329	0.00175499	0.00263543	0.00474972	0.00724328	0.013306	0.0127812	0.0237835	0.0453484	0.0790275	0.110984	0.168863	0.234917	0.292813
a0	0.00113121	0.00117916	0.00209023	0.00456972	0.00783418	0.0142605	0.0126373	0.0233311	0.0455262	0.0792928	0.11067	0.187918	0.263074	0.246485
a90	0.00134377	0.00119754	0.00167273	0.00219946	0.00337346	0.00657815	0.0057064	0.0104585	0.0211057	0.0410463	0.0708141	0.150923	0.285042	0.398538
a56	0.000754526	0.000898744	0.00215735	0.00536433	0.00817742	0.0136947	0.0106861	0.0185418	0.0383888	0.0714292	0.10474	0.203021	0.258691	0.263455
a47	0.000411578	0.000408206	0.000774663	0.00190747	0.00340917	0.00691403	0.00548176	0.00945407	0.0209846	0.0414753	0.0705022	0.170259	0.282159	0.385859
a62	0.00024935	0.000204197	0.000326656	0.000458448	0.000763174	0.00174398	0.00153408	0.00325006	0.00838108	0.0196082	0.0381257	0.125143	0.306872	0.49334
a47	0.000564752	0.000505974	0.000837774	0.00113969	0.00181982	0.00368426	0.00303087	0.00545623	0.012206	0.0247152	0.0431019	0.134865	0.298791	0.469282
a88	0.000685253	0.000576022	0.000835848	0.000903134	0.00128824	0.00242159	0.00210003	0.00387268	0.00944245	0.0212402	0.0426461	0.135855	0.315644	0.46249
a71	0.000470107	0.000353851	0.000568625	0.000591853	0.000856385	0.00171034	0.00145724	0.0031611	0.00895245	0.0218499	0.0469776	0.140153	0.30209	0.470808
a9	0.0085066	0.00598368	0.00827916	0.00760863	0.00930329	0.0133505	0.00978293	0.0141581	0.0309626	0.0520584	0.0790699	0.167184	0.230555	0.363198
a10	0.0332205	0.0165967	0.0152624	0.0130312	0.0137357	0.0192494	0.0163745	0.0248637	0.0454564	0.0752541	0.0873595	0.161886	0.182375	0.295334
a13	0.0743882	0.0355011	0.025785	0.0180782	0.022972	0.0256527	0.0251248	0.0361478	0.0565756	0.0861237	0.0921981	0.141934	0.17199	0.187529
a57	0.014617	0.00664078	0.00523636	0.00402417	0.00515735	0.00716057	0.00794685	0.0165014	0.0327595	0.0581252	0.0741763	0.153895	0.257042	0.356718
