 	la	mouche	tsé-tsé	suit	l'	antilope	</S>
a66	0.270844	0.112434	0.139491	0.177575	0.14836	0.102793	0.0485026
a87	0.357625	0.184274	0.16671	0.0996354	0.0775242	0.0698227	0.0444095
a23	0.481613	0.300859	0.127944	0.0313766	0.0192332	0.0191279	0.0198458
a71	0.442779	0.396145	0.108274	0.022329	0.0111062	0.0100183	0.00934922
a9	0.487489	0.269636	0.111919	0.0462638	0.0309988	0.0272104	0.0264822
a4	0.436316	0.2803	0.158857	0.0609301	0.0295031	0.0189511	0.0151427
a13	0.245929	0.25732	0.226253	0.128548	0.0724518	0.0388688	0.0306287
a93	0.147457	0.263673	0.233552	0.152305	0.0875163	0.0602699	0.0552264
a56	0.0948312	0.207108	0.261202	0.223579	0.0876532	0.0673298	0.0582968
a61	0.0908816	0.191055	0.259673	0.233642	0.0894162	0.0726858	0.0626465
a12	0.102808	0.164277	0.222785	0.251897	0.109599	0.0823246	0.0663091
a34	0.110745	0.117064	0.149142	0.248063	0.152918	0.125784	0.0962852
a75	0.100036	0.0899501	0.113929	0.212281	0.176751	0.165443	0.14161
a92	0.0540119	0.0398767	0.0416614	0.111375	0.179187	0.274623	0.299266
a25	0.029986	0.0217482	0.0280449	0.0895132	0.18301	0.299735	0.347963
a90	0.0122993	0.00933723	0.017428	0.0527556	0.136495	0.280166	0.491518
a94	0.00462433	0.00305795	0.00564647	0.0290632	0.123643	0.25969	0.574275
a13	0.00291668	0.00172586	0.00386369	0.0120244	0.0600574	0.205768	0.713644
a57	0.00521538	0.0036632	0.00757559	0.0178306	0.0503191	0.176102	0.739294
a3	0.152649	0.0608842	0.0464918	0.0808532	0.123643	0.19157	0.343909
a87	0.381751	0.167831	0.0803032	0.0497638	0.0686563	0.103902	0.147793
a23	0.337524	0.143427	0.0843683	0.0584333	0.0773069	0.122803	0.176137
a99	0.182279	0.0948728	0.0534639	0.0313408	0.0786259	0.180747	0.378671
a97	0.0548911	0.0390967	0.0358657	0.0444565	0.11112	0.241026	0.473544
</S>	0.109411	0.0826258	0.0702863	0.0442981	0.078882	0.177857	0.43664
