 	la	mère	a	fait	faire	caca	à	l'	enfant	</S>
a23	0.405442	0.310392	0.142727	0.0569524	0.0241781	0.00952391	0.0139594	0.0132005	0.0117189	0.0119054
a99	0.469928	0.208378	0.111491	0.0645046	0.039204	0.0271799	0.02552	0.0201003	0.0163794	0.0173148
a30	0.203829	0.151909	0.138308	0.12368	0.106864	0.0611572	0.0588649	0.052396	0.0481738	0.0548169
a4	0.259735	0.21044	0.161634	0.1077	0.0687273	0.0280527	0.0235812	0.023593	0.0448103	0.071726
a13	0.178404	0.237983	0.225682	0.193148	0.103377	0.0336167	0.0148675	0.00628524	0.0035413	0.00309462
a93	0.100223	0.163714	0.19803	0.238045	0.16599	0.0811997	0.0266865	0.0120797	0.00785651	0.00617508
a56	0.0555911	0.100335	0.139802	0.194522	0.174197	0.153973	0.0609617	0.0445019	0.0396769	0.0364402
a54	0.0207127	0.0397933	0.0732028	0.123231	0.13712	0.188343	0.0970647	0.0953572	0.105832	0.119343
a47	0.0290337	0.0527256	0.085986	0.125731	0.14767	0.127167	0.110008	0.106501	0.0989871	0.11619
a36	0.0394942	0.0600861	0.0956214	0.133822	0.154635	0.101147	0.100291	0.0970711	0.100296	0.117537
a0	0.0228852	0.0250981	0.034967	0.0550953	0.101762	0.107387	0.126155	0.133262	0.174991	0.218397
a11	0.0224256	0.0204999	0.0242135	0.0323365	0.0605185	0.0798852	0.126702	0.159837	0.214778	0.258804
a66	0.0178152	0.0142563	0.0151598	0.0174968	0.0383344	0.0883993	0.149773	0.192155	0.223707	0.242902
a70	0.00949258	0.0075703	0.00661095	0.0065234	0.0165658	0.0522197	0.12847	0.222465	0.264296	0.285787
a0	0.00122773	0.000946854	0.00106024	0.00152198	0.00640558	0.0279007	0.105485	0.253593	0.316947	0.284911
a54	0.00137987	0.00106604	0.00114728	0.00154744	0.00529503	0.0240797	0.0745339	0.20777	0.344718	0.338462
a44	0.0016705	0.00156854	0.0020137	0.00310331	0.0107481	0.0177468	0.0615716	0.154499	0.323876	0.423202
a7	0.00113213	0.0011183	0.00144384	0.00232603	0.00839307	0.0190864	0.0667608	0.17966	0.323558	0.396522
a26	0.000515734	0.000430072	0.000490826	0.000684063	0.00282131	0.0144759	0.0509626	0.127102	0.311144	0.491373
a57	0.00999523	0.00583277	0.00420015	0.00343977	0.00529417	0.00967645	0.0349929	0.0906685	0.263544	0.572356
a87	0.122693	0.0835708	0.0491123	0.0353829	0.0336469	0.0399377	0.0689194	0.0901111	0.150166	0.32646
a23	0.269569	0.235367	0.139088	0.0810858	0.0513877	0.0277965	0.0426011	0.0409758	0.0481528	0.0639758
a87	0.160781	0.14676	0.104283	0.0832303	0.0830927	0.0575692	0.0808901	0.0835007	0.0940522	0.105841
</S>	0.0434383	0.0472118	0.043989	0.0413879	0.0515985	0.0383325	0.0785305	0.145853	0.230978	0.27868
