 	le	pangolin	géant	se	nourrit	de	fourmis	noires	</S>
a66	0.214454	0.232292	0.204632	0.111267	0.143245	0.0556364	0.0156687	0.0115387	0.0112673
a87	0.425163	0.258403	0.157737	0.0681795	0.0457683	0.0200551	0.00823054	0.00741553	0.00904762
a23	0.589651	0.270558	0.0858738	0.0204715	0.00985862	0.00765755	0.00474566	0.00481462	0.00636967
a87	0.580592	0.2791	0.0777377	0.0278359	0.00913466	0.00427379	0.00438215	0.00596768	0.0109761
a23	0.554536	0.318164	0.0691797	0.0200179	0.00871159	0.00566581	0.00577528	0.0071401	0.0108093
a62	0.43394	0.316516	0.0842289	0.0377809	0.019731	0.0182747	0.0214384	0.0274186	0.0406716
a5	0.182272	0.256287	0.307777	0.16344	0.0512906	0.014301	0.00904215	0.00776234	0.00782855
a23	0.136594	0.149871	0.330602	0.219872	0.0806989	0.0271894	0.0202151	0.0169765	0.0179814
a75	0.0501278	0.0718388	0.197743	0.289169	0.184102	0.0714219	0.0548243	0.0395127	0.0412615
a85	0.0299755	0.0348657	0.114403	0.265809	0.239258	0.126299	0.0805957	0.0533385	0.0554542
a5	0.0207397	0.0245296	0.0785495	0.234351	0.265	0.145006	0.0926735	0.0672441	0.0719068
a61	0.0738504	0.0581128	0.153782	0.292306	0.232347	0.0754371	0.0440553	0.0335557	0.0365529
a88	0.0280665	0.0247887	0.0601013	0.271849	0.300692	0.115208	0.069724	0.0595319	0.0700389
a21	0.0288111	0.0137584	0.0218671	0.113775	0.247025	0.195951	0.111447	0.112186	0.15518
a85	0.0203266	0.0141005	0.0207742	0.122356	0.254362	0.229208	0.128697	0.104349	0.105827
a47	0.00744032	0.00455596	0.00497754	0.0339034	0.11621	0.13486	0.200807	0.229778	0.267467
a85	0.00388798	0.002087	0.00328579	0.0112571	0.0358737	0.0707212	0.166772	0.26534	0.440776
a47	0.00247199	0.00135326	0.00152533	0.00845402	0.0349693	0.0841653	0.213559	0.282031	0.371471
a37	0.00125441	0.000468206	0.000578659	0.00186144	0.00629682	0.0292694	0.179026	0.325826	0.455419
a90	0.00226853	0.0010809	0.00134596	0.00278776	0.00517946	0.0201952	0.125743	0.298783	0.542616
a92	0.00089601	0.000400315	0.000715323	0.00198721	0.00548304	0.0304102	0.194885	0.324567	0.440655
a44	0.000334029	0.000105609	0.000158952	0.000581719	0.00226577	0.0148872	0.152965	0.334896	0.493806
a98	0.00121839	0.00041782	0.000522707	0.0011518	0.00249502	0.0106899	0.102622	0.307496	0.573386
a92	0.000288403	7.47083e-05	0.000103941	0.000366193	0.00126099	0.00817138	0.0928203	0.320313	0.576601
a79	0.000165561	5.43807e-05	8.38767e-05	0.000309888	0.00124748	0.00689913	0.0888241	0.308596	0.593819
a7	0.000205907	5.82067e-05	7.69445e-05	0.000262882	0.0010186	0.00720367	0.0971131	0.319915	0.574146
a26	0.000690942	0.000248195	0.000279704	0.000712073	0.00181687	0.00810456	0.0814778	0.288855	0.617815
a37	0.0460873	0.0155027	0.0105528	0.019488	0.0274495	0.0482932	0.145551	0.277317	0.409758
a66	0.0373782	0.0115819	0.0127795	0.0343741	0.0597766	0.0985405	0.154883	0.240552	0.350134
a25	0.0526778	0.0220686	0.0245663	0.0341942	0.0442999	0.0631831	0.143523	0.243353	0.372134
a10	0.0558654	0.0188192	0.0217143	0.0338187	0.0493552	0.0945749	0.185578	0.246253	0.294021
a87	0.280876	0.0895978	0.0665939	0.0543107	0.0450333	0.0609591	0.106307	0.136282	0.160041
a23	0.325229	0.184322	0.0884551	0.0547502	0.0422313	0.0399685	0.0625379	0.0866115	0.115895
a87	0.0658637	0.0297633	0.0227292	0.0141998	0.0127159	0.0300775	0.132313	0.289335	0.403002
</S>	0.0107428	0.00387476	0.00442746	0.00594153	0.00803159	0.0272444	0.134946	0.301833	0.502959
