 	il	alla	jusqu'	aux	bornes	du	village	</S>
a23	0.201406	0.189635	0.187258	0.202606	0.112853	0.0463074	0.032211	0.0277241
a85	0.359332	0.207424	0.176303	0.123877	0.0470703	0.0229261	0.0258029	0.0372639
a87	0.344812	0.249679	0.16458	0.0893828	0.0328432	0.0244439	0.0355179	0.0587413
a10	0.324751	0.201701	0.121802	0.077843	0.0360819	0.0398285	0.0684484	0.129544
a87	0.265832	0.164737	0.113476	0.0813143	0.0480971	0.0573799	0.0950597	0.174103
a23	0.218799	0.146591	0.129029	0.106701	0.0663463	0.0767571	0.0997332	0.156044
a79	0.170259	0.133755	0.0956717	0.0704803	0.0459621	0.0699009	0.146612	0.26736
a20	0.378008	0.29825	0.121405	0.0533587	0.0236038	0.0271451	0.0427887	0.0554406
a73	0.340209	0.281217	0.193155	0.0900776	0.0283988	0.0198819	0.0220159	0.0250457
a26	0.285248	0.284159	0.226496	0.114255	0.0316134	0.0190779	0.0187869	0.0203652
a61	0.216372	0.210463	0.213657	0.168649	0.0702314	0.0408378	0.0380369	0.0417524
a75	0.208232	0.230091	0.231577	0.16501	0.0691479	0.0343309	0.0300525	0.0315583
a21	0.212134	0.248151	0.237048	0.167064	0.0690447	0.0240846	0.019908	0.0225664
a61	0.178646	0.228331	0.242743	0.187182	0.091411	0.0290482	0.0203822	0.0222564
a66	0.140541	0.188273	0.25245	0.224488	0.109381	0.0328888	0.0245135	0.0274632
a25	0.108197	0.152309	0.22228	0.252213	0.137375	0.0472889	0.0352337	0.0451021
a38	0.0795622	0.109561	0.159276	0.239849	0.16104	0.0714746	0.074486	0.104753
a75	0.0904191	0.103242	0.133561	0.193386	0.146579	0.0792135	0.0964993	0.1571
a41	0.0955021	0.104511	0.109985	0.14876	0.144131	0.106083	0.119983	0.171045
a35	0.0623473	0.07411	0.0897434	0.130453	0.145216	0.136768	0.149755	0.211608
a54	0.0604848	0.0615637	0.0581263	0.0864612	0.12848	0.143804	0.179527	0.281553
a92	0.0451522	0.041407	0.0356114	0.0525404	0.106863	0.16706	0.218203	0.333162
a35	0.0468272	0.0402588	0.0350341	0.0557545	0.116577	0.203795	0.230793	0.27096
a0	0.0399714	0.03687	0.0370166	0.0526573	0.122874	0.219548	0.222071	0.268992
a75	0.0231245	0.0187846	0.0166156	0.0217171	0.0583746	0.174029	0.286569	0.400785
a85	0.0337864	0.0276602	0.0227969	0.0330022	0.0859358	0.228634	0.268308	0.299876
a41	0.0234638	0.0205064	0.0180143	0.0283446	0.0787782	0.22772	0.288031	0.315142
a2	0.0230893	0.0194073	0.0161193	0.0231869	0.0643976	0.210816	0.300749	0.342235
a26	0.00473803	0.00342671	0.00335852	0.0056032	0.02393	0.125063	0.302538	0.531343
a93	0.00288836	0.00217188	0.00244574	0.00410757	0.0188189	0.106567	0.274673	0.588327
a4	0.00733817	0.00525125	0.00485114	0.00660528	0.0157088	0.0810921	0.243055	0.636098
a57	0.00532833	0.00355561	0.00347544	0.00413861	0.00958971	0.0624277	0.244084	0.667401
a3	0.00588678	0.00415562	0.00489883	0.00844407	0.0284386	0.121336	0.263025	0.563815
a87	0.00164875	0.00136427	0.00187264	0.0045192	0.0230573	0.128473	0.278974	0.56009
</S>	0.0105101	0.00607548	0.00602559	0.0117621	0.0306592	0.10216	0.240795	0.592013
