 	la	chaleur	provoque	la	décomposition	des	aliments	</S>
a10	0.371265	0.203438	0.139959	0.120616	0.0785276	0.0413701	0.0265815	0.0182433
a30	0.330312	0.0758344	0.0646209	0.0703097	0.0995634	0.112877	0.115542	0.13094
a87	0.411936	0.182732	0.113775	0.0904533	0.0629263	0.0365749	0.0395614	0.0620412
a62	0.391165	0.197205	0.119962	0.0846506	0.0565901	0.0432319	0.0498418	0.0573537
a21	0.365842	0.269353	0.122209	0.079342	0.0562039	0.0382809	0.0350262	0.0337427
a85	0.606741	0.269999	0.0492598	0.0263336	0.0196931	0.0116659	0.00817624	0.00813072
a5	0.348567	0.268725	0.116126	0.0804878	0.0772417	0.0429955	0.0333527	0.0325035
a12	0.235245	0.272262	0.174502	0.119128	0.113965	0.0394009	0.025129	0.0203672
a75	0.17195	0.225654	0.233733	0.160223	0.122295	0.0380366	0.0248441	0.0232644
a85	0.111478	0.171584	0.225121	0.16322	0.163604	0.0732396	0.0468447	0.0449082
a5	0.0982459	0.139078	0.18908	0.153768	0.170993	0.105129	0.0769267	0.0667781
a61	0.123358	0.133329	0.184039	0.168755	0.185803	0.0913832	0.0603597	0.0529733
a83	0.0750104	0.105904	0.195671	0.217335	0.221469	0.0867088	0.0510441	0.046857
a13	0.0398276	0.0616836	0.174413	0.254184	0.287093	0.095536	0.0453933	0.0418695
a90	0.0211843	0.0327456	0.118717	0.207288	0.347513	0.122928	0.066227	0.0833974
a25	0.0221207	0.0333327	0.0869825	0.186851	0.328499	0.150553	0.090363	0.101298
a44	0.0169615	0.0239636	0.0481024	0.108628	0.337051	0.191576	0.130923	0.142795
a11	0.0134676	0.0195099	0.0398226	0.0862918	0.339419	0.216165	0.124793	0.160531
a75	0.00782993	0.0122417	0.0329242	0.0802907	0.333247	0.236656	0.134154	0.162657
a25	0.0117975	0.0169059	0.0330152	0.0589403	0.284185	0.193237	0.144464	0.257455
a44	0.0103665	0.0149395	0.0289729	0.0499945	0.22072	0.225531	0.189463	0.260013
a13	0.00503653	0.00726273	0.0173537	0.0339481	0.185472	0.229769	0.207939	0.313218
a62	0.00202734	0.00241139	0.00643201	0.0150379	0.115703	0.214113	0.22269	0.421585
a21	0.00318059	0.00415901	0.0115055	0.0254811	0.128264	0.198327	0.247079	0.382003
a5	0.00645455	0.00751137	0.0147092	0.0243638	0.1061	0.180409	0.254046	0.406406
a36	0.0041426	0.00408354	0.00911449	0.0149606	0.0691701	0.148525	0.251455	0.498548
a2	0.00171611	0.00101374	0.00260437	0.00577127	0.0427563	0.150557	0.240123	0.555458
a57	0.0113194	0.0037533	0.00414705	0.00832413	0.0818608	0.199391	0.240076	0.451128
a99	0.0554759	0.0190571	0.0142288	0.0173784	0.0959167	0.184792	0.277982	0.33517
a87	0.0917017	0.0319132	0.0249897	0.0307786	0.0871363	0.150186	0.272574	0.310721
a23	0.087067	0.0321537	0.0374327	0.0552696	0.126623	0.161405	0.235453	0.264596
a99	0.0500467	0.0177735	0.0203046	0.0315241	0.0735035	0.151471	0.259385	0.395992
a87	0.0142268	0.00600229	0.0142363	0.0249475	0.06668	0.125053	0.267209	0.481645
a23	0.00788254	0.00404684	0.0102912	0.0150146	0.0401219	0.096408	0.262879	0.563356
a87	0.011972	0.00496591	0.00945798	0.0152274	0.0486796	0.105475	0.279982	0.52424
</S>	0.0260678	0.0107351	0.0161786	0.0180726	0.0410159	0.104494	0.280988	0.502448
