 	les	éléphants	se	déplacent	en	bande	</S>
a23	0.41521	0.106246	0.0369864	0.0518312	0.0742054	0.126948	0.188573
a85	0.465915	0.209096	0.0891653	0.0582296	0.0476542	0.0512695	0.078671
a87	0.25247	0.136113	0.0900366	0.0991523	0.0980694	0.12798	0.196178
a23	0.344108	0.157783	0.0613494	0.062991	0.0833499	0.114461	0.175958
a87	0.245853	0.124577	0.0613973	0.0818703	0.0952562	0.126937	0.26411
a23	0.239904	0.163999	0.0887744	0.0904205	0.0893423	0.110062	0.217497
a40	0.155428	0.114006	0.0900586	0.111959	0.117437	0.137791	0.27332
a44	0.291891	0.256626	0.153117	0.111445	0.0715443	0.0535687	0.0618069
a66	0.343835	0.343143	0.16652	0.0620831	0.0360777	0.0262034	0.0221378
a90	0.278488	0.329365	0.217961	0.0782053	0.0413098	0.03066	0.0240106
a98	0.212864	0.275756	0.223325	0.109109	0.0757262	0.0572884	0.0459319
a41	0.21304	0.258819	0.216983	0.114059	0.0834118	0.06311	0.0505771
a61	0.174628	0.222341	0.220148	0.13319	0.103877	0.0797731	0.0660425
a66	0.0998977	0.129049	0.203769	0.193373	0.157884	0.120283	0.0957437
a54	0.144643	0.149483	0.185709	0.172551	0.138008	0.106439	0.103166
a73	0.100786	0.111432	0.167888	0.172953	0.169318	0.142789	0.134833
a56	0.0621987	0.0799847	0.159431	0.206967	0.194433	0.152705	0.14428
a5	0.0403992	0.0513709	0.119309	0.216624	0.228751	0.17673	0.166816
a37	0.0360518	0.0371636	0.0826369	0.198084	0.259123	0.207929	0.179012
a66	0.035034	0.0378764	0.0785272	0.198801	0.251268	0.200418	0.198076
a54	0.0197854	0.0198615	0.0378581	0.131405	0.221707	0.226844	0.342539
a73	0.0175967	0.0196007	0.0385539	0.12393	0.234308	0.250365	0.315646
a94	0.00842162	0.00820852	0.0172394	0.0728684	0.206426	0.271002	0.415835
a41	0.00894165	0.00807232	0.0151325	0.0547778	0.150537	0.219957	0.542581
a5	0.00968072	0.00833864	0.0179303	0.066684	0.188652	0.271762	0.436953
a18	0.0107584	0.00890426	0.0161899	0.0531586	0.166932	0.269541	0.474516
a58	0.00525359	0.00524997	0.0115584	0.0397298	0.112034	0.194158	0.632016
a53	0.00440673	0.00366333	0.00769196	0.0244233	0.0799749	0.184063	0.695777
a4	0.0116748	0.00775126	0.0113736	0.0304079	0.0921633	0.185207	0.661422
a98	0.0104085	0.00604081	0.00855314	0.0223587	0.075026	0.168107	0.709505
a13	0.00609032	0.0034337	0.00577876	0.017962	0.0702751	0.17606	0.7204
a54	0.00677462	0.00372382	0.00562418	0.0160788	0.0651145	0.179671	0.723013
a7	0.00881414	0.00466341	0.00757501	0.0221063	0.0781037	0.199627	0.67911
a84	0.00718453	0.00446192	0.00713525	0.0207691	0.0685479	0.183198	0.708703
a87	0.0056837	0.00392369	0.00657445	0.0184906	0.0808546	0.25167	0.632803
</S>	0.00812951	0.00711222	0.00987377	0.0240117	0.102175	0.273303	0.575395
