 	je	ne	sais	pas	pourquoi	il	ne	me	parle	plus	</S>
a66	0.181304	0.130918	0.118266	0.10078	0.125579	0.0927395	0.080637	0.0685151	0.041932	0.0315508	0.0277789
a87	0.43576	0.297045	0.109473	0.0416404	0.0288486	0.0190433	0.0154235	0.0148923	0.0130668	0.012102	0.0127054
a23	0.499591	0.232042	0.116393	0.0524167	0.028165	0.0163726	0.0111605	0.00925856	0.00860174	0.0107332	0.0152657
a83	0.457372	0.226084	0.0953079	0.0630612	0.0433908	0.023073	0.0175978	0.01517	0.0155951	0.0176303	0.0257182
a75	0.322822	0.204597	0.146439	0.066733	0.0439534	0.0286867	0.02352	0.0259186	0.0307596	0.0435382	0.0630326
a5	0.151174	0.149332	0.168479	0.161144	0.134016	0.0730996	0.0472273	0.0350606	0.024828	0.0254685	0.0301706
a21	0.176027	0.20108	0.202077	0.196404	0.112918	0.0388424	0.0242845	0.0163099	0.0100142	0.00961369	0.0124293
a92	0.112488	0.130284	0.159261	0.238189	0.166044	0.072781	0.0467487	0.0283502	0.0160343	0.013161	0.0166576
a98	0.127296	0.132585	0.147227	0.218459	0.150978	0.0776969	0.0557977	0.0353647	0.0204256	0.0152072	0.0189636
a5	0.037763	0.0589487	0.0943619	0.196697	0.169883	0.128797	0.108633	0.084975	0.0495188	0.0337593	0.036663
a12	0.0788714	0.103943	0.157072	0.214198	0.164975	0.0932682	0.0685929	0.0458745	0.0281124	0.0208044	0.0242891
a21	0.0365696	0.0584282	0.117757	0.218238	0.19083	0.118607	0.0859628	0.0596903	0.042939	0.0330049	0.0379747
a12	0.0235477	0.034844	0.0690701	0.162405	0.188741	0.147395	0.119004	0.0915054	0.0653308	0.047513	0.0506446
a5	0.018143	0.025573	0.0439582	0.105237	0.169391	0.187984	0.159451	0.118609	0.0716211	0.0493236	0.05071
a21	0.0132064	0.0174129	0.0288255	0.0719225	0.125187	0.174103	0.175535	0.146584	0.100999	0.0711911	0.0750337
a5	0.00826725	0.00948333	0.0138164	0.0287008	0.0574597	0.131926	0.185718	0.191459	0.157499	0.110514	0.105157
a92	0.00555899	0.00688642	0.0112509	0.0289981	0.0507276	0.110016	0.16332	0.180156	0.165977	0.135248	0.141859
a56	0.00178596	0.00199435	0.00340303	0.00919582	0.021995	0.0795054	0.137639	0.171223	0.188027	0.18755	0.197682
a21	0.0041275	0.00487887	0.00726751	0.014743	0.0261071	0.0711677	0.13497	0.192218	0.202041	0.161264	0.181214
a47	0.00254409	0.0027907	0.00424527	0.00926917	0.0201725	0.0625274	0.127926	0.185517	0.20507	0.180647	0.199291
a88	0.00222342	0.00250667	0.00387653	0.00922122	0.0175234	0.0504564	0.0991024	0.159951	0.205763	0.203281	0.246095
a75	0.0016609	0.0017082	0.00221335	0.00370883	0.00632826	0.0187043	0.0431076	0.0947411	0.206692	0.272983	0.348152
a85	0.000458832	0.000436744	0.000566405	0.00132507	0.0036735	0.0187808	0.0500377	0.10951	0.224682	0.274901	0.315627
a47	0.000303332	0.000284208	0.000328603	0.000842212	0.00210941	0.0113586	0.0268623	0.0669354	0.182583	0.293647	0.414746
a36	0.000770254	0.00064389	0.000643828	0.00108303	0.00191854	0.00842902	0.0194125	0.0501297	0.150941	0.299392	0.466636
a47	0.00602371	0.00461766	0.00458452	0.00527008	0.00612253	0.0137709	0.0262676	0.0582346	0.16351	0.292072	0.419527
a36	0.00133584	0.000983266	0.000906835	0.00134524	0.00194288	0.00690826	0.015307	0.0391053	0.134361	0.296222	0.501583
a2	0.0140085	0.00936839	0.00744279	0.0101338	0.0105723	0.0216858	0.0388215	0.076179	0.167613	0.26297	0.381205
a57	0.081046	0.0552273	0.0371214	0.0366067	0.0285117	0.0441739	0.0558073	0.079128	0.137774	0.186984	0.25762
a87	0.145067	0.0739836	0.0421589	0.0530557	0.0511901	0.0548591	0.0591144	0.0765423	0.11636	0.149843	0.177826
a23	0.135537	0.0834327	0.0386034	0.0388147	0.0405261	0.0578933	0.0805346	0.11501	0.134341	0.137881	0.137427
a87	0.0358764	0.0259493	0.0108011	0.0109505	0.0120805	0.0293974	0.058379	0.112599	0.206296	0.231631	0.266039
</S>	0.00840205	0.00477111	0.00228677	0.00423808	0.00692269	0.0274397	0.0551707	0.0991644	0.199654	0.249001	0.342949
