 	cette	femme	est	criblée	de	dettes	</S>
a66	0.37211	0.235072	0.146232	0.101377	0.0689846	0.0433689	0.0328553
a87	0.51206	0.261485	0.105595	0.0662991	0.0305657	0.0125154	0.0114805
a23	0.539358	0.25568	0.101682	0.0548113	0.0232415	0.0114421	0.0137853
a82	0.548678	0.214346	0.0988127	0.0647581	0.0284556	0.0202276	0.0247216
a3	0.445436	0.194219	0.106208	0.0895797	0.0564886	0.0487012	0.0593678
a97	0.552421	0.179181	0.0817943	0.0604109	0.0433718	0.0365625	0.0462589
a30	0.556141	0.171801	0.0784533	0.0620895	0.0507615	0.0375556	0.0431983
a99	0.463881	0.168801	0.0944557	0.0803327	0.0745468	0.0551363	0.0628465
a50	0.221386	0.172061	0.172156	0.154496	0.112422	0.0794637	0.0880145
a70	0.109302	0.114574	0.159328	0.162408	0.133062	0.139478	0.181848
a4	0.143374	0.161474	0.181409	0.145234	0.100783	0.115515	0.152211
a53	0.121901	0.144117	0.16033	0.148012	0.114552	0.131279	0.179809
a69	0.140303	0.148298	0.151809	0.137287	0.105558	0.128264	0.18848
a4	0.142337	0.15155	0.156219	0.134846	0.107066	0.125974	0.182009
a70	0.0368439	0.0411447	0.0692224	0.107642	0.128921	0.212561	0.403664
a98	0.0206315	0.0236636	0.0521328	0.098316	0.115904	0.2123	0.477052
a70	0.0437731	0.0532343	0.106735	0.162868	0.156881	0.177052	0.299456
a24	0.0107349	0.0124111	0.0275197	0.0778793	0.121961	0.22156	0.527934
a94	0.00329726	0.00308673	0.00655816	0.0230789	0.0671604	0.220253	0.676565
a70	0.0020584	0.00199831	0.00416649	0.0177417	0.0582728	0.258804	0.656958
a88	0.00145008	0.00148396	0.00259812	0.0110179	0.0496437	0.263281	0.670525
a99	0.0019547	0.00205086	0.00333878	0.0129652	0.0536473	0.298088	0.627955
a50	0.00554379	0.00429929	0.00560439	0.0156086	0.0627112	0.294535	0.611698
a24	0.00238135	0.00262677	0.00416166	0.0142671	0.0573247	0.303371	0.615867
a94	0.00889054	0.00561689	0.00688202	0.0155324	0.0568527	0.288159	0.618067
a98	0.00294201	0.00222104	0.002978	0.00958929	0.0397088	0.256919	0.685642
a83	0.000988254	0.000953428	0.00172098	0.00829688	0.0436368	0.286014	0.65839
a13	0.000794543	0.000837889	0.0016559	0.00904841	0.0415592	0.302797	0.643307
a9	0.00275607	0.00228328	0.00355008	0.0124792	0.0477463	0.285599	0.645586
a87	0.020047	0.00821638	0.00813773	0.0178929	0.0610602	0.258176	0.62647
a23	0.157985	0.059057	0.0393371	0.0409607	0.0951974	0.204757	0.402706
a87	0.0866086	0.0378105	0.0292962	0.0379922	0.0967922	0.210557	0.500943
</S>	0.10109	0.0552341	0.0484875	0.0607745	0.115784	0.176856	0.441774
