 	leur	mère	s'	occupe	de	son	mari	qui	est	souffrant	à	l'	hôpital	</S>
a66	0.167054	0.161362	0.171618	0.135323	0.0761822	0.0577659	0.0807758	0.0699758	0.0283378	0.0164614	0.00903561	0.00868014	0.00830855	0.00911983
a87	0.349502	0.207491	0.153179	0.0913107	0.0322347	0.0172137	0.0193789	0.0217126	0.014806	0.0143302	0.0126829	0.0182737	0.02086	0.0270254
a23	0.255426	0.246151	0.245052	0.0955771	0.0541465	0.0381515	0.0180258	0.0112702	0.00660582	0.00376966	0.00391955	0.00539496	0.00716586	0.00934395
a87	0.30406	0.306378	0.145248	0.0449249	0.0236205	0.0135869	0.0132784	0.0149163	0.0212199	0.0206434	0.0167476	0.0204186	0.0230702	0.0318871
a23	0.298415	0.355204	0.151351	0.0435411	0.0210428	0.00990913	0.010544	0.0133491	0.0169362	0.0158347	0.0134577	0.0158986	0.0160756	0.0184415
a30	0.23783	0.22833	0.0911576	0.047641	0.0321146	0.0219626	0.0405535	0.0494197	0.0597344	0.0415275	0.0330176	0.0366793	0.0365704	0.0434618
a53	0.206049	0.153088	0.0698608	0.073586	0.0757737	0.0505539	0.0841438	0.0718922	0.0605755	0.0365331	0.0273531	0.030086	0.0289102	0.0315954
a15	0.155382	0.118766	0.0981158	0.18815	0.173733	0.0770659	0.0435021	0.0390999	0.0297021	0.0230865	0.013634	0.0142541	0.0126749	0.0128332
a69	0.0504908	0.0374605	0.0416276	0.111188	0.15574	0.123254	0.105695	0.109355	0.0812531	0.0604245	0.0371171	0.0325633	0.0264392	0.0273918
a98	0.0446364	0.0398971	0.0538069	0.143916	0.188568	0.156173	0.0863192	0.0667036	0.0453139	0.0350158	0.0306943	0.0316402	0.0344462	0.0428698
a47	0.0175985	0.0173362	0.0251821	0.0904153	0.153545	0.130812	0.112219	0.112696	0.0880784	0.0605838	0.0450803	0.0413744	0.0454994	0.0595799
a85	0.0255909	0.0207834	0.0256187	0.0700615	0.127573	0.124841	0.116737	0.121954	0.0988164	0.073312	0.0475142	0.0417274	0.0449229	0.0605471
a47	0.0186963	0.0135135	0.0183778	0.0361837	0.074525	0.099889	0.117638	0.158995	0.130945	0.0737242	0.0531858	0.0507942	0.0643166	0.0892166
a36	0.0133208	0.0108915	0.0168176	0.0240114	0.0559038	0.0816714	0.118446	0.174724	0.147334	0.09169	0.0602264	0.0549056	0.0624218	0.0876365
a90	0.0232193	0.0170764	0.0260663	0.0270398	0.0722498	0.120818	0.144757	0.152202	0.107635	0.0596462	0.0463558	0.0490351	0.0627291	0.0911692
a44	0.0215102	0.0131285	0.0221924	0.0240883	0.063062	0.129973	0.161494	0.158296	0.105415	0.0524239	0.0461606	0.0498406	0.0642525	0.088162
a70	0.0261404	0.0160598	0.0229457	0.0196956	0.0482884	0.109928	0.160311	0.138085	0.100714	0.0605307	0.0633816	0.0645634	0.0755163	0.0938397
a62	0.0100801	0.00628166	0.00911646	0.00903015	0.0198824	0.0545334	0.128261	0.153608	0.155869	0.0886034	0.0931983	0.081784	0.0873212	0.102431
a61	0.011813	0.00756693	0.00958901	0.0109357	0.0231921	0.0511893	0.104914	0.144252	0.161409	0.0950056	0.0958149	0.0803831	0.0884449	0.115491
a11	0.00598837	0.00439488	0.00565966	0.00648607	0.0124961	0.0296093	0.0706416	0.125323	0.179826	0.124147	0.118949	0.0997557	0.100577	0.116148
a93	0.0063677	0.00534959	0.00669225	0.00709035	0.0135544	0.0260775	0.0458497	0.072127	0.136774	0.136033	0.145632	0.119409	0.123255	0.155788
a34	0.00483924	0.003862	0.00560608	0.0062154	0.0115616	0.0225129	0.0356037	0.058455	0.120642	0.134568	0.162043	0.141685	0.139045	0.15336
a93	0.00193932	0.001608	0.00221885	0.00246692	0.00500742	0.0112591	0.0201496	0.0390227	0.0950398	0.124493	0.168173	0.165467	0.171323	0.191833
a70	0.00135151	0.00110757	0.00143638	0.00152952	0.00310783	0.006705	0.0107512	0.0206172	0.0583708	0.0933428	0.150158	0.171789	0.210885	0.268849
a0	0.000951471	0.000712151	0.000782628	0.000860699	0.00203443	0.00471815	0.00665535	0.0113746	0.0334158	0.0670659	0.135932	0.168836	0.237472	0.329189
a93	0.000506469	0.000392863	0.000486364	0.000717448	0.00174276	0.0035462	0.00469427	0.00691003	0.0197585	0.0435579	0.112083	0.152152	0.25585	0.397602
a13	0.000416311	0.000332808	0.0004695	0.000676533	0.00167408	0.0033946	0.00402479	0.00555157	0.0149923	0.0324591	0.0900847	0.14293	0.266707	0.436286
a50	0.00028372	0.000202971	0.000290278	0.000575291	0.00170644	0.00363143	0.00490862	0.00598515	0.0131466	0.0201211	0.0725058	0.135565	0.288885	0.452192
a71	0.000246777	0.000160669	0.00019176	0.000298807	0.000951297	0.00237604	0.00459643	0.00630297	0.0140198	0.0246623	0.0803979	0.138555	0.289408	0.437832
a75	0.00208186	0.00175519	0.00196047	0.00390881	0.00981982	0.0221018	0.0257182	0.0215993	0.0385389	0.0438985	0.127358	0.162277	0.246422	0.29256
a6	3.7134e-05	2.58367e-05	3.70495e-05	5.51322e-05	0.000141673	0.000375444	0.000799823	0.00198895	0.00686255	0.0175386	0.0595338	0.119523	0.275683	0.517398
a36	3.13395e-05	1.89741e-05	2.77138e-05	4.38769e-05	0.000135951	0.000434677	0.000941234	0.00247168	0.00835633	0.0184623	0.0621748	0.115615	0.267865	0.52342
a27	0.000891518	0.000566524	0.00063567	0.0015333	0.00358794	0.00778373	0.0125122	0.0110909	0.0193722	0.0191151	0.0664116	0.120431	0.259156	0.476912
a57	0.0184485	0.0133	0.0178248	0.0328162	0.0438899	0.073004	0.0434758	0.0314032	0.0408608	0.0369597	0.0889208	0.116327	0.182045	0.260725
a87	0.184143	0.121056	0.139806	0.0697795	0.0563585	0.0640335	0.0410421	0.0288666	0.0281192	0.0250843	0.038371	0.0492284	0.0650381	0.0890734
a23	0.186356	0.152735	0.192049	0.0907924	0.0370938	0.0350269	0.0260255	0.0211958	0.0196567	0.0197999	0.0288456	0.044238	0.0587943	0.0873913
a87	0.0686888	0.0421683	0.0740736	0.0515366	0.0197577	0.017175	0.00866088	0.0101531	0.0170131	0.0243875	0.054289	0.111902	0.187741	0.312453
</S>	0.0116972	0.00775827	0.0126928	0.00921821	0.00476118	0.00596923	0.00421509	0.00735799	0.0202965	0.0324676	0.076915	0.137296	0.239494	0.429861
