 	cette	femme	s'	est	accroupie	pour	bien	préparer	</S>
a23	0.285812	0.24015	0.173631	0.118901	0.0721107	0.0437213	0.0311119	0.0210113	0.0135514
a30	0.448733	0.218986	0.111911	0.0808064	0.0437454	0.031763	0.0238813	0.02186	0.0183147
a99	0.345376	0.192135	0.105465	0.110521	0.101577	0.0708353	0.0333432	0.021294	0.0194537
a70	0.396769	0.213747	0.112824	0.0916771	0.0686429	0.0524006	0.0251195	0.0192908	0.0195298
a53	0.287707	0.223332	0.165727	0.135033	0.0680116	0.0426312	0.0209967	0.0224692	0.0340916
a69	0.174792	0.170943	0.164509	0.175037	0.0876651	0.0763487	0.042903	0.0428002	0.0650019
a4	0.0898887	0.103001	0.110015	0.153765	0.116371	0.122434	0.0871293	0.091602	0.125794
a70	0.0621766	0.0799467	0.0962904	0.139539	0.0972427	0.121203	0.100347	0.124208	0.179046
a83	0.0382094	0.0539191	0.069982	0.118671	0.104489	0.138501	0.115912	0.147728	0.212589
a50	0.0268849	0.0398574	0.0501273	0.0977963	0.114983	0.159188	0.12877	0.160499	0.221895
a90	0.019304	0.0314283	0.0397085	0.0845266	0.120052	0.155394	0.1234	0.171413	0.254774
a12	0.0548178	0.0784378	0.0931745	0.145671	0.121427	0.147696	0.109566	0.118466	0.130744
a70	0.0173181	0.0251499	0.028554	0.0570737	0.0915791	0.143558	0.137139	0.210851	0.288777
a12	0.0143976	0.0225664	0.0261608	0.0554516	0.111903	0.163704	0.139234	0.19663	0.269953
a96	0.0143601	0.0196967	0.0217697	0.0472739	0.111568	0.156749	0.145606	0.210384	0.272594
a50	0.00893653	0.0108808	0.0110339	0.0240458	0.0809051	0.137534	0.145632	0.237138	0.343894
a83	0.00614194	0.00636855	0.00562675	0.00914989	0.0403756	0.0928022	0.151727	0.278814	0.408994
a54	0.00280496	0.00312386	0.00289798	0.00600249	0.0334084	0.0779368	0.139904	0.29314	0.440781
a37	0.0100711	0.0113714	0.0102253	0.0159132	0.0590083	0.0998751	0.143099	0.274	0.376436
a83	0.00364645	0.00364475	0.00329892	0.00549034	0.0250954	0.0583278	0.123585	0.300232	0.476679
a66	0.00259828	0.00255953	0.00228298	0.00406099	0.0180321	0.0433377	0.108026	0.304183	0.51492
a26	0.00181262	0.00165193	0.00150794	0.002243	0.0112007	0.0377538	0.119221	0.321603	0.503007
a57	0.00930745	0.00600468	0.00462394	0.00466735	0.0106543	0.0292054	0.0765338	0.282889	0.576114
a87	0.0970781	0.0514346	0.0319727	0.0250572	0.0316099	0.0503228	0.0881493	0.217441	0.406934
a97	0.294388	0.184151	0.104443	0.057117	0.0353723	0.0400871	0.0665548	0.101889	0.115997
a87	0.260472	0.180852	0.106334	0.0649845	0.061149	0.0650194	0.0778317	0.0908239	0.0925331
a23	0.210892	0.175015	0.125694	0.0818589	0.0794943	0.0737802	0.0849196	0.0885851	0.0797601
a97	0.207333	0.167151	0.13448	0.0896795	0.0810128	0.0765227	0.0752918	0.0797063	0.0888222
a87	0.20176	0.145042	0.101384	0.0832403	0.0816195	0.0871226	0.0840309	0.0972455	0.118556
a23	0.213891	0.169683	0.122567	0.0911279	0.0792041	0.0780921	0.0754051	0.078154	0.0918763
a87	0.166718	0.152979	0.131222	0.110179	0.105031	0.0961823	0.0845343	0.0761134	0.0770406
</S>	0.167026	0.141793	0.108848	0.0831292	0.0983162	0.102198	0.0998044	0.0965233	0.102363
