 	il	a	brisé	le	bâton	</S>
a23	0.188744	0.252682	0.192502	0.137237	0.126322	0.102513
a87	0.203275	0.223658	0.248944	0.156665	0.0934582	0.074
a23	0.178029	0.151007	0.200965	0.180656	0.149462	0.139881
a53	0.199719	0.206304	0.140721	0.122924	0.150473	0.179859
a20	0.382653	0.278632	0.138141	0.0852871	0.0671153	0.0481715
a37	0.376503	0.350415	0.157393	0.0665228	0.0318864	0.0172801
a61	0.378091	0.309714	0.145373	0.0768277	0.0504619	0.0395322
a88	0.347606	0.283913	0.167563	0.101294	0.0597278	0.0398955
a25	0.15413	0.157696	0.205983	0.212628	0.164749	0.104814
a11	0.150012	0.146392	0.213788	0.214944	0.170661	0.104204
a47	0.0874688	0.0847832	0.175121	0.212367	0.234928	0.205332
a61	0.0937387	0.0822487	0.177226	0.190831	0.233732	0.222224
a31	0.0441311	0.0527809	0.161643	0.221179	0.269338	0.250928
a66	0.0225131	0.0259998	0.108557	0.189428	0.313969	0.339532
a38	0.00987049	0.0106279	0.0497651	0.12504	0.305782	0.498915
a11	0.0044096	0.00541409	0.0264719	0.0856297	0.268086	0.609989
a90	0.00359839	0.00378573	0.013966	0.0647139	0.240807	0.673129
a15	0.00294198	0.00417655	0.0235537	0.0783661	0.24045	0.650512
a73	0.00449254	0.00713647	0.0349746	0.0729503	0.218217	0.662229
a84	0.00328844	0.00462418	0.0207749	0.0583515	0.205333	0.707628
a57	0.00987419	0.0086533	0.0209097	0.0786857	0.222487	0.65939
a10	0.0313695	0.022524	0.0355482	0.0855062	0.206817	0.618235
</S>	0.0615088	0.0462305	0.0640322	0.112545	0.226659	0.489025
