 	il	a	cassé	sa	bride	</S>
a23	0.228245	0.213974	0.17944	0.14122	0.137476	0.099645
a20	0.299903	0.187243	0.153953	0.114619	0.132987	0.111295
a30	0.223205	0.212374	0.179007	0.167656	0.129143	0.0886145
a35	0.349384	0.314311	0.200371	0.0780135	0.038349	0.0195713
a38	0.377197	0.30013	0.195026	0.0721021	0.0333143	0.0222295
a26	0.36086	0.292769	0.19266	0.0811311	0.0424114	0.0301679
a41	0.278518	0.243145	0.192236	0.132957	0.0862145	0.0669302
a35	0.222811	0.214782	0.194035	0.15199	0.122264	0.0941189
a0	0.185885	0.18562	0.184999	0.165819	0.149286	0.128391
a11	0.148737	0.153499	0.167584	0.174029	0.178692	0.177459
a26	0.095924	0.107585	0.139795	0.170824	0.220792	0.265079
a98	0.0504668	0.0620418	0.102943	0.165843	0.264056	0.354649
a75	0.0199191	0.0258112	0.0505839	0.132947	0.307764	0.462975
a30	0.0119577	0.0171594	0.0342585	0.110091	0.309848	0.516685
a2	0.00836613	0.0108866	0.0220294	0.0721639	0.273457	0.613096
a57	0.00732426	0.00850119	0.0172638	0.0608534	0.222475	0.683582
a87	0.0159968	0.0155445	0.0270711	0.0780915	0.293638	0.569658
a23	0.0115935	0.0143049	0.032715	0.10796	0.326497	0.50693
a87	0.0225891	0.0244822	0.0429622	0.109888	0.326528	0.473551
</S>	0.00881165	0.0111872	0.024824	0.0804125	0.312474	0.562291
