 	le	dénuement	rend	l'	homme	mélancolique	</S>
a15	0.524411	0.185501	0.102032	0.0485363	0.0441078	0.052543	0.0428699
a66	0.382111	0.261171	0.127169	0.0921247	0.0676358	0.0406072	0.029181
a87	0.7946	0.0830112	0.0377299	0.030422	0.0199993	0.0119375	0.0222997
a23	0.631639	0.303916	0.0241034	0.0125172	0.0108519	0.00837936	0.0085935
a83	0.527283	0.397844	0.0249404	0.00896281	0.00784348	0.0143291	0.0187974
a9	0.654855	0.161369	0.0626708	0.027129	0.0161143	0.0346605	0.0432011
a75	0.702103	0.179094	0.048627	0.0206229	0.0122102	0.0190112	0.0183316
a6	0.540657	0.199217	0.122343	0.0500039	0.021345	0.0376783	0.0287558
a37	0.443356	0.188191	0.172349	0.0789195	0.036272	0.0517066	0.0292055
a12	0.376209	0.206732	0.148669	0.113659	0.0750032	0.0499192	0.0298072
a31	0.221261	0.131931	0.203985	0.221169	0.121058	0.0556016	0.0449944
a21	0.160666	0.112958	0.241005	0.255938	0.125542	0.0489742	0.0549163
a85	0.111762	0.0879656	0.181347	0.283408	0.182645	0.0716403	0.0812319
a92	0.025753	0.0139939	0.0693729	0.298018	0.293876	0.158945	0.140041
a56	0.0352077	0.0124933	0.0666348	0.178998	0.301032	0.171367	0.234267
a94	0.0444172	0.0189298	0.0610196	0.121469	0.283728	0.219969	0.250468
a34	0.0348965	0.00837425	0.0207127	0.0347609	0.115355	0.266674	0.519226
a56	0.0186965	0.00556843	0.00966821	0.0206923	0.0739858	0.258426	0.612962
a96	0.0117864	0.00304236	0.00437985	0.0130283	0.0530105	0.226437	0.688316
a93	0.00805722	0.00212722	0.00208894	0.00533377	0.0231211	0.144578	0.814694
a56	0.00509306	0.00123475	0.00109176	0.00358729	0.0229397	0.153475	0.812579
a96	0.00342788	0.000740486	0.000975712	0.00352134	0.0238466	0.154158	0.81333
a70	0.00262358	0.000555565	0.00141045	0.0074502	0.0408483	0.181665	0.765447
a13	0.00253091	0.000572798	0.0017996	0.00968554	0.0451845	0.195495	0.744732
a3	0.0205235	0.00621551	0.0112566	0.0389919	0.104294	0.259141	0.559578
a87	0.385861	0.0865593	0.0659857	0.0833187	0.0933912	0.112307	0.172578
a23	0.592701	0.161492	0.0729394	0.0537329	0.0441302	0.0365293	0.0384759
a87	0.163641	0.0613065	0.0565889	0.0789593	0.128829	0.145529	0.365146
</S>	0.0527898	0.0186666	0.0223823	0.049249	0.0995943	0.143922	0.613396
