 	le	chien	et	le	chat	ne	s'	entendent	pas	=	-bondima	</S>
a66	0.13299	0.12207	0.150949	0.116083	0.121221	0.0959324	0.0974407	0.0835183	0.0575338	0.0143789	0.0049348	0.00294912
a87	0.342957	0.20574	0.109163	0.0576859	0.0523325	0.0513938	0.039127	0.0340366	0.0340931	0.0357479	0.0198051	0.0179176
a23	0.251288	0.148444	0.117306	0.0858452	0.121784	0.100887	0.0725329	0.0452927	0.0188608	0.0107084	0.0105121	0.016539
a99	0.278131	0.15864	0.112164	0.100368	0.125231	0.0829307	0.048663	0.0289974	0.01169	0.00930242	0.0124966	0.0313862
a54	0.219684	0.137264	0.103544	0.10576	0.117717	0.0834467	0.042926	0.0283425	0.0182095	0.0226109	0.0411848	0.0793102
a98	0.0971934	0.0790032	0.0583565	0.0554339	0.0465005	0.0727248	0.0902878	0.116822	0.130573	0.110499	0.0730472	0.0695585
a6	0.155927	0.108499	0.100933	0.100851	0.0590498	0.0642465	0.0803922	0.0924261	0.0880809	0.0547814	0.0506352	0.0441776
a92	0.133958	0.120779	0.0984617	0.0962468	0.060313	0.0698765	0.0783386	0.0739732	0.0651798	0.0549761	0.0704862	0.0774106
a98	0.140702	0.0988226	0.0716698	0.0719291	0.0513972	0.0606438	0.0752681	0.0785829	0.093476	0.0668974	0.0974858	0.0931251
a79	0.0961649	0.0795534	0.0633932	0.0724283	0.0512555	0.054546	0.0705399	0.081941	0.13037	0.0959947	0.10488	0.0989336
a90	0.0998135	0.0843401	0.0725652	0.0816605	0.0671204	0.0703631	0.089559	0.106351	0.111925	0.0538526	0.0893871	0.0730624
a98	0.0978149	0.100871	0.0964881	0.106394	0.0987235	0.0950596	0.0932256	0.0973819	0.081637	0.0367858	0.0525013	0.0431172
a85	0.0413106	0.0622677	0.0669362	0.0903078	0.0815221	0.073908	0.0772603	0.0885254	0.125803	0.0792356	0.108885	0.104038
a5	0.0247528	0.052281	0.0769103	0.115715	0.107505	0.0842984	0.0765637	0.081188	0.118646	0.0598223	0.0921338	0.110183
a75	0.0212949	0.0453771	0.0756062	0.123933	0.154932	0.112003	0.06551	0.0727546	0.0986171	0.0581353	0.0914507	0.080387
a25	0.0142746	0.026725	0.0460765	0.0770281	0.106295	0.0838208	0.0496761	0.0537452	0.101889	0.0932762	0.176305	0.170888
a15	0.00831016	0.0168238	0.0370744	0.077015	0.0901348	0.0503878	0.0263341	0.0259828	0.0597626	0.0810831	0.203208	0.323884
a69	0.0161066	0.0235566	0.0366402	0.0676509	0.0886445	0.0459718	0.0199426	0.022271	0.0443747	0.0557809	0.220165	0.358895
a54	0.00723478	0.00937486	0.0138338	0.0276118	0.0388432	0.0191349	0.0074659	0.00937893	0.0242478	0.060361	0.287883	0.494631
a47	0.00861406	0.0108004	0.013515	0.0235554	0.0291281	0.0137685	0.00589083	0.00612179	0.0144408	0.0480045	0.295984	0.530177
a6	0.00715986	0.00796763	0.00918481	0.0139466	0.0175307	0.00596809	0.00228003	0.00216573	0.00532665	0.0461717	0.349229	0.533069
a36	0.00227668	0.00220792	0.00247038	0.0038343	0.00576449	0.00200938	0.000685744	0.000797059	0.00242241	0.0293172	0.332271	0.615943
a54	0.00754378	0.00755045	0.00893538	0.0124852	0.0199754	0.00778233	0.00197489	0.00199294	0.00734683	0.0563818	0.300728	0.567303
a47	0.0165919	0.0139409	0.0154401	0.0171369	0.0254485	0.0121163	0.00400627	0.00424119	0.0186576	0.093422	0.313793	0.465206
a36	0.00127672	0.00138215	0.00145347	0.00193386	0.0031313	0.00176738	0.000616606	0.000747691	0.00492282	0.0540885	0.338808	0.589871
a2	0.0256655	0.02416	0.0281443	0.0272787	0.0324131	0.0168333	0.00774605	0.00836544	0.0193834	0.0877155	0.303729	0.418566
a57	0.11137	0.0983587	0.0961443	0.0781634	0.0706678	0.0420697	0.0220651	0.0161739	0.0167338	0.0467809	0.178493	0.222979
a87	0.106764	0.0858501	0.111677	0.0837777	0.105873	0.076252	0.0463804	0.0382116	0.0448576	0.0550309	0.106284	0.139042
a23	0.147063	0.0961233	0.0919844	0.0572817	0.0770172	0.0723825	0.0492328	0.0422738	0.0568079	0.0800115	0.110543	0.119279
a99	0.0287515	0.0137007	0.00747524	0.00475694	0.00559371	0.00694518	0.00642187	0.00752343	0.0169342	0.130962	0.407075	0.363861
a97	0.00690683	0.00394105	0.00278273	0.00203926	0.00292711	0.00377218	0.00300832	0.00356261	0.009203	0.0569879	0.436776	0.468093
</S>	0.00575907	0.00428706	0.00435504	0.00368711	0.0068678	0.00584826	0.00469372	0.00559349	0.011273	0.0593555	0.39701	0.49127
