 	il	a	enroulé	le	pagne	autour	de	son	cou	</S>
a87	0.183902	0.19005	0.133003	0.105118	0.106303	0.0891875	0.0648926	0.0405823	0.0472158	0.039745
a23	0.220757	0.14087	0.104705	0.0796739	0.0795984	0.0697854	0.0728542	0.0683553	0.0767864	0.0866149
a10	0.202143	0.166734	0.145972	0.100681	0.108086	0.0681764	0.0485619	0.0371191	0.0506254	0.0719009
a87	0.175051	0.159318	0.134102	0.0897146	0.104357	0.0703119	0.0518982	0.046465	0.0719903	0.0967916
a23	0.167547	0.13776	0.12209	0.0930162	0.115441	0.0940593	0.0711755	0.0549811	0.0644759	0.0794538
a30	0.143655	0.135145	0.113799	0.0738077	0.0921826	0.0719956	0.0656894	0.0643739	0.108748	0.130604
a53	0.0818242	0.0827995	0.0713808	0.0531582	0.067216	0.0650261	0.0715585	0.0908476	0.179756	0.236433
a98	0.309958	0.253508	0.141101	0.0851377	0.0752685	0.0344007	0.0253626	0.0213364	0.025546	0.0283817
a5	0.27396	0.247786	0.131326	0.0930408	0.102132	0.0479463	0.0350685	0.0254593	0.0229566	0.0203238
a18	0.242952	0.284853	0.166818	0.102272	0.0944541	0.0358415	0.0231528	0.0168583	0.0167547	0.0160428
a61	0.186738	0.213877	0.156289	0.133813	0.142164	0.0562584	0.0337562	0.0232635	0.0269953	0.0268448
a24	0.141045	0.164966	0.15021	0.171738	0.17062	0.0835782	0.0460017	0.0261159	0.0224752	0.0232496
a31	0.0765341	0.0747426	0.0963381	0.166723	0.184786	0.137421	0.101648	0.0592583	0.0513373	0.0512122
a88	0.11504	0.114806	0.120349	0.175427	0.177424	0.118508	0.0824263	0.0442402	0.0284561	0.0233229
a31	0.0774612	0.0764168	0.0987542	0.173161	0.184483	0.141843	0.107255	0.062213	0.0425688	0.0358443
a98	0.069509	0.0651207	0.0827066	0.152836	0.160778	0.14125	0.12565	0.0928551	0.0637876	0.0455074
a9	0.0790502	0.0620164	0.0606545	0.108122	0.123436	0.155735	0.139482	0.108585	0.090862	0.0720566
a38	0.0211421	0.01758	0.0222742	0.0514248	0.0823422	0.176011	0.212185	0.169007	0.132084	0.11595
a44	0.0229385	0.0180061	0.0198408	0.03675	0.0532028	0.133868	0.202159	0.209133	0.169522	0.13458
a13	0.0257237	0.018486	0.0178688	0.0366331	0.0478894	0.116284	0.17649	0.214299	0.194056	0.15227
a9	0.0166328	0.0112756	0.0110421	0.0234142	0.0340499	0.0983317	0.170331	0.225515	0.223508	0.185899
a38	0.0139724	0.010261	0.0117972	0.019485	0.0273622	0.0713664	0.138846	0.179896	0.247594	0.279421
a56	0.0107532	0.00749251	0.00808356	0.0136443	0.0185944	0.0466598	0.106146	0.187443	0.298663	0.30252
a13	0.00561556	0.00311723	0.0027953	0.00527388	0.00637377	0.0192457	0.051442	0.13849	0.333529	0.434118
a38	0.00446934	0.00266042	0.00294042	0.00495088	0.0060978	0.0173103	0.0455436	0.124509	0.320063	0.471455
a62	0.00553792	0.00349199	0.00403389	0.00567352	0.00648473	0.0166932	0.0418011	0.117124	0.318003	0.481157
a98	0.00925166	0.00664284	0.00889762	0.0112814	0.011181	0.0242527	0.0518601	0.117817	0.297025	0.461791
a83	0.00464296	0.0036229	0.00456303	0.00799684	0.00850965	0.0172933	0.037925	0.102385	0.296441	0.516621
a9	0.00548908	0.0038452	0.00497849	0.00691789	0.0062627	0.0138822	0.0334375	0.094688	0.298347	0.532152
a87	0.00501736	0.00291185	0.00351632	0.0046993	0.00557032	0.020846	0.0586112	0.131711	0.309288	0.457828
a97	0.078109	0.0493482	0.054296	0.0510999	0.0435648	0.0766799	0.107767	0.127401	0.188522	0.223212
a10	0.136322	0.0741736	0.0664343	0.0651344	0.0709981	0.0976624	0.0975311	0.0867992	0.146785	0.15816
a9	0.0908717	0.0472631	0.0350849	0.0372326	0.0438596	0.0585764	0.0718017	0.0867485	0.214253	0.314309
a10	0.10339	0.0543825	0.0371553	0.034697	0.0378654	0.0477124	0.0613089	0.079226	0.198906	0.345357
</S>	0.120712	0.0657331	0.040243	0.0336485	0.0383624	0.0512869	0.0652071	0.079444	0.178741	0.326622
