 	mon	neveu	est	venu	me	rendre	visite	</S>
a66	0.255766	0.29842	0.1889	0.121831	0.0813124	0.0292408	0.0147485	0.00978156
a87	0.543842	0.145821	0.0514893	0.0384271	0.0456165	0.0424236	0.0561721	0.0762088
a23	0.626916	0.163463	0.0719839	0.0421746	0.0351324	0.0137122	0.0192408	0.0273769
a54	0.456746	0.110559	0.105052	0.0668736	0.0536838	0.0263379	0.0530161	0.127732
a92	0.19771	0.145101	0.113174	0.130845	0.158283	0.117892	0.0736458	0.0633498
a85	0.109903	0.1845	0.156395	0.175908	0.211491	0.0762913	0.0540673	0.0314443
a79	0.103721	0.171743	0.171723	0.172567	0.17368	0.115409	0.0586666	0.03249
a37	0.0762863	0.167311	0.202794	0.220777	0.177437	0.0700922	0.0447935	0.0405103
a56	0.132629	0.158439	0.21149	0.234823	0.165243	0.0452125	0.0285355	0.0236274
a75	0.0952877	0.144964	0.228289	0.258666	0.165663	0.0460737	0.027784	0.0332713
a47	0.0571215	0.111997	0.183929	0.252526	0.1681	0.0900228	0.0657472	0.0705555
a79	0.0610367	0.115115	0.165426	0.219757	0.161682	0.0554427	0.0770076	0.144532
a37	0.0632284	0.123977	0.161792	0.196897	0.148899	0.0745056	0.0893734	0.141328
a90	0.053655	0.10536	0.175733	0.219072	0.194032	0.0764586	0.0655372	0.110152
a93	0.0376501	0.0879666	0.167484	0.222	0.160759	0.0939546	0.0810086	0.149177
a62	0.0211638	0.0531345	0.123257	0.193288	0.198513	0.136731	0.101141	0.172771
a34	0.00859202	0.0210238	0.0613871	0.148074	0.230948	0.233178	0.140928	0.155869
a56	0.00674033	0.0172058	0.0490816	0.11772	0.199378	0.267532	0.186222	0.15612
a44	0.00487035	0.0109057	0.0230014	0.0446698	0.102326	0.234614	0.237288	0.342325
a94	0.00398787	0.00764726	0.0143791	0.0252175	0.0559131	0.176867	0.248626	0.467362
a21	0.00141091	0.00249864	0.003798	0.00600656	0.0140699	0.0752736	0.249052	0.647891
a47	0.000765018	0.00119919	0.00154337	0.00298975	0.00950762	0.0627502	0.227684	0.693561
a62	0.000806103	0.0013411	0.00203835	0.00294142	0.00677683	0.0444297	0.225913	0.715753
a21	0.00032732	0.000476306	0.000813382	0.00122829	0.00352815	0.0306133	0.266302	0.696711
a12	0.000188461	0.000270813	0.000298634	0.000569378	0.00255017	0.0323652	0.202351	0.761406
a96	0.000113444	0.000158306	0.00026557	0.000520441	0.00179708	0.019162	0.196132	0.781851
a75	0.000262592	0.000358701	0.000541746	0.000931725	0.00264364	0.0219493	0.192419	0.780893
a36	8.13442e-05	0.00013073	0.000171674	0.000382732	0.00149146	0.0161292	0.161823	0.81979
a26	0.000370556	0.000500456	0.000512564	0.000850284	0.00274591	0.028257	0.200156	0.766608
a57	0.0240708	0.0218359	0.0192916	0.0397091	0.0746638	0.142575	0.179818	0.498036
a87	0.211638	0.0982149	0.0515142	0.0630862	0.0749392	0.110146	0.137895	0.252567
a23	0.316657	0.147707	0.0731458	0.0482715	0.041776	0.0682913	0.113615	0.190536
a97	0.051683	0.011515	0.00351665	0.0035189	0.00617158	0.0381935	0.214295	0.671106
a87	0.0104517	0.00343138	0.00196588	0.00237791	0.0055792	0.0323611	0.220913	0.72292
</S>	0.012213	0.0056063	0.00412365	0.00546899	0.00779618	0.0268266	0.203916	0.73405
