 	on	ne	l'	aime	pas	à	cause	de	son	avarice	</S>
a40	0.164466	0.114134	0.0821493	0.0658329	0.0840081	0.102519	0.103512	0.096653	0.0686886	0.0547806	0.0632556
a73	0.187221	0.138541	0.125426	0.0965991	0.106587	0.110617	0.0793218	0.0584534	0.0334635	0.02111	0.0426598
a44	0.280602	0.250215	0.177459	0.0923819	0.0731225	0.0492579	0.0271406	0.0196048	0.0146499	0.0076413	0.00792483
a26	0.359828	0.267992	0.157964	0.0703044	0.044702	0.0346514	0.0235901	0.0185181	0.0128003	0.0055891	0.00406059
a24	0.226603	0.21358	0.172176	0.104297	0.0734828	0.0656823	0.051946	0.042157	0.027176	0.0135928	0.00930646
a25	0.127705	0.157516	0.169703	0.132567	0.102369	0.0966118	0.0763657	0.0607996	0.0389737	0.0217306	0.0156596
a87	0.108523	0.128435	0.144195	0.12587	0.112196	0.107012	0.0936541	0.080647	0.0534051	0.0258487	0.0202137
a79	0.100745	0.11239	0.107496	0.0983578	0.104427	0.108403	0.114292	0.102069	0.0743831	0.0309223	0.0465141
a98	0.0751515	0.0794285	0.0808528	0.072148	0.0788554	0.0869189	0.111027	0.12443	0.132763	0.0701763	0.088249
a73	0.13497	0.136366	0.138567	0.116838	0.106868	0.10096	0.0861705	0.076676	0.0573838	0.0298581	0.0153436
a44	0.109459	0.118393	0.132778	0.121679	0.118119	0.114399	0.0975524	0.0869142	0.0579687	0.0274221	0.0153154
a53	0.0855838	0.0954938	0.119321	0.116515	0.12076	0.121471	0.10714	0.0970982	0.0705308	0.0385189	0.0275669
a20	0.0638105	0.0738084	0.0955039	0.101079	0.118488	0.126312	0.117513	0.109588	0.0848606	0.0535397	0.0554967
a84	0.060422	0.069864	0.0854912	0.0905037	0.110435	0.128983	0.1175	0.108503	0.0882417	0.0717247	0.0683315
a40	0.0213595	0.0293007	0.0481393	0.0708014	0.1111	0.146173	0.16991	0.168601	0.122203	0.059106	0.0533056
a54	0.0356285	0.0457436	0.0612128	0.0722154	0.104246	0.132189	0.134842	0.125731	0.102644	0.0780869	0.107461
a73	0.0416287	0.0550892	0.0785649	0.0916917	0.115536	0.130621	0.118903	0.109889	0.0848596	0.075189	0.0980283
a84	0.0351982	0.0425243	0.0591551	0.0664824	0.0886465	0.118224	0.133335	0.141561	0.104237	0.0860318	0.124605
a57	0.0164295	0.0186568	0.0280048	0.0407959	0.0753663	0.127628	0.183662	0.191693	0.144111	0.0765447	0.0971076
a87	0.05269	0.0424817	0.0463042	0.0558034	0.0818566	0.109677	0.136807	0.144075	0.117631	0.075428	0.137246
a23	0.0787691	0.0670899	0.0727898	0.0846574	0.124411	0.113076	0.0999518	0.100696	0.0812286	0.061263	0.116066
a82	0.0615776	0.0446453	0.0481246	0.0568565	0.0892014	0.0941867	0.0908449	0.0987034	0.0735877	0.0768221	0.26545
a53	0.0398699	0.0321602	0.0422645	0.0521708	0.0701756	0.0684859	0.0720007	0.0873285	0.0829905	0.0869626	0.365591
a69	0.064156	0.0619131	0.0693447	0.0664473	0.0821324	0.0869982	0.0713164	0.0723861	0.062064	0.0664826	0.296759
a58	0.0722232	0.0712419	0.0748889	0.06665	0.0827543	0.0929697	0.0966386	0.0970816	0.0738859	0.065678	0.205988
a82	0.0379675	0.0363634	0.042542	0.0416295	0.0562114	0.0659443	0.0887532	0.109127	0.102791	0.0968926	0.321779
