 	apporte-	moi	du	piment	</S>
a87	0.631882	0.188188	0.0972739	0.0566525	0.0260033
a23	0.685804	0.175421	0.0530935	0.0455469	0.0401347
a83	0.563297	0.191763	0.104306	0.0619609	0.078673
a62	0.571478	0.17284	0.0794594	0.0637449	0.112479
a5	0.627521	0.22455	0.0926038	0.0289291	0.0263955
a6	0.410654	0.260346	0.181406	0.0640339	0.0835599
a92	0.25542	0.214646	0.266351	0.115312	0.148271
a37	0.31268	0.240343	0.250633	0.0932048	0.103138
a85	0.272138	0.272766	0.258193	0.106662	0.0902409
a5	0.294823	0.250787	0.246896	0.107445	0.100048
a47	0.278461	0.299882	0.238167	0.100282	0.0832079
a62	0.2291	0.294364	0.246572	0.12331	0.106654
a83	0.154705	0.225895	0.247367	0.195972	0.176061
a93	0.121198	0.141623	0.190837	0.284432	0.261911
a34	0.0878281	0.0819749	0.128705	0.327595	0.373897
a70	0.041016	0.045794	0.0837897	0.297378	0.532023
a13	0.0207861	0.0241261	0.0537295	0.264688	0.63667
a3	0.00902707	0.0103257	0.0333314	0.232938	0.714378
a99	0.013303	0.00722238	0.0166903	0.144536	0.818248
a87	0.0845478	0.0325874	0.055797	0.250768	0.576299
a23	0.227512	0.14157	0.183017	0.209235	0.238666
a87	0.0717155	0.0936323	0.164569	0.272832	0.397251
</S>	0.0346415	0.0598924	0.128059	0.231331	0.546077
