 	cet	homme	est	en	train	de	percer	le	noyau	du	palmier	pour	y	extraire	du	vin	</S>
a66	0.17564	0.155728	0.157495	0.0916205	0.0619177	0.0451142	0.0312886	0.0334027	0.0354596	0.0471537	0.0364451	0.0481211	0.0417207	0.0223188	0.00821678	0.00417198	0.00418493
a87	0.255485	0.216651	0.132452	0.0380038	0.0176026	0.0134985	0.00877032	0.0113894	0.017745	0.031844	0.0417321	0.0637867	0.0704858	0.0307327	0.0207918	0.0157653	0.0132649
a23	0.26327	0.198786	0.105338	0.0395772	0.028924	0.030345	0.021274	0.0249474	0.0367453	0.0471192	0.050911	0.0491585	0.0444705	0.0197891	0.0161436	0.0130324	0.0101685
a97	0.17206	0.106226	0.0477596	0.0195576	0.0197392	0.0205381	0.0308479	0.054294	0.094907	0.119192	0.10978	0.0836894	0.0583275	0.0149571	0.0119403	0.0156418	0.0205413
a30	0.283171	0.185632	0.0833335	0.0277466	0.0166631	0.0165646	0.0169721	0.0227735	0.0442732	0.0696127	0.0660171	0.0583191	0.0456005	0.0202075	0.0148753	0.0141469	0.0140914
a93	0.279814	0.158015	0.0706343	0.0253941	0.0173735	0.0185064	0.0242752	0.0305906	0.0506672	0.0764915	0.0712766	0.0612048	0.0494962	0.0222521	0.0155839	0.0140419	0.0143828
a4	0.132992	0.088132	0.0909394	0.073186	0.0610071	0.0661497	0.0576166	0.0697183	0.0867596	0.0914552	0.0640771	0.0343878	0.0216714	0.0231202	0.0173439	0.0113608	0.0100825
a90	0.0587392	0.0552967	0.0698293	0.0699641	0.069662	0.0766632	0.0654285	0.0654486	0.0746894	0.0798865	0.0794491	0.0542595	0.0419945	0.0664622	0.0395832	0.0171952	0.0154489
a98	0.0398349	0.0404657	0.0576755	0.0682583	0.0771869	0.0887124	0.0691661	0.0686805	0.0793473	0.0792342	0.0719148	0.0497549	0.0378879	0.0837915	0.0520326	0.0201654	0.0158912
a47	0.0386069	0.0415588	0.0623512	0.0723858	0.0718423	0.0730942	0.0602609	0.0685949	0.0796056	0.0782018	0.0714926	0.0574647	0.0435576	0.0829895	0.0541709	0.023542	0.0202803
a36	0.0378795	0.0387162	0.0578347	0.0646692	0.0563303	0.0543599	0.0493443	0.0635423	0.0771907	0.0633086	0.0592687	0.0597186	0.0508867	0.0938593	0.0745582	0.0470002	0.0515328
a98	0.0316002	0.0289788	0.0430448	0.0554817	0.0660702	0.08128	0.0892808	0.0863396	0.103582	0.0711848	0.0520306	0.0470693	0.0352636	0.0605017	0.0592212	0.0384841	0.0505865
a47	0.034457	0.0279513	0.0457237	0.0737627	0.0779602	0.0773425	0.0664149	0.0888568	0.137044	0.0871903	0.0521155	0.0366992	0.0228949	0.0454694	0.0445254	0.0395176	0.0420746
a0	0.0230739	0.0166293	0.0228059	0.0339698	0.0350362	0.0344559	0.0390183	0.0829067	0.157196	0.111878	0.0733161	0.0605398	0.0377143	0.0673834	0.0712269	0.0608849	0.071964
a43	0.0108728	0.006217	0.00675	0.00961316	0.0146651	0.0222826	0.043087	0.093967	0.173278	0.116267	0.0557184	0.0519502	0.0405425	0.0593813	0.0834395	0.0793355	0.132634
a88	0.0104918	0.00768006	0.00854835	0.0118971	0.0184527	0.0303344	0.070195	0.126983	0.158985	0.128868	0.074168	0.0571269	0.0367969	0.0310465	0.0400418	0.0581375	0.130247
a71	0.00479436	0.00344657	0.004201	0.00628157	0.0105574	0.0144458	0.0294175	0.0649636	0.0815302	0.0913007	0.0736639	0.0840858	0.0751442	0.0641399	0.0814626	0.111785	0.19878
a50	0.0134169	0.0107021	0.0115781	0.0163327	0.028577	0.044467	0.0664683	0.100205	0.118061	0.104875	0.0993192	0.0918298	0.0726708	0.0381432	0.0375939	0.0526275	0.0931327
a62	0.011749	0.00878091	0.00813696	0.0095176	0.0152373	0.0234022	0.0374454	0.0547692	0.0641314	0.0781338	0.0998932	0.123024	0.111785	0.0556378	0.0550302	0.0852698	0.158056
a41	0.00283001	0.00205458	0.00192725	0.00253929	0.00444326	0.00666538	0.0139747	0.0289169	0.0381994	0.0541238	0.071936	0.126577	0.130843	0.0866125	0.0818129	0.124903	0.221641
a36	0.00145763	0.00114654	0.00128458	0.0021227	0.00418016	0.00701713	0.017104	0.0343246	0.0472513	0.0527604	0.064518	0.102886	0.11404	0.0778617	0.088173	0.130427	0.253445
a27	0.00425608	0.00270781	0.00274594	0.00531206	0.0120892	0.0233406	0.0528278	0.0846325	0.103038	0.0859581	0.066883	0.0670728	0.06027	0.0480025	0.0541804	0.0995169	0.227166
a82	0.0308081	0.0180096	0.0122342	0.0148266	0.0267636	0.0426212	0.0771942	0.117438	0.163091	0.113405	0.0546095	0.0388973	0.0383757	0.0334544	0.0412317	0.066335	0.110706
a87	0.118715	0.0771913	0.0466759	0.0426276	0.056291	0.0563619	0.063067	0.0788588	0.110231	0.0904296	0.0430349	0.0352256	0.0358472	0.0264489	0.0286984	0.0381977	0.052098
a23	0.107117	0.0802588	0.0562571	0.045954	0.068116	0.0697193	0.0801036	0.0830742	0.0979429	0.107214	0.0487194	0.0343888	0.0290676	0.0247192	0.0238453	0.0196835	0.0238191
a87	0.0752659	0.0551267	0.0317763	0.0232131	0.0373217	0.0419922	0.0613673	0.0770495	0.102342	0.152511	0.0811753	0.0595081	0.049401	0.0331357	0.0279241	0.0307503	0.0601406
</S>	0.0205508	0.0157753	0.0120477	0.0140663	0.0308985	0.0399435	0.0709989	0.0955322	0.168905	0.147286	0.0701774	0.0455809	0.0413069	0.0337566	0.0391414	0.0493811	0.104651
