 	il	tracasse	les	abeilles	</S>
a23	0.375699	0.271333	0.151481	0.114131	0.0873562
a30	0.229758	0.221348	0.174481	0.169057	0.205356
a53	0.175237	0.292467	0.171253	0.164953	0.19609
a20	0.595387	0.223879	0.0670621	0.0619507	0.0517209
a30	0.698362	0.195135	0.0484983	0.033631	0.0243738
a35	0.621696	0.215348	0.0755632	0.0513825	0.03601
a30	0.565994	0.240065	0.0950581	0.058682	0.0402006
a35	0.503049	0.275473	0.110462	0.0678531	0.0431629
a94	0.455032	0.312491	0.120457	0.0674926	0.0445276
a24	0.397109	0.328858	0.142445	0.0787035	0.0528841
a76	0.350524	0.373954	0.148476	0.0767235	0.0503228
a94	0.316757	0.333556	0.173589	0.101226	0.0748724
a66	0.181442	0.368154	0.217161	0.130082	0.103161
a76	0.134779	0.447776	0.223206	0.115957	0.0782822
a41	0.121374	0.233124	0.22151	0.203719	0.220273
a32	0.0807665	0.267423	0.244728	0.198255	0.208827
a54	0.0391738	0.216359	0.261792	0.233052	0.249623
a14	0.0428505	0.162103	0.219258	0.254407	0.321381
a35	0.0565527	0.197419	0.230983	0.241758	0.273287
a38	0.0281717	0.12226	0.223339	0.270155	0.356075
a24	0.0200433	0.115999	0.208359	0.276236	0.379362
a94	0.00946014	0.0742742	0.172117	0.268528	0.47562
a90	0.00737185	0.0541882	0.135946	0.25842	0.544074
a93	0.0204119	0.0792145	0.14017	0.256444	0.503759
a62	0.0122354	0.0589888	0.118029	0.243416	0.56733
a83	0.00769817	0.0401267	0.102516	0.234007	0.615653
a9	0.00961005	0.0430349	0.111307	0.251119	0.584929
a87	0.0198315	0.0528442	0.126097	0.278134	0.523093
a23	0.0253654	0.0585544	0.132947	0.295913	0.487219
a57	0.0338731	0.0966613	0.173016	0.298923	0.397527
a3	0.0131831	0.083844	0.158777	0.285051	0.459145
a97	0.0326204	0.0813596	0.141324	0.292351	0.452346
a57	0.0519603	0.0940923	0.15099	0.282146	0.420812
</S>	0.0516275	0.135277	0.187112	0.2737	0.352284
