 	fais-	moi	goûter	ce	que	tu	as	préparé	s'	il	te	plait	</S>
a66	0.344772	0.226556	0.106902	0.0487128	0.0298418	0.0281512	0.0301992	0.0412937	0.0495238	0.0407584	0.024355	0.0152474	0.0136864
a87	0.407905	0.209479	0.067509	0.0432774	0.0394808	0.0433858	0.0412711	0.0336317	0.0341312	0.0214697	0.0269066	0.0200853	0.0114672
a23	0.26267	0.225212	0.156627	0.145705	0.0795325	0.0395275	0.0160993	0.00923468	0.00920975	0.0127974	0.0191349	0.0160562	0.00819333
a53	0.171076	0.172868	0.179187	0.162132	0.100484	0.0687063	0.0429816	0.0263401	0.0173623	0.013354	0.0161529	0.0154476	0.0139076
a94	0.446169	0.233229	0.131891	0.053913	0.0209934	0.0206747	0.0192841	0.0193526	0.017311	0.0116017	0.0114035	0.00792296	0.00625388
a75	0.155916	0.192317	0.223733	0.178476	0.0795504	0.0483695	0.0277704	0.0235105	0.0188886	0.0131125	0.0160626	0.0122396	0.0100537
a43	0.19151	0.2401	0.197681	0.150022	0.0718988	0.0513514	0.0258769	0.0200889	0.0157711	0.00829105	0.00942554	0.00924778	0.00873424
a75	0.0896461	0.139205	0.176831	0.217286	0.148482	0.11174	0.0493977	0.025795	0.0143154	0.00646985	0.00589843	0.00702156	0.00791236
a85	0.0663873	0.10265	0.119136	0.177622	0.144708	0.145937	0.0878708	0.0609632	0.0381937	0.0161452	0.0124707	0.0135949	0.0143215
a6	0.0277561	0.0421974	0.0576994	0.122995	0.117829	0.129419	0.104194	0.098187	0.0885866	0.0537483	0.0476004	0.0529283	0.0568597
a21	0.0331899	0.042846	0.0570602	0.133367	0.151814	0.144534	0.107597	0.088058	0.0655594	0.0349017	0.0358013	0.0518591	0.0534122
a5	0.0223673	0.0273033	0.0352555	0.0766203	0.118649	0.141895	0.133775	0.122717	0.100875	0.0620581	0.0459599	0.0546973	0.0578279
a24	0.00940016	0.0119967	0.0147684	0.028867	0.0579724	0.0845037	0.110491	0.145691	0.146665	0.113175	0.0805329	0.0924169	0.10352
a75	0.00630872	0.0103018	0.0111568	0.0175452	0.0350421	0.0526202	0.0814178	0.0948352	0.100794	0.10422	0.10756	0.173293	0.204906
a85	0.00193968	0.00243073	0.00240606	0.00534313	0.0121141	0.0186877	0.031463	0.0472155	0.0744386	0.115795	0.127655	0.216344	0.344167
a5	0.00089801	0.00139408	0.00174536	0.00388789	0.00692082	0.00867384	0.0135576	0.0245826	0.048778	0.103933	0.151193	0.262851	0.371585
a61	0.00213924	0.00324529	0.00340365	0.00543363	0.0096346	0.0154381	0.0259501	0.0313356	0.0462116	0.102123	0.157966	0.246434	0.350685
a47	0.00202745	0.00305885	0.00302605	0.00489881	0.0080849	0.0106411	0.0158782	0.0184488	0.0295517	0.0723315	0.146983	0.266821	0.418248
a88	0.00205148	0.00264257	0.00247069	0.00593335	0.0136122	0.0183367	0.0259221	0.0242644	0.0359184	0.0866065	0.167998	0.239785	0.374459
a18	0.00119431	0.00128257	0.000936996	0.00177497	0.00418233	0.00579896	0.00832952	0.00930202	0.0175314	0.0561243	0.150998	0.267111	0.475434
a71	0.0215452	0.0148035	0.00458863	0.00546083	0.00668374	0.00753565	0.00890544	0.0120373	0.0261419	0.0702606	0.147618	0.281546	0.392872
a9	0.121886	0.101982	0.0531926	0.0389882	0.0366999	0.0293138	0.0266696	0.025922	0.0344831	0.0482546	0.0737288	0.159609	0.24927
a87	0.292076	0.239938	0.131643	0.087108	0.0601344	0.0318227	0.0202762	0.0170233	0.0168244	0.016198	0.016949	0.026035	0.0439716
a23	0.300344	0.226525	0.119509	0.0991272	0.071605	0.041988	0.0246176	0.0204597	0.0187324	0.0155027	0.0142764	0.0199529	0.02736
a87	0.114993	0.0658031	0.0401409	0.0427977	0.0399239	0.0338281	0.0274977	0.0245447	0.0316016	0.0609696	0.104488	0.173813	0.239599
</S>	0.0285701	0.016201	0.0106403	0.013237	0.016024	0.0123614	0.00956437	0.0103833	0.0171562	0.0411702	0.121154	0.313932	0.389607
