 	n'	accoste	pas	ta	pirogue	ici	</S>
a66	0.431416	0.275164	0.126034	0.0879328	0.0400945	0.02265	0.016709
a87	0.535131	0.177836	0.09129	0.10078	0.0438864	0.0266244	0.0244529
a23	0.558688	0.246521	0.0743187	0.0469209	0.0240027	0.0221762	0.0273734
a79	0.363289	0.207964	0.121757	0.0872162	0.0511905	0.0629036	0.10568
a58	0.442273	0.204308	0.0784858	0.0616483	0.0490262	0.0621768	0.102081
a98	0.421084	0.265507	0.0857893	0.0535909	0.0433296	0.0554242	0.0752752
a79	0.298667	0.278437	0.141069	0.0948202	0.0595553	0.0630575	0.064393
a25	0.250439	0.326711	0.16881	0.0993622	0.0530005	0.0517595	0.0499183
a79	0.228816	0.292807	0.187389	0.118655	0.0604672	0.0573374	0.0545286
a56	0.126568	0.248035	0.214693	0.138778	0.0829925	0.092935	0.0959987
a12	0.209196	0.251585	0.208916	0.123014	0.0656652	0.0685064	0.0731177
a96	0.178092	0.254105	0.235685	0.143433	0.0657463	0.0581707	0.0647678
a0	0.120523	0.220595	0.247035	0.163992	0.0838605	0.0767992	0.0871953
a88	0.0695632	0.150683	0.24901	0.213788	0.111	0.092986	0.112969
a90	0.0466315	0.0879512	0.200814	0.253611	0.155784	0.115955	0.139254
a98	0.0184221	0.0442986	0.126369	0.201427	0.191724	0.193004	0.224754
a85	0.00660169	0.0224732	0.0857795	0.156872	0.180603	0.245997	0.301673
a6	0.0046107	0.0174054	0.0675322	0.126817	0.186238	0.258697	0.338699
a37	0.00306902	0.00920977	0.0306039	0.0678817	0.162436	0.304923	0.421877
a7	0.00253997	0.00407044	0.0111469	0.0415269	0.144628	0.302522	0.493566
a44	0.00375151	0.00404766	0.00574639	0.0218087	0.108709	0.292369	0.563568
a7	0.00177807	0.00236767	0.00345524	0.0128988	0.0789952	0.301421	0.599084
a2	0.00450189	0.00492072	0.00548964	0.0151257	0.0704598	0.283857	0.615645
a57	0.045778	0.0409479	0.0399379	0.0696279	0.147111	0.260366	0.396232
a87	0.223277	0.0806789	0.0555963	0.0730575	0.12314	0.194365	0.249885
a23	0.362437	0.161109	0.0890003	0.102814	0.100384	0.0982085	0.0860473
a87	0.0748088	0.0464096	0.043381	0.0972505	0.17448	0.268026	0.295644
</S>	0.0114895	0.00879777	0.0133281	0.0403314	0.105293	0.310066	0.510694
