 	nous	sommes	sur	le	point	de	partir	</S>
a66	0.519428	0.176881	0.0649209	0.0485854	0.0344943	0.0542165	0.0562551	0.0452189
a82	0.177563	0.0721561	0.064772	0.0671575	0.0880946	0.174585	0.198745	0.156926
a87	0.306847	0.250511	0.134634	0.0698001	0.0409822	0.0618598	0.0731613	0.0622047
a97	0.328634	0.251228	0.145584	0.0753803	0.0373003	0.0528975	0.0613247	0.0476504
a99	0.367073	0.256447	0.137763	0.065039	0.0362872	0.0513464	0.0465838	0.0394607
a62	0.443527	0.312849	0.126077	0.0443245	0.0154608	0.0216934	0.0186746	0.0173935
a61	0.503317	0.21237	0.116096	0.0695243	0.0280616	0.03391	0.0213889	0.0153317
a0	0.376083	0.220607	0.162989	0.113409	0.040761	0.0451957	0.0242768	0.0166789
a21	0.129554	0.120506	0.18246	0.229334	0.127475	0.113878	0.0565559	0.040237
a47	0.0917683	0.121535	0.228428	0.252088	0.114525	0.11204	0.0493216	0.0302938
a21	0.0973716	0.0764878	0.148672	0.215785	0.133753	0.159163	0.095165	0.0736038
a75	0.0189646	0.0214968	0.0634672	0.174234	0.213255	0.219108	0.158065	0.131409
a21	0.00872133	0.00712626	0.0246278	0.0931103	0.179001	0.244466	0.217568	0.225378
a85	0.00364023	0.00372355	0.00988844	0.0325919	0.0938911	0.180108	0.281511	0.394645
a5	0.00175528	0.00157492	0.00549738	0.023589	0.0831508	0.144234	0.254238	0.48596
a43	0.00237792	0.00208816	0.00610225	0.0180298	0.0418697	0.106088	0.269023	0.554421
a54	0.000763988	0.000558541	0.00182911	0.00628823	0.0206113	0.0782588	0.251339	0.640351
a36	0.000301978	0.000272955	0.000790546	0.00262746	0.010703	0.03985	0.181909	0.763545
a26	0.00402491	0.00225289	0.00370682	0.00873663	0.0280077	0.0909	0.240878	0.621493
a57	0.0803014	0.0313677	0.0223008	0.0289516	0.048046	0.130641	0.248697	0.409695
a82	0.206036	0.0676591	0.0345707	0.0366534	0.0517897	0.116187	0.202885	0.284219
a3	0.266052	0.0890256	0.0431	0.0399967	0.0461428	0.0901973	0.166214	0.259272
a97	0.118571	0.0577801	0.0410207	0.0423479	0.0471046	0.106126	0.210369	0.376682
a87	0.0801103	0.0447355	0.0339448	0.0355549	0.0445199	0.113016	0.245377	0.402741
a97	0.0648031	0.0422599	0.0356306	0.0406642	0.0517391	0.104145	0.224289	0.43647
a87	0.0326509	0.0282277	0.0323398	0.0501843	0.0826123	0.152613	0.229373	0.391999
a97	0.0226396	0.0230721	0.0278431	0.0464802	0.0863507	0.144702	0.227273	0.421638
</S>	0.0401514	0.0363813	0.0454778	0.0776895	0.124954	0.171267	0.20381	0.30027
