 	l'	année	dernière	je	suis	allé	à	abala	</S>
a66	0.214323	0.174045	0.152235	0.117519	0.0828846	0.0882761	0.058955	0.0487318	0.0630306
a10	0.194643	0.13487	0.102065	0.0906863	0.0670849	0.0622996	0.0534718	0.0987047	0.196175
a87	0.405158	0.23663	0.109641	0.0893194	0.0448921	0.0295085	0.019627	0.0250377	0.0401867
a79	0.407275	0.254334	0.112492	0.090761	0.0429902	0.0279136	0.0185616	0.0201158	0.025556
a5	0.37675	0.207922	0.115276	0.120268	0.054021	0.0395452	0.0290674	0.0292908	0.0278593
a54	0.450999	0.24249	0.0884693	0.0709691	0.0438843	0.0321608	0.027269	0.0193965	0.0243619
a85	0.35613	0.240132	0.114845	0.0820832	0.0471764	0.0435395	0.0410558	0.0311998	0.0438382
a36	0.363736	0.207861	0.118104	0.0945325	0.0574282	0.0474785	0.0424731	0.0308705	0.0375165
a85	0.254409	0.149878	0.100492	0.0981839	0.0751339	0.0743851	0.0737082	0.0738481	0.0999624
a41	0.147755	0.145177	0.106353	0.105146	0.0903777	0.0908978	0.0975038	0.0938502	0.122939
a85	0.0924958	0.150413	0.114963	0.110288	0.104167	0.106211	0.107208	0.0968892	0.117364
a5	0.0450676	0.0917324	0.0978069	0.101339	0.102478	0.119475	0.12927	0.132067	0.180764
a61	0.0452459	0.0996642	0.154552	0.112461	0.103722	0.124117	0.113254	0.107283	0.1397
a21	0.0326353	0.0562968	0.140266	0.0953759	0.0901209	0.157963	0.137073	0.126384	0.163885
a41	0.0340527	0.0586241	0.129722	0.0913202	0.0875335	0.15959	0.147965	0.127786	0.163406
a18	0.0199076	0.0344057	0.0738062	0.0602536	0.0638294	0.148279	0.146691	0.169355	0.283472
a85	0.0214725	0.0305314	0.0604532	0.0540758	0.0497399	0.128795	0.1184	0.170302	0.36623
a37	0.00606349	0.0108897	0.0373846	0.0300619	0.0285594	0.108931	0.119425	0.215103	0.443582
a75	0.0104881	0.0156768	0.0418001	0.0395256	0.0385911	0.111314	0.115915	0.204591	0.422098
a41	0.00515658	0.0101285	0.0385271	0.0301395	0.0247693	0.0897682	0.099909	0.233257	0.468344
a44	0.00356905	0.00599566	0.0205517	0.0160809	0.015568	0.0588247	0.0746639	0.226048	0.578698
a98	0.00357412	0.00491007	0.017801	0.0203004	0.0207216	0.0656642	0.0728532	0.185652	0.608523
a85	0.00249942	0.0043274	0.0143005	0.0133583	0.0123874	0.0401461	0.0528307	0.196873	0.663277
a47	0.00389366	0.00630248	0.0210977	0.0176121	0.013779	0.0544564	0.0663039	0.231922	0.584633
a36	0.0018441	0.00296479	0.0112679	0.0095389	0.00893714	0.0348809	0.0472284	0.209683	0.673654
a2	0.00814053	0.012227	0.0330878	0.0375104	0.03438	0.0810535	0.0902141	0.218288	0.485099
a57	0.0301631	0.0355994	0.0818685	0.079829	0.0707496	0.11027	0.105832	0.166363	0.319326
a87	0.0813888	0.0733571	0.100751	0.109773	0.0776332	0.113912	0.0989478	0.144529	0.199708
a23	0.161413	0.116872	0.119644	0.125508	0.0792248	0.100383	0.0751847	0.100092	0.121679
a99	0.0572572	0.0647154	0.0909749	0.110926	0.0689349	0.0962785	0.096502	0.155399	0.259013
a97	0.0293077	0.0335418	0.101636	0.110502	0.077417	0.104865	0.104581	0.151372	0.286778
</S>	0.0604941	0.0495381	0.0886793	0.0977554	0.0647331	0.0881663	0.0947269	0.153513	0.302394
