 	l'	idiotie	de	cet	enfant	m'	énerve	</S>
a15	0.266391	0.196231	0.148996	0.21332	0.0997547	0.0396209	0.0198649	0.0158216
a66	0.450538	0.197277	0.162181	0.0872118	0.0327629	0.0252594	0.0232146	0.0215563
a87	0.535848	0.290762	0.0911957	0.0296662	0.00863466	0.00837569	0.0136724	0.0218444
a23	0.483697	0.374146	0.0900467	0.0248075	0.00746424	0.00566509	0.0062963	0.00787796
a30	0.392141	0.390776	0.114399	0.0341642	0.0158602	0.0158512	0.0174166	0.0193919
a93	0.354698	0.425542	0.120539	0.0320996	0.0138557	0.0156996	0.0187178	0.0188489
a94	0.342519	0.381894	0.164934	0.0526543	0.0162096	0.015311	0.0156504	0.0108274
a90	0.238708	0.494428	0.164537	0.0422904	0.0153969	0.0151431	0.016692	0.0128047
a92	0.18187	0.461444	0.166195	0.0622036	0.030158	0.0338532	0.0383151	0.0259616
a56	0.115298	0.333693	0.13227	0.0809861	0.065554	0.0888704	0.111752	0.071576
a75	0.176114	0.446919	0.148107	0.0715667	0.0383916	0.0409834	0.0481842	0.029734
a85	0.0966148	0.254859	0.149292	0.135015	0.128287	0.0957078	0.0858732	0.0543516
a47	0.026579	0.0751165	0.148981	0.197303	0.213332	0.147539	0.111017	0.080132
a98	0.0289107	0.100814	0.181301	0.236585	0.16013	0.102897	0.102374	0.0869896
a85	0.0174664	0.068062	0.137226	0.192659	0.186951	0.15293	0.138959	0.105746
a92	0.0225901	0.0790736	0.135008	0.13712	0.144139	0.162259	0.175268	0.144541
a79	0.0159817	0.0644675	0.22468	0.312601	0.194419	0.0889974	0.0558973	0.0429559
a90	0.00977589	0.0464959	0.163213	0.270225	0.198268	0.130424	0.0985554	0.0830429
a69	0.00825594	0.0318002	0.134208	0.269681	0.231175	0.121182	0.0948202	0.108879
a94	0.0128582	0.031287	0.106962	0.188744	0.210527	0.12698	0.122494	0.200149
a90	0.0102178	0.0154679	0.0478389	0.0997822	0.187611	0.148532	0.174534	0.316017
a25	0.00735909	0.0135741	0.0452646	0.0974024	0.222289	0.182216	0.171919	0.259976
a69	0.00523497	0.00875982	0.0266552	0.06202	0.164098	0.174157	0.196531	0.362544
a75	0.00576407	0.00852662	0.0266036	0.0601784	0.173306	0.193329	0.204325	0.327967
a5	0.00215399	0.00485906	0.0157539	0.0454785	0.154969	0.181681	0.229438	0.365667
a85	0.00203366	0.0040965	0.0105471	0.0423239	0.163031	0.229763	0.263405	0.2848
a5	0.0013725	0.00435852	0.00730421	0.0163958	0.061392	0.126273	0.277392	0.505512
a23	0.00164818	0.00295298	0.00467529	0.0129718	0.0625899	0.156961	0.308295	0.449906
a21	0.00140796	0.00255266	0.00366167	0.00947673	0.040502	0.0973953	0.27087	0.574134
a5	0.00112588	0.0015522	0.00181601	0.00407572	0.022313	0.0821436	0.266876	0.620097
a12	0.000994878	0.00145674	0.00188622	0.00474333	0.024492	0.0905069	0.270049	0.605871
a18	0.00107315	0.00163514	0.00191534	0.00405458	0.018401	0.0689774	0.235769	0.668174
a25	0.00302044	0.00350073	0.00307015	0.00709344	0.0229861	0.0797761	0.23917	0.641383
a87	0.0540225	0.0307695	0.0193491	0.0331491	0.0770986	0.134614	0.230688	0.420309
a23	0.319914	0.206511	0.105601	0.0795191	0.0714967	0.0617426	0.0694241	0.0857913
a87	0.0720135	0.0488124	0.0306045	0.0291633	0.0644801	0.155607	0.291536	0.307784
</S>	0.0112877	0.0102594	0.00615534	0.00993403	0.0354961	0.114899	0.335332	0.476636
