 	notre	champ	se	trouve	entre	deux	montagnes	</S>
a66	0.138432	0.158692	0.197585	0.174271	0.177998	0.0981115	0.0390135	0.0158974
a87	0.349362	0.15983	0.107969	0.0959511	0.0953477	0.0894085	0.0688721	0.0332598
a23	0.390201	0.201244	0.11078	0.0735344	0.0802857	0.0721313	0.0473881	0.024435
a97	0.390266	0.194631	0.128864	0.0918127	0.0724323	0.0587007	0.0325876	0.0307065
a99	0.348139	0.209584	0.150942	0.0982249	0.0790807	0.0598119	0.0319002	0.0223178
a30	0.376176	0.202625	0.134414	0.0788027	0.0716012	0.0703352	0.0412461	0.0248006
a70	0.361447	0.186711	0.132297	0.082852	0.0752956	0.0829084	0.0505764	0.0279122
a83	0.307044	0.192084	0.133605	0.0746775	0.0644656	0.0911166	0.0894569	0.0475513
a21	0.264949	0.196927	0.138226	0.0929389	0.0657906	0.0762106	0.103737	0.0612212
a5	0.142647	0.146665	0.164055	0.170325	0.0993979	0.0904327	0.121338	0.0651396
a36	0.132085	0.135929	0.174572	0.192079	0.114249	0.0952456	0.096859	0.0589804
a12	0.11649	0.126489	0.164195	0.178922	0.110066	0.108291	0.111878	0.08367
a43	0.0906367	0.121623	0.193404	0.258352	0.154269	0.0841344	0.0551313	0.0424495
a0	0.0660658	0.10874	0.176174	0.230237	0.15316	0.109203	0.0864829	0.0699381
a24	0.0502179	0.0936373	0.183446	0.248892	0.174541	0.105015	0.0790142	0.0652375
a88	0.039855	0.0617076	0.138615	0.249842	0.221647	0.123366	0.0882353	0.0767337
a24	0.0290673	0.0468871	0.113085	0.224662	0.232471	0.155376	0.111166	0.0872857
a47	0.0262886	0.0368352	0.0801088	0.181013	0.23459	0.174722	0.150587	0.115855
a88	0.0196762	0.0326791	0.0862225	0.195922	0.251309	0.175339	0.127752	0.1111
a71	0.0115812	0.0181829	0.0486236	0.139683	0.222988	0.203087	0.177433	0.178421
a98	0.0159929	0.0211869	0.0436885	0.11821	0.236219	0.213023	0.173135	0.178544
a92	0.0146011	0.0204802	0.041846	0.101164	0.225743	0.226457	0.178716	0.190993
a12	0.0048577	0.00825938	0.0219482	0.0561538	0.106064	0.13223	0.202309	0.468178
a47	0.00357753	0.00602196	0.0178036	0.0574283	0.113442	0.146209	0.242532	0.412985
a96	0.00360244	0.00628249	0.0173507	0.0487734	0.0946793	0.123922	0.214775	0.490615
a83	0.00210194	0.0032223	0.00862712	0.0298185	0.0676854	0.10676	0.231806	0.549979
a88	0.0017406	0.00233292	0.00564585	0.0187021	0.0488286	0.081331	0.199208	0.642211
a98	0.00128098	0.00166312	0.00378968	0.0117948	0.0292368	0.0560252	0.167192	0.729018
a47	0.000318584	0.000493838	0.00100731	0.00317681	0.00968599	0.027	0.116339	0.841978
a36	0.000738293	0.000911534	0.00152858	0.00395023	0.00948921	0.0232605	0.0912055	0.868916
a2	0.00683659	0.00538339	0.00568072	0.0089104	0.0193737	0.0489459	0.131087	0.773782
a57	0.0651006	0.0520987	0.0531931	0.0686074	0.0918445	0.128747	0.152232	0.388176
a87	0.0947016	0.0664372	0.0619972	0.0854804	0.144384	0.178557	0.140693	0.227749
a23	0.10205	0.0818716	0.0761755	0.0966924	0.160629	0.1932	0.139813	0.149568
a87	0.0747516	0.0583583	0.045411	0.056361	0.101886	0.178045	0.190872	0.294316
</S>	0.0308252	0.025695	0.0234633	0.0342452	0.053817	0.0940291	0.175171	0.562754
