 	le	marchand	est	arrivé	au	village	avec	un	ballot	d'	etoffe	</S>
a23	0.246902	0.161674	0.059109	0.0512506	0.0444225	0.0489217	0.0743548	0.0664677	0.0639416	0.06678	0.0578055	0.0583713
a90	0.251229	0.143653	0.0792187	0.0753277	0.0628522	0.0623898	0.0628973	0.0494381	0.0466283	0.0509613	0.0550171	0.0603879
a4	0.299071	0.27492	0.136463	0.107156	0.0597324	0.0367958	0.0252018	0.0135362	0.0105238	0.010021	0.0125402	0.0140387
a57	0.391336	0.322163	0.125855	0.0643938	0.0331922	0.0165706	0.0132832	0.00878391	0.00621355	0.005365	0.00619636	0.00664796
a38	0.36741	0.368621	0.127608	0.0554799	0.0232552	0.0126231	0.0111499	0.00706642	0.00543777	0.00547853	0.00698264	0.00888773
a24	0.229896	0.257288	0.127033	0.0897022	0.0508262	0.0399463	0.0397491	0.0308109	0.0251394	0.0290935	0.0368202	0.043695
a26	0.297003	0.315869	0.131864	0.0758073	0.0411743	0.0292986	0.0286462	0.0196474	0.013461	0.0131659	0.0161185	0.0179446
a24	0.212379	0.250461	0.143558	0.0985292	0.0629479	0.0473529	0.0485001	0.0333363	0.0213911	0.0214458	0.0282815	0.0318171
a96	0.139918	0.185848	0.1407	0.11908	0.0829581	0.0732135	0.082319	0.0558198	0.0315834	0.0277337	0.0294631	0.0313638
a24	0.118727	0.149709	0.128506	0.120929	0.0932857	0.0893071	0.0994594	0.0701646	0.0375664	0.0300844	0.0306576	0.0316037
a41	0.0616592	0.0883721	0.0905166	0.0970297	0.0960272	0.114064	0.132195	0.102626	0.0681113	0.0525157	0.0489151	0.0479689
a24	0.0413464	0.0683777	0.0877474	0.118279	0.120076	0.125336	0.141733	0.101609	0.064105	0.0444533	0.0442286	0.0427087
a41	0.0221225	0.034402	0.0430537	0.0675582	0.0935852	0.131551	0.148972	0.126053	0.108816	0.0800674	0.0746547	0.0691646
a27	0.0176508	0.0281397	0.0431711	0.0695733	0.100917	0.14326	0.162204	0.125049	0.0930825	0.0712102	0.0706764	0.0750666
a40	0.0145525	0.0213966	0.0371056	0.0730639	0.0969788	0.142463	0.160034	0.122181	0.0836492	0.0735488	0.0830256	0.0920008
a30	0.0130827	0.0199915	0.031031	0.0524899	0.084407	0.155534	0.183223	0.132666	0.0914248	0.0717183	0.0782417	0.0861897
a41	0.0146294	0.0229763	0.0375607	0.0614138	0.0883864	0.14129	0.161082	0.129581	0.0976512	0.0892756	0.0780042	0.0781498
a24	0.0161217	0.0219763	0.0282323	0.0445489	0.0769837	0.134584	0.143819	0.118835	0.110115	0.101564	0.0996409	0.103579
a41	0.0114107	0.015903	0.0212321	0.0249607	0.0397961	0.0786142	0.0990322	0.100984	0.122865	0.143062	0.166737	0.175403
a94	0.0132936	0.0163817	0.0200036	0.0249983	0.041095	0.083001	0.099892	0.105247	0.127085	0.150723	0.157857	0.160423
a90	0.0112955	0.0148995	0.0187763	0.0225545	0.0336259	0.0676021	0.0861417	0.0917694	0.115547	0.150563	0.186462	0.200764
a98	0.00799998	0.0144236	0.024387	0.0339791	0.0505806	0.0823968	0.096905	0.0963624	0.116125	0.132902	0.172076	0.171863
a57	0.00761063	0.0109564	0.0158644	0.0182079	0.0294894	0.0469483	0.0559253	0.0645299	0.100219	0.148015	0.236983	0.265251
a38	0.00673147	0.00899045	0.0132006	0.0169002	0.0219482	0.0401557	0.0482734	0.0512255	0.074537	0.116853	0.240159	0.361025
a90	0.00651141	0.0072054	0.00867571	0.00938481	0.0126807	0.0242018	0.0263013	0.0314565	0.0576874	0.120027	0.266587	0.429282
a98	0.00443162	0.00627847	0.00812081	0.00944932	0.0141152	0.0246276	0.0263368	0.0324919	0.0631327	0.130614	0.275199	0.405203
