 	on	a	déjà	engrossé	cette	fille-là	</S>
a66	0.224991	0.193152	0.167551	0.164377	0.135074	0.0710781	0.0437767
a87	0.249352	0.209751	0.188029	0.158424	0.121038	0.0497537	0.0236514
a23	0.373272	0.258872	0.163295	0.0945371	0.0608052	0.0260306	0.0231878
a97	0.356536	0.219654	0.178181	0.11926	0.0738483	0.0302291	0.0222927
a87	0.306017	0.213901	0.171811	0.105345	0.0910294	0.0612729	0.0506244
a97	0.422687	0.237094	0.13239	0.0695917	0.0640465	0.0411919	0.0329988
a87	0.41729	0.242778	0.133175	0.0641252	0.0616351	0.0451128	0.0358843
a97	0.416919	0.244202	0.13165	0.0637418	0.0619345	0.0465319	0.0350219
a38	0.381362	0.220704	0.132502	0.0770049	0.0765105	0.0631271	0.0487896
a70	0.260079	0.158865	0.127525	0.0910884	0.129452	0.129551	0.10344
a99	0.23131	0.16195	0.136531	0.0954502	0.102039	0.120977	0.151743
a83	0.190011	0.174725	0.191808	0.142047	0.11896	0.0888371	0.0936114
a24	0.116985	0.132773	0.174703	0.145736	0.129746	0.139405	0.160653
a90	0.100675	0.123493	0.171385	0.139064	0.118918	0.147617	0.198848
a93	0.116924	0.168636	0.229162	0.139277	0.0975808	0.108121	0.140299
a98	0.101621	0.147247	0.202089	0.138298	0.098848	0.123568	0.188328
a50	0.144833	0.178063	0.199628	0.144695	0.0991149	0.101507	0.13216
a98	0.0292615	0.0440878	0.0830942	0.119034	0.113842	0.216993	0.393688
a50	0.0669718	0.0951358	0.150376	0.172806	0.130299	0.161787	0.222624
a24	0.0189308	0.0265155	0.0602747	0.128398	0.133821	0.246973	0.385087
a0	0.00966929	0.0119623	0.0294202	0.10404	0.137529	0.28711	0.42027
a54	0.00597425	0.00672317	0.0157381	0.0693293	0.107979	0.291624	0.502632
a94	0.0292493	0.0327322	0.0573456	0.168533	0.175067	0.237341	0.299732
a4	0.00433524	0.00425541	0.00855441	0.0439268	0.0826307	0.296594	0.559704
a93	0.00288772	0.00285091	0.00591648	0.0347409	0.0737705	0.285857	0.593976
a70	0.00376563	0.00367971	0.00760705	0.0347029	0.067239	0.273653	0.609353
a99	0.00107579	0.00113785	0.0024387	0.0188318	0.0534563	0.261095	0.661965
a13	0.0008115	0.000788483	0.00143273	0.0132158	0.0477995	0.257803	0.678149
a9	0.00175122	0.00156374	0.00231181	0.0152539	0.0516659	0.264833	0.66262
a87	0.0191661	0.0123406	0.0100568	0.0227395	0.0480495	0.221607	0.666041
a23	0.162242	0.107458	0.0730456	0.091663	0.105589	0.168549	0.291454
a87	0.156115	0.0864646	0.0674482	0.119239	0.135146	0.175324	0.260264
a23	0.151205	0.106884	0.0912555	0.140899	0.149773	0.15312	0.206864
a87	0.179114	0.117385	0.0929589	0.15241	0.158606	0.129507	0.170019
a23	0.239845	0.135571	0.0921887	0.126323	0.128751	0.110073	0.167249
a87	0.198901	0.133335	0.10207	0.15502	0.160604	0.116539	0.133532
</S>	0.202324	0.137027	0.105111	0.143503	0.163296	0.126388	0.122352
