 	ma	fille	ira	à	l'	école	cette	année	</S>
a85	0.295259	0.204087	0.182603	0.104318	0.0839885	0.0509188	0.0279369	0.025573	0.0253161
a66	0.324564	0.291641	0.121797	0.0709003	0.0600214	0.0419794	0.0300961	0.0264713	0.0325297
a87	0.211051	0.222268	0.127016	0.0774117	0.0599301	0.0570461	0.0595053	0.0767514	0.109019
a97	0.369311	0.30147	0.141316	0.0567971	0.0391833	0.0267093	0.0210488	0.0203017	0.0238626
a99	0.399736	0.302536	0.125733	0.0492832	0.034992	0.0246673	0.0214048	0.0202823	0.0213649
a97	0.385721	0.302432	0.111905	0.0515226	0.0438742	0.0313646	0.0243793	0.0236644	0.0251369
a83	0.357087	0.260919	0.0939393	0.0585086	0.0579552	0.0440485	0.0373369	0.0401788	0.0500271
a98	0.25257	0.237679	0.13091	0.0971304	0.0893705	0.0668325	0.0443277	0.0375772	0.0436023
a92	0.212956	0.181882	0.11792	0.105909	0.106182	0.0873299	0.0599897	0.0526588	0.0751728
a85	0.153188	0.196863	0.172381	0.142574	0.120326	0.0858135	0.0483426	0.0359957	0.0445175
a92	0.161761	0.18868	0.160372	0.138497	0.107307	0.0739699	0.0514873	0.0485912	0.0693353
a56	0.128787	0.175332	0.193444	0.151843	0.111503	0.0755625	0.0509123	0.0471919	0.0654234
a96	0.162214	0.182654	0.196345	0.141488	0.0970169	0.0664683	0.0468213	0.0443504	0.0626419
a56	0.118332	0.174666	0.246525	0.165721	0.104069	0.0627606	0.0429843	0.0371071	0.0478364
a34	0.0851412	0.140488	0.24235	0.178927	0.12242	0.0746654	0.0527896	0.045431	0.0577877
a75	0.0504563	0.0940531	0.234344	0.194175	0.151338	0.101992	0.0675695	0.0501264	0.0559452
a85	0.0211335	0.0321331	0.117111	0.131773	0.143661	0.139294	0.141951	0.124297	0.148646
a47	0.0101604	0.013365	0.0526166	0.0713967	0.100519	0.126844	0.193369	0.203688	0.228041
a36	0.00883216	0.0109234	0.0376416	0.0532236	0.0863782	0.120496	0.202322	0.21471	0.265473
a7	0.0182159	0.0228401	0.0472152	0.0527102	0.0894004	0.116284	0.162432	0.174169	0.316734
a90	0.0240726	0.0223799	0.0323451	0.0374477	0.0659901	0.103363	0.173705	0.196654	0.344043
a98	0.00713196	0.00806727	0.0175208	0.0224567	0.0431859	0.0873543	0.187549	0.233596	0.393138
a92	0.00324187	0.00435143	0.0104886	0.0190429	0.0432666	0.0936793	0.191275	0.256459	0.378196
a36	0.00213842	0.00295159	0.00735469	0.012742	0.0294781	0.0761106	0.19264	0.28815	0.388435
a90	0.00402114	0.00325501	0.00391529	0.00611959	0.0135667	0.0301217	0.111207	0.258383	0.569411
a92	0.00217149	0.00205619	0.00322102	0.00596457	0.0140354	0.0338193	0.121275	0.271569	0.545889
a21	0.00114654	0.00137796	0.00278969	0.00483516	0.010472	0.0278053	0.106053	0.263761	0.581759
a61	0.000945224	0.00101217	0.00228398	0.00385486	0.00782629	0.0222246	0.0881819	0.259149	0.614522
a21	0.000575848	0.000616059	0.00127352	0.00238946	0.00542289	0.0146447	0.0607073	0.217557	0.696814
a5	0.000941216	0.0010114	0.0020365	0.00378	0.00783428	0.019285	0.0698681	0.228801	0.666443
a85	0.000694488	0.000718167	0.00136705	0.00259633	0.00540097	0.0146227	0.0577823	0.22279	0.694028
a5	0.00075945	0.000781056	0.00119952	0.0026131	0.00587362	0.0161047	0.0768672	0.262976	0.632826
a61	0.000583772	0.000589265	0.00104478	0.00226322	0.00492301	0.0134966	0.054754	0.217087	0.705258
a18	0.000520851	0.000583921	0.00104458	0.00236092	0.00521483	0.0141638	0.0535238	0.209077	0.71351
a9	0.00528669	0.00575579	0.00680698	0.0151665	0.030552	0.0577381	0.145102	0.2739	0.459692
a10	0.130223	0.0773333	0.0509754	0.0673271	0.0876715	0.103734	0.139912	0.165336	0.177487
a87	0.259572	0.135854	0.0709667	0.0590477	0.0633714	0.065148	0.081275	0.125681	0.139084
a23	0.16368	0.0874195	0.0526458	0.0482262	0.0544469	0.0663013	0.0997064	0.190174	0.2374
a87	0.0469463	0.0249618	0.017218	0.0288701	0.0437534	0.0730464	0.135639	0.257672	0.371894
a23	0.0121841	0.00928845	0.00898208	0.0180705	0.0361229	0.065958	0.12103	0.264525	0.463839
</S>	0.016228	0.0116043	0.011561	0.0230887	0.0425423	0.0767059	0.132665	0.265342	0.420262
