 	cet	homme	a	chanté	un	chant	de	tristesse	</S>
a66	0.214307	0.178962	0.16414	0.147224	0.136055	0.091244	0.0388528	0.0175349	0.01168
a87	0.338093	0.234798	0.167993	0.115221	0.0744444	0.0425785	0.0154762	0.00670915	0.0046867
a23	0.387462	0.296248	0.179751	0.0772363	0.0282317	0.0145382	0.00772257	0.00493169	0.00387847
a87	0.435661	0.25918	0.147744	0.0597857	0.0233604	0.0209549	0.0212284	0.0171248	0.0149609
a23	0.454717	0.254274	0.135373	0.0612985	0.0286798	0.0232644	0.0174625	0.013272	0.0116596
a18	0.352962	0.178236	0.103681	0.0588384	0.0406453	0.0555583	0.07367	0.0729271	0.0634825
a30	0.142901	0.0903176	0.0799826	0.0729045	0.0970652	0.186231	0.146741	0.107039	0.0768182
a4	0.132102	0.103047	0.112536	0.121801	0.161456	0.190728	0.0862217	0.0529181	0.0391913
a53	0.133801	0.153645	0.159522	0.125903	0.100587	0.150826	0.100939	0.0489324	0.0258451
a94	0.0834003	0.123672	0.156109	0.142558	0.106659	0.127308	0.118414	0.0911571	0.0507228
a96	0.0626351	0.0897375	0.128038	0.137435	0.101557	0.108463	0.12837	0.1441	0.0996633
a24	0.0591527	0.0734839	0.101814	0.109934	0.0793532	0.0796004	0.122137	0.201879	0.172646
a94	0.0382832	0.040143	0.053469	0.0679657	0.0598441	0.0689698	0.125253	0.257265	0.288806
a70	0.0341559	0.0387786	0.0541201	0.0767312	0.0713565	0.0836003	0.140531	0.246497	0.25423
a93	0.013263	0.0124394	0.0148182	0.0264707	0.0417121	0.0664196	0.147399	0.310587	0.366891
a70	0.0125759	0.0126762	0.0160298	0.031193	0.0495246	0.0735528	0.14404	0.289125	0.371283
a83	0.00801289	0.00697486	0.00725452	0.0137828	0.0315217	0.0632003	0.159678	0.348158	0.361416
a96	0.00277146	0.00235222	0.00230347	0.00473427	0.013637	0.0450256	0.187602	0.368612	0.372962
a66	0.0021124	0.0018071	0.00169903	0.00274675	0.00644489	0.0232563	0.144851	0.411309	0.405773
a54	0.00188172	0.00153935	0.00129488	0.00186139	0.00383916	0.0147386	0.106691	0.399259	0.468895
a0	0.00084066	0.000667774	0.000597661	0.00116434	0.0033713	0.0166572	0.150693	0.401636	0.424372
a11	0.000789452	0.000604528	0.000493123	0.000953688	0.00284471	0.0175571	0.123795	0.34877	0.504192
a83	0.00246126	0.0017955	0.00129802	0.00179503	0.00394059	0.0129348	0.0730322	0.275849	0.626894
a66	0.00119501	0.0010524	0.000855328	0.00133917	0.00304059	0.00955452	0.0586659	0.251806	0.672491
a38	0.00338412	0.00256171	0.00211413	0.00281962	0.00568041	0.0130528	0.0614018	0.259834	0.649152
a27	0.00537475	0.00349128	0.00247195	0.00300209	0.0052292	0.0125081	0.0628635	0.258555	0.646504
a30	0.111736	0.062966	0.0347733	0.0300377	0.0331715	0.0426764	0.0958909	0.191137	0.397611
a27	0.272419	0.170051	0.0851847	0.0501755	0.0332405	0.024784	0.0502557	0.0998167	0.214073
</S>	0.259679	0.199004	0.117397	0.0691741	0.0404261	0.0251263	0.0475814	0.0935287	0.148084
