 	l'	esprit	de	sa	mère	l'	envoûte	depuis	deux	ans	</S>
a66	0.233679	0.17574	0.160794	0.130115	0.1076	0.0785213	0.0452914	0.0302598	0.0161738	0.0106571	0.0111684
a87	0.391014	0.221099	0.131393	0.079237	0.0497408	0.0401834	0.0223808	0.0192358	0.0129602	0.0142423	0.0185137
a23	0.433176	0.177948	0.107382	0.0785151	0.0575373	0.0496417	0.0314107	0.0182095	0.0110254	0.0137034	0.0214507
a13	0.324536	0.147369	0.0845952	0.0599481	0.0463392	0.0540701	0.0515725	0.0601158	0.0369873	0.0500645	0.0844017
a57	0.160336	0.119973	0.0901098	0.0779605	0.0775315	0.091116	0.0685714	0.0598617	0.0506583	0.082939	0.120943
a82	0.198319	0.181236	0.142073	0.108631	0.0950371	0.0872813	0.04976	0.0304217	0.0235628	0.0355701	0.0481072
a53	0.211328	0.175503	0.132188	0.0981455	0.0904444	0.0898734	0.0647805	0.0365207	0.0251263	0.0338052	0.0422855
a20	0.209265	0.231144	0.180133	0.10682	0.0780225	0.0598102	0.0415793	0.0258413	0.0155563	0.0223861	0.0294423
a15	0.1995	0.219358	0.171495	0.110934	0.0863896	0.0753736	0.0680322	0.030904	0.0135509	0.0124595	0.0120031
a7	0.155536	0.209015	0.182667	0.1326	0.096412	0.0732714	0.0620436	0.0358312	0.0182896	0.0170676	0.0172666
a69	0.0837573	0.124939	0.13094	0.133201	0.123002	0.116917	0.100394	0.0681794	0.0396222	0.04012	0.0389285
a93	0.0958343	0.144468	0.149304	0.150259	0.135452	0.113846	0.084146	0.0518867	0.0263649	0.0243028	0.0241368
a4	0.0751912	0.0841538	0.0980788	0.106066	0.115882	0.141518	0.134976	0.086099	0.0511962	0.0526966	0.0541421
a53	0.0497916	0.0535643	0.0675157	0.0840601	0.0967938	0.140694	0.194444	0.127573	0.0681656	0.0575368	0.0598608
a15	0.0353953	0.0384421	0.0520119	0.0775477	0.0984932	0.147154	0.19882	0.138582	0.0796979	0.0663978	0.0674575
a79	0.0333908	0.0405487	0.0508543	0.0915164	0.12353	0.157217	0.149388	0.13818	0.0820019	0.068035	0.0653387
a44	0.0230154	0.0264922	0.0350004	0.0710438	0.115223	0.169142	0.161949	0.133575	0.0889241	0.08653	0.0891053
a25	0.022559	0.0232586	0.0294931	0.0564444	0.0938644	0.151583	0.163382	0.150346	0.113089	0.100112	0.0958683
a90	0.0271178	0.0298869	0.0326165	0.0613919	0.101808	0.149947	0.156229	0.159201	0.100029	0.0886254	0.0931482
a15	0.0181338	0.0176377	0.0199316	0.0373573	0.0723642	0.135379	0.167745	0.184888	0.126963	0.106475	0.113125
a69	0.0219887	0.0225907	0.0230901	0.0376921	0.0599013	0.0958038	0.160872	0.197132	0.136085	0.117236	0.127609
a93	0.0195433	0.0172394	0.0178212	0.0303516	0.0499627	0.077687	0.120176	0.162153	0.150512	0.159952	0.194602
a61	0.0114364	0.0101404	0.0105583	0.0199575	0.041152	0.0896452	0.140456	0.189499	0.174599	0.146452	0.166104
a47	0.00855448	0.00710245	0.00695493	0.011998	0.0242525	0.0643317	0.125745	0.201303	0.204593	0.168402	0.176764
a96	0.0110362	0.00857636	0.0077944	0.0122025	0.0232182	0.0617584	0.133134	0.210105	0.216785	0.162323	0.153068
a94	0.0083369	0.00730775	0.00659287	0.010142	0.0178634	0.0453193	0.11207	0.192227	0.234451	0.187723	0.177967
a54	0.00884108	0.00883464	0.00728751	0.00974371	0.0148054	0.0311112	0.0704952	0.118948	0.20056	0.255384	0.273989
a6	0.00344338	0.00317144	0.00292536	0.00615259	0.0131381	0.0323694	0.0722321	0.129361	0.167886	0.238479	0.330841
a37	0.00139607	0.00143023	0.00152234	0.00344639	0.00835928	0.0218462	0.0527203	0.113986	0.196496	0.270404	0.328394
a56	0.00251704	0.00261583	0.00244674	0.00407643	0.00850154	0.0221487	0.0507328	0.0978187	0.182012	0.268183	0.358946
a31	0.0019092	0.00194542	0.00184107	0.00298188	0.00606366	0.0153788	0.0432273	0.0892197	0.177406	0.266535	0.393492
a18	0.00202803	0.00216987	0.00198683	0.00294096	0.00483242	0.0104728	0.029543	0.0629077	0.150262	0.271809	0.461048
a20	0.00293526	0.00305624	0.00247165	0.00378183	0.00575475	0.0107732	0.0189496	0.0342361	0.0957998	0.265488	0.556753
a36	0.000747135	0.000782675	0.000606471	0.00109502	0.00225324	0.00573201	0.0149757	0.0348263	0.0846799	0.256315	0.597987
a2	0.00290589	0.00272511	0.00229375	0.00372109	0.00622365	0.0106331	0.0164079	0.0302463	0.0871227	0.273489	0.564231
a57	0.0273139	0.0222073	0.0162756	0.0193418	0.0238524	0.0300097	0.0337417	0.0587127	0.124449	0.279781	0.364314
a87	0.128169	0.0554111	0.0333585	0.0376603	0.042049	0.0399465	0.0364666	0.0600155	0.1074	0.2003	0.259223
a23	0.381268	0.159623	0.0762862	0.058644	0.0508403	0.0350828	0.0200579	0.0260935	0.0405908	0.0704177	0.081095
a87	0.258064	0.109673	0.0517675	0.0454926	0.0421741	0.0405513	0.0299828	0.0693927	0.102727	0.123808	0.126367
</S>	0.0377705	0.0153093	0.00925551	0.013779	0.025231	0.0472302	0.076178	0.145662	0.167237	0.22145	0.240898
