 	le	singe	n'	adopte	pas	le	fils	de	son	frère	</S>
a87	0.120978	0.0997155	0.0992243	0.143275	0.12962	0.0988227	0.0655135	0.0536459	0.0480578	0.0650127	0.0761346
a23	0.155322	0.0704367	0.0655038	0.126214	0.101199	0.0913019	0.069157	0.0559585	0.0581473	0.0836108	0.123149
a87	0.20635	0.16992	0.150587	0.154543	0.095338	0.0713316	0.0424418	0.0267006	0.0232097	0.0260866	0.0334908
a23	0.145019	0.123074	0.118171	0.165732	0.121386	0.0884993	0.0583474	0.0389413	0.0359381	0.0422727	0.0626194
a11	0.277423	0.186796	0.122618	0.134482	0.081388	0.0553682	0.0354755	0.0235765	0.0220055	0.0244687	0.0363988
a26	0.421454	0.283302	0.121364	0.0753011	0.0377701	0.0213721	0.0115783	0.0077542	0.00655205	0.00583138	0.00772024
a41	0.406029	0.26043	0.116011	0.0832844	0.0438222	0.0265482	0.0164825	0.0126193	0.0113638	0.0110871	0.0123224
a35	0.19673	0.171008	0.12717	0.151606	0.10441	0.0777406	0.0522906	0.0393589	0.0316292	0.0263512	0.0217061
a14	0.248004	0.212092	0.146059	0.13354	0.0863953	0.0649849	0.0413546	0.0265389	0.0180316	0.0131424	0.00985678
a30	0.201648	0.197955	0.161788	0.139729	0.0989719	0.0738993	0.048754	0.0307835	0.0208091	0.0147298	0.0109333
a57	0.066004	0.0937341	0.126834	0.165763	0.148899	0.119092	0.0880015	0.0613429	0.0483818	0.0427099	0.039237
a87	0.050331	0.0625942	0.0878725	0.176113	0.158171	0.116458	0.087057	0.0648432	0.058721	0.0641897	0.0736502
a40	0.0718199	0.0790242	0.0962024	0.137125	0.14608	0.115427	0.0869019	0.0638606	0.0566296	0.0626828	0.0842468
a30	0.10609	0.13275	0.145999	0.158522	0.131046	0.102719	0.0777995	0.0524626	0.0391681	0.0289286	0.0245153
a14	0.124783	0.14806	0.143761	0.132032	0.121227	0.101323	0.0788346	0.055066	0.0414982	0.0312647	0.022151
a26	0.0829087	0.104666	0.132111	0.147799	0.129297	0.110122	0.0876989	0.0631683	0.0524955	0.0488457	0.0408881
a38	0.0438833	0.0609888	0.0998732	0.168471	0.151222	0.121731	0.0974062	0.0704809	0.0605112	0.0633425	0.0620904
a26	0.0378558	0.0527885	0.0938508	0.149621	0.148512	0.127186	0.11015	0.0840957	0.0711768	0.0672432	0.0575195
a35	0.0464357	0.0610834	0.102249	0.177828	0.158173	0.128113	0.0979575	0.0661986	0.0540385	0.0557237	0.0521999
a98	0.0376363	0.0456011	0.0801386	0.161256	0.158142	0.139313	0.112147	0.074441	0.0612796	0.0660529	0.0639924
a14	0.0180019	0.027842	0.063009	0.142438	0.154346	0.138336	0.119445	0.0839955	0.0748198	0.0870981	0.0906699
a94	0.0333127	0.0484468	0.0824194	0.132019	0.138221	0.123827	0.106556	0.0854113	0.0743136	0.0818259	0.0936476
a76	0.0139231	0.0204507	0.0322584	0.0810743	0.114052	0.122866	0.121984	0.0984556	0.0973633	0.130493	0.167079
a14	0.0163466	0.0224106	0.0304468	0.0554561	0.0839204	0.0951121	0.106029	0.101326	0.111512	0.157536	0.219904
a35	0.0139026	0.021131	0.0310851	0.0599232	0.0928588	0.116344	0.128207	0.11072	0.107382	0.137241	0.181205
a76	0.00927929	0.0138666	0.0220209	0.044314	0.0671342	0.0870355	0.106113	0.103891	0.114761	0.170375	0.26121
