 	il	est	venu	l'	an	passé	</S>
a23	0.305359	0.200162	0.145753	0.120274	0.116919	0.0649998	0.0465326
a53	0.333116	0.193757	0.137	0.106777	0.105645	0.0687425	0.0549616
a20	0.329861	0.206168	0.159589	0.132315	0.0951918	0.0417503	0.035124
a30	0.439013	0.252647	0.137034	0.0795473	0.0442604	0.0276547	0.0198446
a24	0.382484	0.286849	0.167467	0.0853007	0.0473421	0.0176923	0.0128644
a41	0.313933	0.275878	0.188017	0.111883	0.0667279	0.0261463	0.0174143
a30	0.262853	0.26476	0.213201	0.128788	0.0772949	0.029299	0.0238048
a2	0.174636	0.210126	0.225026	0.177154	0.126885	0.046894	0.0392788
a57	0.0801312	0.107644	0.155521	0.185447	0.23025	0.120701	0.120307
a38	0.0700794	0.0983389	0.145058	0.185712	0.22414	0.147752	0.12892
a41	0.110546	0.122485	0.141637	0.163827	0.202922	0.132846	0.125736
a35	0.120527	0.158064	0.192111	0.186271	0.16186	0.109326	0.07184
a98	0.051372	0.0770562	0.120369	0.17632	0.234543	0.195736	0.144605
a14	0.0423094	0.0594426	0.086097	0.136123	0.215111	0.234721	0.226195
a35	0.0348746	0.0484772	0.0677831	0.110708	0.199588	0.258692	0.279877
a14	0.0173011	0.0244826	0.036827	0.068235	0.184234	0.306146	0.362775
a41	0.0143472	0.0192609	0.0298683	0.0607787	0.20291	0.303236	0.369599
a24	0.0133219	0.0155668	0.025082	0.0516393	0.144907	0.300805	0.448678
a41	0.0054301	0.00580582	0.0092947	0.02126	0.0813069	0.276081	0.600821
a61	0.00539252	0.0054142	0.00814469	0.0177562	0.0651494	0.268812	0.629331
a34	0.0084803	0.00751419	0.010324	0.0193768	0.0627187	0.236743	0.654843
a47	0.00788829	0.00766858	0.0111977	0.0213053	0.0651338	0.235671	0.651135
a62	0.00567892	0.00575985	0.00840676	0.0158929	0.0548146	0.230032	0.679415
a24	0.00780928	0.00782216	0.0117448	0.0209534	0.0687536	0.234018	0.648898
a9	0.0107865	0.0102147	0.0156622	0.0272277	0.0705298	0.211589	0.65399
a87	0.0254108	0.0226041	0.0316403	0.0453007	0.0930629	0.190401	0.59158
a23	0.0169824	0.014885	0.023668	0.0407059	0.113668	0.241842	0.548249
a87	0.0562347	0.057658	0.0691316	0.0787756	0.140894	0.240062	0.357244
a23	0.0455706	0.0398499	0.0529484	0.0817721	0.183291	0.24199	0.354578
a87	0.0600787	0.0574618	0.0688007	0.0874646	0.14897	0.23327	0.343954
</S>	0.0289745	0.0225671	0.029573	0.0518769	0.128862	0.258069	0.480078
