 	cette	femme	agit	avec	ostentation	parce	que	son	mari	est	riche	</S>
a66	0.207159	0.203389	0.155932	0.138957	0.141578	0.0618404	0.0307602	0.0265654	0.016836	0.00868293	0.00432945	0.00397062
a87	0.328834	0.258808	0.142893	0.108323	0.0832856	0.0225901	0.0135148	0.0104948	0.00882103	0.00747936	0.00697707	0.00797971
a23	0.340623	0.31252	0.151724	0.0939527	0.0488103	0.013049	0.0073991	0.00505476	0.00577193	0.00620611	0.00677149	0.00811728
a30	0.263508	0.243904	0.170897	0.148072	0.0778621	0.024547	0.0154756	0.0106298	0.0108259	0.0067404	0.00799102	0.0195473
a93	0.211291	0.187272	0.183595	0.175331	0.111068	0.0417959	0.0205846	0.0141633	0.0138912	0.0110396	0.0116168	0.0183514
a70	0.184433	0.190355	0.17333	0.160367	0.128827	0.0558879	0.0295262	0.0213325	0.0182849	0.013092	0.0108437	0.0137213
a96	0.229923	0.260459	0.208428	0.136366	0.0996991	0.0263787	0.00997393	0.00714998	0.00555162	0.00440906	0.00510549	0.00655652
a93	0.160565	0.202125	0.227893	0.15593	0.12734	0.0490932	0.0217199	0.0152621	0.0118339	0.00903952	0.00901014	0.0101867
a90	0.116183	0.15315	0.19039	0.143295	0.156618	0.0777339	0.0449627	0.0327409	0.025605	0.0215117	0.0191431	0.0186663
a98	0.0780432	0.11261	0.164862	0.130321	0.175492	0.105072	0.0655293	0.0507713	0.039534	0.0314295	0.0241826	0.0221527
a85	0.0464234	0.0672936	0.116382	0.0949449	0.16083	0.123056	0.0952138	0.0839538	0.0635358	0.0556352	0.0455275	0.0472035
a6	0.0313649	0.0434078	0.0766998	0.071873	0.16204	0.138506	0.114612	0.106237	0.0805889	0.071651	0.0498881	0.0531318
a36	0.0268598	0.0389018	0.0629857	0.0607252	0.14786	0.141423	0.118504	0.1232	0.0962079	0.0758992	0.0511923	0.0562407
a21	0.0164423	0.0234655	0.0459809	0.0529206	0.131903	0.151787	0.156039	0.132834	0.10679	0.07734	0.0548032	0.0496955
a5	0.011358	0.0138013	0.0249056	0.0323554	0.0888878	0.146021	0.160455	0.152943	0.127284	0.0925572	0.0779224	0.0715094
a23	0.00471909	0.00671232	0.0132049	0.0167451	0.0502665	0.0961776	0.153089	0.182931	0.172909	0.123793	0.0900199	0.0894327
a75	0.00367978	0.00507649	0.0107043	0.0142195	0.0389345	0.078637	0.153326	0.176425	0.174596	0.137294	0.0996631	0.107444
a85	0.00502208	0.00600297	0.0121288	0.01518	0.0473954	0.0757914	0.104672	0.152243	0.15191	0.139106	0.139823	0.150726
a47	0.00740198	0.00906733	0.0153149	0.0173568	0.0378936	0.0598866	0.0889469	0.124495	0.130446	0.142149	0.184943	0.1821
a36	0.0371756	0.0310795	0.0392341	0.0430163	0.0803631	0.0890673	0.118922	0.126904	0.095401	0.0690013	0.0863867	0.183448
a2	0.0624312	0.055129	0.0627863	0.0655244	0.0955503	0.0827516	0.112478	0.115345	0.0809123	0.0511927	0.0611308	0.154768
a57	0.0647204	0.0629763	0.0758733	0.0854974	0.107427	0.107356	0.119152	0.103112	0.0753896	0.0528451	0.0530401	0.0926111
a10	0.0839239	0.0856313	0.0746418	0.0834996	0.100839	0.0868169	0.0936966	0.0961661	0.0780195	0.0625067	0.0593204	0.0949386
a50	0.177755	0.16726	0.0897902	0.0676621	0.0676154	0.0358759	0.0399325	0.0553085	0.0564301	0.0678286	0.0654095	0.109132
a83	0.0602059	0.0589507	0.0305723	0.0216254	0.0238043	0.0149976	0.0248619	0.0449911	0.0692155	0.128951	0.183115	0.338709
a56	0.0347705	0.0432086	0.028081	0.0211237	0.0266686	0.0167109	0.0316733	0.0525256	0.0835261	0.15378	0.186599	0.321332
a44	0.0221906	0.0249272	0.0190042	0.0172969	0.0292897	0.0245207	0.0352375	0.0504204	0.0731093	0.139788	0.229004	0.335212
a56	0.0164185	0.0221111	0.0199555	0.02059	0.0316492	0.0271081	0.0484195	0.0645008	0.0870176	0.140799	0.212738	0.308693
a92	0.00973856	0.012098	0.0108751	0.012283	0.0195677	0.0227288	0.0404745	0.0525984	0.0721158	0.130194	0.24475	0.372576
a79	0.00327354	0.00376106	0.00460853	0.00668737	0.0149346	0.0236164	0.0358647	0.050246	0.0614985	0.0932297	0.231494	0.470786
a98	0.00339843	0.00433561	0.00741613	0.0113147	0.0227151	0.0300463	0.0420222	0.0560087	0.0724592	0.102327	0.241735	0.406222
a79	0.0035376	0.00413796	0.00713878	0.00996364	0.0228819	0.0325283	0.0398601	0.0611212	0.0751948	0.103264	0.214603	0.425768
a92	0.00367093	0.00402675	0.00700173	0.0100815	0.0201015	0.0267571	0.0352887	0.0483914	0.0622552	0.0878905	0.247501	0.447034
a25	0.00218962	0.00199222	0.00296267	0.00430874	0.0106993	0.0196884	0.0307797	0.0481065	0.0639696	0.0871877	0.272944	0.455171
a92	0.000851862	0.000835564	0.00187728	0.00259808	0.00793488	0.013685	0.0220203	0.0333525	0.0406172	0.0625205	0.226201	0.587506
a37	0.00109302	0.00100776	0.00149011	0.00200738	0.00601648	0.0120631	0.0232159	0.0358589	0.0476034	0.0704767	0.2663	0.532867
